Periodo,Categoría,Residencia viajero,DATA
2016M10,1 Llave,Residentes en Espańa,10918.55
2016M10,1 Llave,No residentes en Espańa,503.2
2016M10,"2, 3 y 4 Llaves",TOTAL,1398.68
2016M10,"2, 3 y 4 Llaves",Residentes en Espańa,1398.68
2016M10,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M11,TOTAL,TOTAL,6793.62
2016M11,TOTAL,Residentes en Espańa,6288.12
2016M11,TOTAL,No residentes en Espańa,505.5
2016M11,1 Llave,TOTAL,5793.12
2016M11,1 Llave,Residentes en Espańa,5287.62
2016M11,1 Llave,No residentes en Espańa,505.5
2016M11,"2, 3 y 4 Llaves",TOTAL,1000.5
2016M11,"2, 3 y 4 Llaves",Residentes en Espańa,1000.5
2016M11,"2, 3 y 4 Llaves",No residentes en Espańa,
2016M12,TOTAL,TOTAL,10528.22
2016M12,TOTAL,Residentes en Espańa,10402.26
2016M12,TOTAL,No residentes en Espańa,125.95
2016M12,1 Llave,TOTAL,8621.69
2016M12,1 Llave,Residentes en Espańa,8495.74
2016M12,1 Llave,No residentes en Espańa,125.95
2016M12,"2, 3 y 4 Llaves",TOTAL,1906.52
2016M12,"2, 3 y 4 Llaves",Residentes en Espańa,1906.52
2016M12,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M01,TOTAL,TOTAL,4716.45
2017M01,TOTAL,Residentes en Espańa,4329.06
2017M01,TOTAL,No residentes en Espańa,387.39
2017M01,1 Llave,TOTAL,4581.51
2017M01,1 Llave,Residentes en Espańa,4194.12
2017M01,1 Llave,No residentes en Espańa,387.39
2017M01,"2, 3 y 4 Llaves",TOTAL,134.94
2017M01,"2, 3 y 4 Llaves",Residentes en Espańa,134.94
2017M01,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M02,TOTAL,TOTAL,7407.81
2017M02,TOTAL,Residentes en Espańa,6636.38
2017M02,TOTAL,No residentes en Espańa,771.42
2017M02,1 Llave,TOTAL,6965.53
2017M02,1 Llave,Residentes en Espańa,6194.11
2017M02,1 Llave,No residentes en Espańa,771.42
2017M02,"2, 3 y 4 Llaves",TOTAL,442.27
2017M02,"2, 3 y 4 Llaves",Residentes en Espańa,442.27
2017M02,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M03,TOTAL,TOTAL,8419.4
2017M03,TOTAL,Residentes en Espańa,7661.06
2017M03,TOTAL,No residentes en Espańa,758.34
2017M03,1 Llave,TOTAL,7715.42
2017M03,1 Llave,Residentes en Espańa,6957.07
2017M03,1 Llave,No residentes en Espańa,758.34
2017M03,"2, 3 y 4 Llaves",TOTAL,703.98
2017M03,"2, 3 y 4 Llaves",Residentes en Espańa,703.98
2017M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M04,TOTAL,TOTAL,13747.62
2017M04,TOTAL,Residentes en Espańa,12341.97
2017M04,TOTAL,No residentes en Espańa,1405.65
2017M04,1 Llave,TOTAL,12876.5
2017M04,1 Llave,Residentes en Espańa,11470.84
2017M04,1 Llave,No residentes en Espańa,1405.65
2017M04,"2, 3 y 4 Llaves",TOTAL,871.13
2017M04,"2, 3 y 4 Llaves",Residentes en Espańa,871.13
2017M04,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M05,TOTAL,TOTAL,8840.51
2017M05,TOTAL,Residentes en Espańa,7568.81
2017M05,TOTAL,No residentes en Espańa,1271.7
2017M05,1 Llave,TOTAL,8341.45
2017M05,1 Llave,Residentes en Espańa,7189.84
2017M05,1 Llave,No residentes en Espańa,1151.6
2017M05,"2, 3 y 4 Llaves",TOTAL,499.07
2017M05,"2, 3 y 4 Llaves",Residentes en Espańa,378.97
2017M05,"2, 3 y 4 Llaves",No residentes en Espańa,120.1
2017M06,TOTAL,TOTAL,9591.86
2017M06,TOTAL,Residentes en Espańa,8429.36
2017M06,TOTAL,No residentes en Espańa,1162.49
2017M06,1 Llave,TOTAL,8887.68
2017M06,1 Llave,Residentes en Espańa,7725.19
2017M06,1 Llave,No residentes en Espańa,1162.49
2017M06,"2, 3 y 4 Llaves",TOTAL,704.17
2017M06,"2, 3 y 4 Llaves",Residentes en Espańa,704.17
2017M06,"2, 3 y 4 Llaves",No residentes en Espańa,
2017M07,TOTAL,TOTAL,15581.27
2017M07,TOTAL,Residentes en Espańa,14082.13
2017M07,TOTAL,No residentes en Espańa,1499.14
2017M07,1 Llave,TOTAL,15061.46
2017M07,1 Llave,Residentes en Espańa,13562.32
