Periodo,CCAA de residencia,Medida,DATA
2016M01,Extremadura,Viajeros,
2016M01,Extremadura,Pernoctaciones,
2016M01,Galicia,Viajeros,15.65
2016M01,Galicia,Pernoctaciones,15.65
2016M01,"Madrid, Comunidad de",Viajeros,466.58
2016M01,"Madrid, Comunidad de",Pernoctaciones,1292.04
2016M01,"Navarra, Comunidad Foral de",Viajeros,17.44
2016M01,"Navarra, Comunidad Foral de",Pernoctaciones,93.56
2016M01,País Vasco,Viajeros,434.68
2016M01,País Vasco,Pernoctaciones,1027.75
2016M01,"Rioja, La",Viajeros,186.77
2016M01,"Rioja, La",Pernoctaciones,541.72
2016M01,"Balears, Illes",Viajeros,
2016M01,"Balears, Illes",Pernoctaciones,
2016M01,"Murcia, Región de",Viajeros,
2016M01,"Murcia, Región de",Pernoctaciones,31.3
2016M01,Canarias,Viajeros,
2016M01,Canarias,Pernoctaciones,
2016M01,Melilla,Viajeros,
2016M01,Melilla,Pernoctaciones,
2016M01,Ceuta,Viajeros,
2016M01,Ceuta,Pernoctaciones,
2016M02,TOTAL,Viajeros,2905.82
2016M02,TOTAL,Pernoctaciones,5904.57
2016M02,NO RESIDENTE EN ESPAŃA,Viajeros,34.5
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,92.21
2016M02,RESIDENTES EN ESPAŃA,Viajeros,2871.32
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,5812.36
2016M02,Andalucía,Viajeros,
2016M02,Andalucía,Pernoctaciones,
2016M02,Aragón,Viajeros,118.85
2016M02,Aragón,Pernoctaciones,301.49
2016M02,"Asturias, Principado de",Viajeros,3.87
2016M02,"Asturias, Principado de",Pernoctaciones,11.6
2016M02,Cantabria,Viajeros,
2016M02,Cantabria,Pernoctaciones,
2016M02,Castilla y León,Viajeros,380.88
2016M02,Castilla y León,Pernoctaciones,875.62
2016M02,Castilla - La Mancha,Viajeros,11.6
2016M02,Castilla - La Mancha,Pernoctaciones,23.2
2016M02,Cataluńa,Viajeros,111.6
2016M02,Cataluńa,Pernoctaciones,239.46
2016M02,Comunitat Valenciana,Viajeros,20.12
2016M02,Comunitat Valenciana,Pernoctaciones,40.24
2016M02,Extremadura,Viajeros,16.25
2016M02,Extremadura,Pernoctaciones,32.51
2016M02,Galicia,Viajeros,45.51
2016M02,Galicia,Pernoctaciones,91.02
2016M02,"Madrid, Comunidad de",Viajeros,893
2016M02,"Madrid, Comunidad de",Pernoctaciones,1772.3
2016M02,"Navarra, Comunidad Foral de",Viajeros,107.34
2016M02,"Navarra, Comunidad Foral de",Pernoctaciones,127.46
2016M02,País Vasco,Viajeros,918.96
2016M02,País Vasco,Pernoctaciones,1947.49
2016M02,"Rioja, La",Viajeros,182.67
2016M02,"Rioja, La",Pernoctaciones,228.62
2016M02,"Balears, Illes",Viajeros,60.68
2016M02,"Balears, Illes",Pernoctaciones,121.35
2016M02,"Murcia, Región de",Viajeros,
2016M02,"Murcia, Región de",Pernoctaciones,
2016M02,Canarias,Viajeros,
2016M02,Canarias,Pernoctaciones,
2016M02,Melilla,Viajeros,
2016M02,Melilla,Pernoctaciones,
2016M02,Ceuta,Viajeros,
2016M02,Ceuta,Pernoctaciones,
2016M03,TOTAL,Viajeros,4375.72
2016M03,TOTAL,Pernoctaciones,11399.83
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,198.32
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,561.39
2016M03,RESIDENTES EN ESPAŃA,Viajeros,4177.4
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,10838.45
2016M03,Andalucía,Viajeros,19.61
2016M03,Andalucía,Pernoctaciones,88.55
2016M03,Aragón,Viajeros,80.97
2016M03,Aragón,Pernoctaciones,272.37
2016M03,"Asturias, Principado de",Viajeros,73.45
2016M03,"Asturias, Principado de",Pernoctaciones,146.9
2016M03,Cantabria,Viajeros,28.41
2016M03,Cantabria,Pernoctaciones,45.2
2016M03,Castilla y León,Viajeros,288.82
2016M03,Castilla y León,Pernoctaciones,706.39
2016M03,Castilla - La Mancha,Viajeros,74.1
2016M03,Castilla - La Mancha,Pernoctaciones,165.65
2016M03,Cataluńa,Viajeros,389.88
2016M03,Cataluńa,Pernoctaciones,1182.11
2016M03,Comunitat Valenciana,Viajeros,260.85
2016M03,Comunitat Valenciana,Pernoctaciones,972.04
2016M03,Extremadura,Viajeros,13.56
2016M03,Extremadura,Pernoctaciones,36.81
2016M03,Galicia,Viajeros,74.7
2016M03,Galicia,Pernoctaciones,251.6
2016M03,"Madrid, Comunidad de",Viajeros,1282.42
2016M03,"Madrid, Comunidad de",Pernoctaciones,3633.96
2016M03,"Navarra, Comunidad Foral de",Viajeros,244.22
2016M03,"Navarra, Comunidad Foral de",Pernoctaciones,658.43
2016M03,País Vasco,Viajeros,1000.27
2016M03,País Vasco,Pernoctaciones,2114.7
2016M03,"Rioja, La",Viajeros,346.12
2016M03,"Rioja, La",Pernoctaciones,563.74
2016M03,"Balears, Illes",Viajeros,
2016M03,"Balears, Illes",Pernoctaciones,
2016M03,"Murcia, Región de",Viajeros,
2016M03,"Murcia, Región de",Pernoctaciones,
2016M03,Canarias,Viajeros,
2016M03,Canarias,Pernoctaciones,
2016M03,Melilla,Viajeros,
2016M03,Melilla,Pernoctaciones,
2016M03,Ceuta,Viajeros,
2016M03,Ceuta,Pernoctaciones,
2016M04,TOTAL,Viajeros,3254.72
2016M04,TOTAL,Pernoctaciones,6680.18
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,378.07
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,911.81
2016M04,RESIDENTES EN ESPAŃA,Viajeros,2876.65
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,5768.36
2016M04,Andalucía,Viajeros,56.48
2016M04,Andalucía,Pernoctaciones,98.13
2016M04,Aragón,Viajeros,353.94
2016M04,Aragón,Pernoctaciones,773.53
2016M04,"Asturias, Principado de",Viajeros,63.3
2016M04,"Asturias, Principado de",Pernoctaciones,130.02
2016M04,Cantabria,Viajeros,80.13
2016M04,Cantabria,Pernoctaciones,136.61
2016M04,Castilla y León,Viajeros,253.57
2016M04,Castilla y León,Pernoctaciones,421
2016M04,Castilla - La Mancha,Viajeros,29.65
2016M04,Castilla - La Mancha,Pernoctaciones,44.48
2016M04,Cataluńa,Viajeros,160.26
2016M04,Cataluńa,Pernoctaciones,290.87
2016M04,Comunitat Valenciana,Viajeros,100.96
2016M04,Comunitat Valenciana,Pernoctaciones,203.91
2016M04,Extremadura,Viajeros,44.48
2016M04,Extremadura,Pernoctaciones,88.96
2016M04,Galicia,Viajeros,29.65
2016M04,Galicia,Pernoctaciones,29.65
2016M04,"Madrid, Comunidad de",Viajeros,944.72
2016M04,"Madrid, Comunidad de",Pernoctaciones,1735.9
2016M04,"Navarra, Comunidad Foral de",Viajeros,126.61
2016M04,"Navarra, Comunidad Foral de",Pernoctaciones,257.22
2016M04,País Vasco,Viajeros,451.81
2016M04,País Vasco,Pernoctaciones,1124.94
2016M04,"Rioja, La",Viajeros,92.13
2016M04,"Rioja, La",Pernoctaciones,166.26
2016M04,"Balears, Illes",Viajeros,
2016M04,"Balears, Illes",Pernoctaciones,
2016M04,"Murcia, Región de",Viajeros,
2016M04,"Murcia, Región de",Pernoctaciones,
2016M04,Canarias,Viajeros,88.96
2016M04,Canarias,Pernoctaciones,266.87
2016M04,Melilla,Viajeros,
2016M04,Melilla,Pernoctaciones,
2016M04,Ceuta,Viajeros,
2016M04,Ceuta,Pernoctaciones,
2016M05,TOTAL,Viajeros,4122.33
2016M05,TOTAL,Pernoctaciones,8490.82
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,651.46
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1289.16
2016M05,RESIDENTES EN ESPAŃA,Viajeros,3470.87
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,7201.66
2016M05,Andalucía,Viajeros,50.97
2016M05,Andalucía,Pernoctaciones,168.95
2016M05,Aragón,Viajeros,368.3
2016M05,Aragón,Pernoctaciones,744.06
2016M05,"Asturias, Principado de",Viajeros,49.18
2016M05,"Asturias, Principado de",Pernoctaciones,87.13
2016M05,Cantabria,Viajeros,140.73
2016M05,Cantabria,Pernoctaciones,317.53
2016M05,Castilla y León,Viajeros,343.02
2016M05,Castilla y León,Pernoctaciones,678.48
2016M05,Castilla - La Mancha,Viajeros,67.66
2016M05,Castilla - La Mancha,Pernoctaciones,257.01
2016M05,Cataluńa,Viajeros,202.13
2016M05,Cataluńa,Pernoctaciones,389.17
2016M05,Comunitat Valenciana,Viajeros,43.82
2016M05,Comunitat Valenciana,Pernoctaciones,92.85
2016M05,Extremadura,Viajeros,
2016M05,Extremadura,Pernoctaciones,
2016M05,Galicia,Viajeros,15.1
2016M05,Galicia,Pernoctaciones,29.26
2016M05,"Madrid, Comunidad de",Viajeros,1136.48
2016M05,"Madrid, Comunidad de",Pernoctaciones,2521.92
2016M05,"Navarra, Comunidad Foral de",Viajeros,120.32
2016M05,"Navarra, Comunidad Foral de",Pernoctaciones,195.33
2016M05,País Vasco,Viajeros,745.33
2016M05,País Vasco,Pernoctaciones,1362.89
2016M05,"Rioja, La",Viajeros,183.95
2016M05,"Rioja, La",Pernoctaciones,337.71
2016M05,"Balears, Illes",Viajeros,
2016M05,"Balears, Illes",Pernoctaciones,
2016M05,"Murcia, Región de",Viajeros,3.88
2016M05,"Murcia, Región de",Pernoctaciones,19.38
2016M05,Canarias,Viajeros,
2016M05,Canarias,Pernoctaciones,
2016M05,Melilla,Viajeros,
2016M05,Melilla,Pernoctaciones,
2016M05,Ceuta,Viajeros,
2016M05,Ceuta,Pernoctaciones,
2016M06,TOTAL,Viajeros,4092.78
2016M06,TOTAL,Pernoctaciones,8108.19
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,702.88
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1229.16
2016M06,RESIDENTES EN ESPAŃA,Viajeros,3389.9
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,6879.03
2016M06,Andalucía,Viajeros,77.07
2016M06,Andalucía,Pernoctaciones,297.68
2016M06,Aragón,Viajeros,171.45
2016M06,Aragón,Pernoctaciones,291.75
2016M06,"Asturias, Principado de",Viajeros,131.53
2016M06,"Asturias, Principado de",Pernoctaciones,438.44
2016M06,Cantabria,Viajeros,137.53
2016M06,Cantabria,Pernoctaciones,310.29
2016M06,Castilla y León,Viajeros,109.61
2016M06,Castilla y León,Pernoctaciones,175.37
2016M06,Castilla - La Mancha,Viajeros,14.61
2016M06,Castilla - La Mancha,Pernoctaciones,14.61
2016M06,Cataluńa,Viajeros,443.82
2016M06,Cataluńa,Pernoctaciones,822.57
2016M06,Comunitat Valenciana,Viajeros,93.77
2016M06,Comunitat Valenciana,Pernoctaciones,217.45
2016M06,Extremadura,Viajeros,
2016M06,Extremadura,Pernoctaciones,
2016M06,Galicia,Viajeros,4
2016M06,Galicia,Pernoctaciones,12
2016M06,"Madrid, Comunidad de",Viajeros,1121.87
2016M06,"Madrid, Comunidad de",Pernoctaciones,2095.66
2016M06,"Navarra, Comunidad Foral de",Viajeros,81.07
2016M06,"Navarra, Comunidad Foral de",Pernoctaciones,95.69
2016M06,País Vasco,Viajeros,882.65
2016M06,País Vasco,Pernoctaciones,1913.52
2016M06,"Rioja, La",Viajeros,116.92
2016M06,"Rioja, La",Pernoctaciones,189.99
2016M06,"Balears, Illes",Viajeros,
