Periodo,Grado de ocupación,Categoría,DATA
2021M09,Grado de ocupación por apartamentos,TOTAL,42.23
2021M09,Grado de ocupación por apartamentos,1 Llave,46.1
2021M09,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",22.18
2021M10,Grado de ocupación por plazas,TOTAL,25.15
2021M10,Grado de ocupación por plazas,1 Llave,26.02
2021M10,Grado de ocupación por plazas,"2, 3 y 4 Llaves",20.83
2021M10,Grado de ocupación por plazas en fin de semana,TOTAL,40.5
2021M10,Grado de ocupación por plazas en fin de semana,1 Llave,40.97
2021M10,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38.78
2021M10,Grado de ocupación por apartamentos,TOTAL,42.65
2021M10,Grado de ocupación por apartamentos,1 Llave,45.1
2021M10,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",30.13
2021M11,Grado de ocupación por plazas,TOTAL,14.51
2021M11,Grado de ocupación por plazas,1 Llave,14.62
2021M11,Grado de ocupación por plazas,"2, 3 y 4 Llaves",14.25
2021M11,Grado de ocupación por plazas en fin de semana,TOTAL,27.35
2021M11,Grado de ocupación por plazas en fin de semana,1 Llave,27.2
2021M11,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",28.77
2021M11,Grado de ocupación por apartamentos,TOTAL,30.87
2021M11,Grado de ocupación por apartamentos,1 Llave,32.4
2021M11,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",23.13
2021M12,Grado de ocupación por plazas,TOTAL,16.52
2021M12,Grado de ocupación por plazas,1 Llave,16.39
2021M12,Grado de ocupación por plazas,"2, 3 y 4 Llaves",17.23
2021M12,Grado de ocupación por plazas en fin de semana,TOTAL,19.35
2021M12,Grado de ocupación por plazas en fin de semana,1 Llave,19.19
2021M12,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",20.2
2021M12,Grado de ocupación por apartamentos,TOTAL,29.52
2021M12,Grado de ocupación por apartamentos,1 Llave,31.01
2021M12,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",21.97
2022M01,Grado de ocupación por plazas,TOTAL,7.55
2022M01,Grado de ocupación por plazas,1 Llave,7.31
2022M01,Grado de ocupación por plazas,"2, 3 y 4 Llaves",9.68
2022M01,Grado de ocupación por plazas en fin de semana,TOTAL,14.67
2022M01,Grado de ocupación por plazas en fin de semana,1 Llave,13.3
2022M01,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",24.83
2022M01,Grado de ocupación por apartamentos,TOTAL,14.19
2022M01,Grado de ocupación por apartamentos,1 Llave,14.14
2022M01,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",16.27
2022M02,Grado de ocupación por plazas,TOTAL,13.31
2022M02,Grado de ocupación por plazas,1 Llave,13.77
2022M02,Grado de ocupación por plazas,"2, 3 y 4 Llaves",11.22
2022M02,Grado de ocupación por plazas en fin de semana,TOTAL,27.53
2022M02,Grado de ocupación por plazas en fin de semana,1 Llave,29.75
2022M02,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",15.14
2022M02,Grado de ocupación por apartamentos,TOTAL,23.32
2022M02,Grado de ocupación por apartamentos,1 Llave,24.65
2022M02,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",17.07
2022M03,Grado de ocupación por plazas,TOTAL,10.65
2022M03,Grado de ocupación por plazas,1 Llave,10.82
2022M03,Grado de ocupación por plazas,"2, 3 y 4 Llaves",10.09
2022M03,Grado de ocupación por plazas en fin de semana,TOTAL,28.3
2022M03,Grado de ocupación por plazas en fin de semana,1 Llave,29.18
2022M03,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",24
2022M03,Grado de ocupación por apartamentos,TOTAL,19.32
2022M03,Grado de ocupación por apartamentos,1 Llave,19.78
2022M03,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",18.3
2022M04,Grado de ocupación por plazas,TOTAL,21.06
2022M04,Grado de ocupación por plazas,1 Llave,21.81
2022M04,Grado de ocupación por plazas,"2, 3 y 4 Llaves",17.15
2022M04,Grado de ocupación por plazas en fin de semana,TOTAL,32.46
2022M04,Grado de ocupación por plazas en fin de semana,1 Llave,34.55
2022M04,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",21.88
2022M04,Grado de ocupación por apartamentos,TOTAL,32.45
2022M04,Grado de ocupación por apartamentos,1 Llave,34.49
2022M04,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",21.83
2022M05,Grado de ocupación por plazas,TOTAL,13.84
2022M05,Grado de ocupación por plazas,1 Llave,14.39
2022M05,Grado de ocupación por plazas,"2, 3 y 4 Llaves",11
2022M05,Grado de ocupación por plazas en fin de semana,TOTAL,32.36
2022M05,Grado de ocupación por plazas en fin de semana,1 Llave,33.07
2022M05,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",28.52
2022M05,Grado de ocupación por apartamentos,TOTAL,25.21
2022M05,Grado de ocupación por apartamentos,1 Llave,26.74
2022M05,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",17.24
2022M06,Grado de ocupación por plazas,TOTAL,18.86
2022M06,Grado de ocupación por plazas,1 Llave,19.46
2022M06,Grado de ocupación por plazas,"2, 3 y 4 Llaves",15.93
2022M06,Grado de ocupación por plazas en fin de semana,TOTAL,38.75
2022M06,Grado de ocupación por plazas en fin de semana,1 Llave,38.84
2022M06,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38.98
2022M06,Grado de ocupación por apartamentos,TOTAL,31.6
2022M06,Grado de ocupación por apartamentos,1 Llave,32.72
2022M06,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",26.14
2022M07,Grado de ocupación por plazas,TOTAL,31.73
2022M07,Grado de ocupación por plazas,1 Llave,34.15
2022M07,Grado de ocupación por plazas,"2, 3 y 4 Llaves",20.86
2022M07,Grado de ocupación por plazas en fin de semana,TOTAL,45.87
2022M07,Grado de ocupación por plazas en fin de semana,1 Llave,48.91
2022M07,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",32.16
2022M07,Grado de ocupación por apartamentos,TOTAL,47.14
2022M07,Grado de ocupación por apartamentos,1 Llave,50.39
2022M07,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",32.97
2022M09,Grado de ocupación por plazas,TOTAL,20.62
2022M09,Grado de ocupación por plazas,1 Llave,21.75
2022M09,Grado de ocupación por plazas,"2, 3 y 4 Llaves",14.91
2022M09,Grado de ocupación por plazas en fin de semana,TOTAL,39.31
2022M09,Grado de ocupación por plazas en fin de semana,1 Llave,40.23
2022M09,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",34.27
2022M09,Grado de ocupación por apartamentos,TOTAL,35.56
2022M09,Grado de ocupación por apartamentos,1 Llave,38.09
2022M09,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",22.57
2022M10,Grado de ocupación por plazas,TOTAL,21.23
2022M10,Grado de ocupación por plazas,1 Llave,22.08
2022M10,Grado de ocupación por plazas,"2, 3 y 4 Llaves",16.7
2022M10,Grado de ocupación por plazas en fin de semana,TOTAL,41.96
2022M10,Grado de ocupación por plazas en fin de semana,1 Llave,44.46
2022M10,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",29.16
2022M10,Grado de ocupación por apartamentos,TOTAL,34.57
2022M10,Grado de ocupación por apartamentos,1 Llave,36.9
2022M10,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",22.47
2022M11,Grado de ocupación por plazas,TOTAL,12.96
2022M11,Grado de ocupación por plazas,1 Llave,12.88
2022M11,Grado de ocupación por plazas,"2, 3 y 4 Llaves",13.74
2022M11,Grado de ocupación por plazas en fin de semana,TOTAL,33.29
2022M11,Grado de ocupación por plazas en fin de semana,1 Llave,32.54
2022M11,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38.52
2022M11,Grado de ocupación por apartamentos,TOTAL,21.49
2022M11,Grado de ocupación por apartamentos,1 Llave,21.78
2022M11,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",21.05
2022M12,Grado de ocupación por plazas,TOTAL,20.02
2022M12,Grado de ocupación por plazas,1 Llave,20.23
2022M12,Grado de ocupación por plazas,"2, 3 y 4 Llaves",17.97
2022M12,Grado de ocupación por plazas en fin de semana,TOTAL,29.58
2022M12,Grado de ocupación por plazas en fin de semana,1 Llave,31.9
2022M12,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",18.62
2022M12,Grado de ocupación por apartamentos,TOTAL,28.99
2022M12,Grado de ocupación por apartamentos,1 Llave,30.98
2022M12,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",18.45
2023M01,Grado de ocupación por plazas,TOTAL,11.55
2023M01,Grado de ocupación por plazas,1 Llave,12.08
2023M01,Grado de ocupación por plazas,"2, 3 y 4 Llaves",9.19
2023M01,Grado de ocupación por plazas en fin de semana,TOTAL,19.08
2023M01,Grado de ocupación por plazas en fin de semana,1 Llave,16.15
2023M01,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",29.43
2023M01,Grado de ocupación por apartamentos,TOTAL,15.15
2023M01,Grado de ocupación por apartamentos,1 Llave,15.4
2023M01,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",13.81
2023M02,Grado de ocupación por plazas,TOTAL,16.87
2023M02,Grado de ocupación por plazas,1 Llave,14.75
2023M02,Grado de ocupación por plazas,"2, 3 y 4 Llaves",25.54
2023M02,Grado de ocupación por plazas en fin de semana,TOTAL,38.42
2023M02,Grado de ocupación por plazas en fin de semana,1 Llave,36.74
2023M02,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",44.97
2023M02,Grado de ocupación por apartamentos,TOTAL,21.83
2023M02,Grado de ocupación por apartamentos,1 Llave,19.95
2023M02,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",31.76
2023M03,Grado de ocupación por plazas,TOTAL,16.09
2023M03,Grado de ocupación por plazas,1 Llave,16.23
2023M03,Grado de ocupación por plazas,"2, 3 y 4 Llaves",15.37
2023M03,Grado de ocupación por plazas en fin de semana,TOTAL,40.51
2023M03,Grado de ocupación por plazas en fin de semana,1 Llave,41.8
2023M03,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",34.44
2023M03,Grado de ocupación por apartamentos,TOTAL,22.75
2023M03,Grado de ocupación por apartamentos,1 Llave,22.91
2023M03,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",21.97
2023M04,Grado de ocupación por plazas,TOTAL,25.56
2023M04,Grado de ocupación por plazas,1 Llave,28.72
2023M04,Grado de ocupación por plazas,"2, 3 y 4 Llaves",18.15
2023M04,Grado de ocupación por plazas en fin de semana,TOTAL,42.71
2023M04,Grado de ocupación por plazas en fin de semana,1 Llave,50.58
2023M04,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",22.69
2023M04,Grado de ocupación por apartamentos,TOTAL,35.82
2023M04,Grado de ocupación por apartamentos,1 Llave,42.3
2023M04,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",21.87
2023M05,Grado de ocupación por plazas,TOTAL,13.89
2023M05,Grado de ocupación por plazas,1 Llave,15.34
2023M05,Grado de ocupación por plazas,"2, 3 y 4 Llaves",10.29
2023M05,Grado de ocupación por plazas en fin de semana,TOTAL,29.46
2023M05,Grado de ocupación por plazas en fin de semana,1 Llave,32.01
2023M05,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",22.92
2023M05,Grado de ocupación por apartamentos,TOTAL,22.14
2023M05,Grado de ocupación por apartamentos,1 Llave,24.85
2023M05,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",15.1
2023M06,Grado de ocupación por plazas,TOTAL,17.46
2023M06,Grado de ocupación por plazas,1 Llave,17.18
2023M06,Grado de ocupación por plazas,"2, 3 y 4 Llaves",18.09
2023M06,Grado de ocupación por plazas en fin de semana,TOTAL,32.17
2023M06,Grado de ocupación por plazas en fin de semana,1 Llave,33.43
2023M06,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",28.68
2023M06,Grado de ocupación por apartamentos,TOTAL,28.82
2023M06,Grado de ocupación por apartamentos,1 Llave,29.19
2023M06,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",27.7
2023M07,Grado de ocupación por plazas,TOTAL,30.86
2023M07,Grado de ocupación por plazas,1 Llave,33.32
2023M07,Grado de ocupación por plazas,"2, 3 y 4 Llaves",30.13
2023M07,Grado de ocupación por plazas en fin de semana,TOTAL,45.3
2023M07,Grado de ocupación por plazas en fin de semana,1 Llave,52.34
2023M07,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",34.21
2023M07,Grado de ocupación por apartamentos,TOTAL,48.01
2023M07,Grado de ocupación por apartamentos,1 Llave,52.96
2023M07,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",46.45
2023M08,Grado de ocupación por plazas,TOTAL,50.1
2023M08,Grado de ocupación por plazas,1 Llave,52.41
2023M08,Grado de ocupación por plazas,"2, 3 y 4 Llaves",51.64
2023M08,Grado de ocupación por plazas en fin de semana,TOTAL,57.41
2023M08,Grado de ocupación por plazas en fin de semana,1 Llave,60.47
2023M08,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",57.97
2023M08,Grado de ocupación por apartamentos,TOTAL,61.03
2023M08,Grado de ocupación por apartamentos,1 Llave,66.52
2023M08,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",60.2
2023M09,Grado de ocupación por plazas,TOTAL,19.76
2023M09,Grado de ocupación por plazas,1 Llave,22.39
2023M09,Grado de ocupación por plazas,"2, 3 y 4 Llaves",13.1
2023M09,Grado de ocupación por plazas en fin de semana,TOTAL,35.15
2023M09,Grado de ocupación por plazas en fin de semana,1 Llave,37.8
2023M09,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",28.2
2023M09,Grado de ocupación por apartamentos,TOTAL,32.03
2023M09,Grado de ocupación por apartamentos,1 Llave,34.27
2023M09,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",25.38
2023M10,Grado de ocupación por plazas,TOTAL,22.07
2023M10,Grado de ocupación por plazas,1 Llave,28.5
2023M10,Grado de ocupación por plazas,"2, 3 y 4 Llaves",13.81
2023M10,Grado de ocupación por plazas en fin de semana,TOTAL,44.47
2023M10,Grado de ocupación por plazas en fin de semana,1 Llave,52.22
2023M10,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",39.32
2023M10,Grado de ocupación por apartamentos,TOTAL,34.22
2023M10,Grado de ocupación por apartamentos,1 Llave,42.82
2023M10,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",25.42
2023M11,Grado de ocupación por plazas,TOTAL,14.05
2023M11,Grado de ocupación por plazas,1 Llave,17.66
2023M11,Grado de ocupación por plazas,"2, 3 y 4 Llaves",9.58
2023M11,Grado de ocupación por plazas en fin de semana,TOTAL,22.72
2023M11,Grado de ocupación por plazas en fin de semana,1 Llave,27.11
2023M11,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",19.21
2023M11,Grado de ocupación por apartamentos,TOTAL,21.56
2023M11,Grado de ocupación por apartamentos,1 Llave,26.94
2023M11,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",15.82
2023M12,Grado de ocupación por plazas,TOTAL,21.06
2023M12,Grado de ocupación por plazas,1 Llave,26.08
2023M12,Grado de ocupación por plazas,"2, 3 y 4 Llaves",16.25
2023M12,Grado de ocupación por plazas en fin de semana,TOTAL,32.05
2023M12,Grado de ocupación por plazas en fin de semana,1 Llave,40.48
2023M12,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",23
2023M12,Grado de ocupación por apartamentos,TOTAL,27.6
2023M12,Grado de ocupación por apartamentos,1 Llave,33.97
2023M12,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",22.67
2024M01,Grado de ocupación por plazas,TOTAL,7.48
2024M01,Grado de ocupación por plazas,1 Llave,7.3
2024M01,Grado de ocupación por plazas,"2, 3 y 4 Llaves",7.97
2024M01,Grado de ocupación por plazas en fin de semana,TOTAL,13.7
2024M01,Grado de ocupación por plazas en fin de semana,1 Llave,12.11
2024M01,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",18.14
2024M01,Grado de ocupación por apartamentos,TOTAL,12.46
2024M01,Grado de ocupación por apartamentos,1 Llave,13.03
2024M01,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",10.79
2024M02,Grado de ocupación por plazas,TOTAL,10.49
2024M02,Grado de ocupación por plazas,1 Llave,8.45
2024M02,Grado de ocupación por plazas,"2, 3 y 4 Llaves",20.74
2024M02,Grado de ocupación por plazas en fin de semana,TOTAL,18.99
2024M02,Grado de ocupación por plazas en fin de semana,1 Llave,16.86
2024M02,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",29.65
2024M02,Grado de ocupación por apartamentos,TOTAL,14.52
2024M02,Grado de ocupación por apartamentos,1 Llave,12.01
2024M02,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",26.97
2024M03,Grado de ocupación por plazas,TOTAL,16.64
2024M03,Grado de ocupación por plazas,1 Llave,16
2024M03,Grado de ocupación por plazas,"2, 3 y 4 Llaves",18.18
2024M03,Grado de ocupación por plazas en fin de semana,TOTAL,30.63
2024M03,Grado de ocupación por plazas en fin de semana,1 Llave,30.3
2024M03,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",31.32
2024M03,Grado de ocupación por apartamentos,TOTAL,23.61
2024M03,Grado de ocupación por apartamentos,1 Llave,22.05
2024M03,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",27.58
