Periodo,Categoría,Grado de ocupación,DATA
2015M06,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,42.94
2015M06,1 y 2 estrellas,grado de ocupación por habitaciones,28.52
2015M06,Hostales y pensiones,grado de ocupación por plazas,30.13
2015M06,Hostales y pensiones,grado de ocupación de plazas de fin de semana,46.15
2015M06,Hostales y pensiones,grado de ocupación por habitaciones,35.55
2015M07,TOTAL,grado de ocupación por plazas,46.69
2015M07,TOTAL,grado de ocupación de plazas de fin de semana,60.86
2015M07,TOTAL,grado de ocupación por habitaciones,51.92
2015M07,4 y 5 estrellas,grado de ocupación por plazas,59.06
2015M07,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,71.03
2015M07,4 y 5 estrellas,grado de ocupación por habitaciones,64.03
2015M07,3 estrellas,grado de ocupación por plazas,51.59
2015M07,3 estrellas,grado de ocupación de plazas de fin de semana,68.15
2015M07,3 estrellas,grado de ocupación por habitaciones,58.42
2015M07,1 y 2 estrellas,grado de ocupación por plazas,25.97
2015M07,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,42.94
2015M07,1 y 2 estrellas,grado de ocupación por habitaciones,27.84
2015M07,Hostales y pensiones,grado de ocupación por plazas,29.28
2015M07,Hostales y pensiones,grado de ocupación de plazas de fin de semana,40
2015M07,Hostales y pensiones,grado de ocupación por habitaciones,33.62
2015M08,TOTAL,grado de ocupación por plazas,61.68
2015M08,TOTAL,grado de ocupación de plazas de fin de semana,65.95
2015M08,TOTAL,grado de ocupación por habitaciones,62.24
2015M08,4 y 5 estrellas,grado de ocupación por plazas,79.26
2015M08,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,80.12
2015M08,4 y 5 estrellas,grado de ocupación por habitaciones,77.74
2015M08,3 estrellas,grado de ocupación por plazas,68.74
2015M08,3 estrellas,grado de ocupación de plazas de fin de semana,71.93
2015M08,3 estrellas,grado de ocupación por habitaciones,69.81
2015M08,1 y 2 estrellas,grado de ocupación por plazas,37.67
2015M08,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,48.98
2015M08,1 y 2 estrellas,grado de ocupación por habitaciones,37.74
2015M08,Hostales y pensiones,grado de ocupación por plazas,37.1
2015M08,Hostales y pensiones,grado de ocupación de plazas de fin de semana,44.62
2015M08,Hostales y pensiones,grado de ocupación por habitaciones,40.31
2015M09,TOTAL,grado de ocupación por plazas,58.94
2015M09,TOTAL,grado de ocupación de plazas de fin de semana,72.27
2015M09,TOTAL,grado de ocupación por habitaciones,67.26
2015M09,4 y 5 estrellas,grado de ocupación por plazas,70.07
2015M09,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,83.67
2015M09,4 y 5 estrellas,grado de ocupación por habitaciones,79.29
2015M09,3 estrellas,grado de ocupación por plazas,66.11
2015M09,3 estrellas,grado de ocupación de plazas de fin de semana,80.13
2015M09,3 estrellas,grado de ocupación por habitaciones,75.13
2015M09,1 y 2 estrellas,grado de ocupación por plazas,30.67
2015M09,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,46.98
2015M09,1 y 2 estrellas,grado de ocupación por habitaciones,35.23
2015M09,Hostales y pensiones,grado de ocupación por plazas,43.42
2015M09,Hostales y pensiones,grado de ocupación de plazas de fin de semana,54
2015M09,Hostales y pensiones,grado de ocupación por habitaciones,52.07
2015M10,TOTAL,grado de ocupación por plazas,51.41
2015M10,TOTAL,grado de ocupación de plazas de fin de semana,68.34
2015M10,TOTAL,grado de ocupación por habitaciones,58.95
2015M10,4 y 5 estrellas,grado de ocupación por plazas,64.7
2015M10,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,78.04
2015M10,4 y 5 estrellas,grado de ocupación por habitaciones,74.52
2015M10,3 estrellas,grado de ocupación por plazas,57.05
2015M10,3 estrellas,grado de ocupación de plazas de fin de semana,76.73
2015M10,3 estrellas,grado de ocupación por habitaciones,65.74
2015M10,1 y 2 estrellas,grado de ocupación por plazas,25
2015M10,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,45.96
2015M10,1 y 2 estrellas,grado de ocupación por habitaciones,26.69
2015M10,Hostales y pensiones,grado de ocupación por plazas,35.69
2015M10,Hostales y pensiones,grado de ocupación de plazas de fin de semana,49.62
2015M10,Hostales y pensiones,grado de ocupación por habitaciones,42.33
2015M11,TOTAL,grado de ocupación por plazas,40.94
2015M11,TOTAL,grado de ocupación de plazas de fin de semana,59.68
2015M11,TOTAL,grado de ocupación por habitaciones,48.23
2015M11,4 y 5 estrellas,grado de ocupación por plazas,53.15
2015M11,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,74.29
2015M11,4 y 5 estrellas,grado de ocupación por habitaciones,63.01
2015M11,3 estrellas,grado de ocupación por plazas,45.27
2015M11,3 estrellas,grado de ocupación de plazas de fin de semana,65.91
2015M11,3 estrellas,grado de ocupación por habitaciones,52.71
2015M11,1 y 2 estrellas,grado de ocupación por plazas,25.83
2015M11,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,47.83
2015M11,1 y 2 estrellas,grado de ocupación por habitaciones,29.54
2015M11,Hostales y pensiones,grado de ocupación por plazas,25.2
2015M11,Hostales y pensiones,grado de ocupación de plazas de fin de semana,36.89
2015M11,Hostales y pensiones,grado de ocupación por habitaciones,31.83
2015M12,TOTAL,grado de ocupación por plazas,36.6
2015M12,TOTAL,grado de ocupación de plazas de fin de semana,41.66
2015M12,TOTAL,grado de ocupación por habitaciones,40.83
2015M12,4 y 5 estrellas,grado de ocupación por plazas,45.33
2015M12,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,49.05
2015M12,4 y 5 estrellas,grado de ocupación por habitaciones,48.81
2015M12,3 estrellas,grado de ocupación por plazas,39.98
2015M12,3 estrellas,grado de ocupación de plazas de fin de semana,46.09
2015M12,3 estrellas,grado de ocupación por habitaciones,45.66
2015M12,1 y 2 estrellas,grado de ocupación por plazas,18.3
2015M12,1 y 2 estrellas,grado de ocupación de plazas de fin de semana,23.05
2015M12,1 y 2 estrellas,grado de ocupación por habitaciones,18.68
2015M12,Hostales y pensiones,grado de ocupación por plazas,25.14
2015M12,Hostales y pensiones,grado de ocupación de plazas de fin de semana,29.82
2015M12,Hostales y pensiones,grado de ocupación por habitaciones,29.57
2016M01,TOTAL,grado de ocupación por plazas,29.95
2016M01,TOTAL,grado de ocupación de plazas de fin de semana,42.59
2016M01,TOTAL,grado de ocupación por habitaciones,35.78
2016M01,4 y 5 estrellas,grado de ocupación por plazas,36.65
2016M01,4 y 5 estrellas,grado de ocupación de plazas de fin de semana,58.27
2016M01,4 y 5 estrellas,grado de ocupación por habitaciones,43.07
