Periodo,Categoría,Estancia media,DATA
2015M08,TOTAL,Estancia media Residentes en Espańa,1.8
2015M08,TOTAL,Estancia media No residentes en Espańa,1.57
2015M08,4 y 5 estrellas,Estancia media,2.12
2015M08,4 y 5 estrellas,Estancia media Residentes en Espańa,2.18
2015M08,4 y 5 estrellas,Estancia media No residentes en Espańa,1.72
2015M08,3 estrellas,Estancia media,1.6
2015M08,3 estrellas,Estancia media Residentes en Espańa,1.6
2015M08,3 estrellas,Estancia media No residentes en Espańa,1.61
2015M08,1 y 2 estrellas,Estancia media,1.89
2015M08,1 y 2 estrellas,Estancia media Residentes en Espańa,1.96
2015M08,1 y 2 estrellas,Estancia media No residentes en Espańa,1.33
2015M08,Hostales y pensiones,Estancia media,1.7
2015M08,Hostales y pensiones,Estancia media Residentes en Espańa,1.79
2015M08,Hostales y pensiones,Estancia media No residentes en Espańa,1.21
2015M09,TOTAL,Estancia media,1.7
2015M09,TOTAL,Estancia media Residentes en Espańa,1.77
2015M09,TOTAL,Estancia media No residentes en Espańa,1.52
2015M09,4 y 5 estrellas,Estancia media,1.75
2015M09,4 y 5 estrellas,Estancia media Residentes en Espańa,1.85
2015M09,4 y 5 estrellas,Estancia media No residentes en Espańa,1.51
2015M09,3 estrellas,Estancia media,1.64
2015M09,3 estrellas,Estancia media Residentes en Espańa,1.66
2015M09,3 estrellas,Estancia media No residentes en Espańa,1.58
2015M09,1 y 2 estrellas,Estancia media,1.6
2015M09,1 y 2 estrellas,Estancia media Residentes en Espańa,1.61
2015M09,1 y 2 estrellas,Estancia media No residentes en Espańa,1.56
2015M09,Hostales y pensiones,Estancia media,1.82
2015M09,Hostales y pensiones,Estancia media Residentes en Espańa,2.08
2015M09,Hostales y pensiones,Estancia media No residentes en Espańa,1.37
2015M10,TOTAL,Estancia media,1.78
2015M10,TOTAL,Estancia media Residentes en Espańa,1.8
2015M10,TOTAL,Estancia media No residentes en Espańa,1.68
2015M10,4 y 5 estrellas,Estancia media,1.9
2015M10,4 y 5 estrellas,Estancia media Residentes en Espańa,1.9
2015M10,4 y 5 estrellas,Estancia media No residentes en Espańa,1.89
2015M10,3 estrellas,Estancia media,1.68
2015M10,3 estrellas,Estancia media Residentes en Espańa,1.7
2015M10,3 estrellas,Estancia media No residentes en Espańa,1.59
2015M10,1 y 2 estrellas,Estancia media,1.47
2015M10,1 y 2 estrellas,Estancia media Residentes en Espańa,1.48
2015M10,1 y 2 estrellas,Estancia media No residentes en Espańa,1.36
2015M10,Hostales y pensiones,Estancia media,2.02
2015M10,Hostales y pensiones,Estancia media Residentes en Espańa,2.1
2015M10,Hostales y pensiones,Estancia media No residentes en Espańa,1.56
2015M11,TOTAL,Estancia media,1.79
2015M11,TOTAL,Estancia media Residentes en Espańa,1.79
2015M11,TOTAL,Estancia media No residentes en Espańa,1.73
2015M11,4 y 5 estrellas,Estancia media,1.92
2015M11,4 y 5 estrellas,Estancia media Residentes en Espańa,1.94
2015M11,4 y 5 estrellas,Estancia media No residentes en Espańa,1.85
2015M11,3 estrellas,Estancia media,1.62
2015M11,3 estrellas,Estancia media Residentes en Espańa,1.62
2015M11,3 estrellas,Estancia media No residentes en Espańa,1.63
2015M11,1 y 2 estrellas,Estancia media,2.07
2015M11,1 y 2 estrellas,Estancia media Residentes en Espańa,2.03
2015M11,1 y 2 estrellas,Estancia media No residentes en Espańa,2.62
2015M11,Hostales y pensiones,Estancia media,2.08
2015M11,Hostales y pensiones,Estancia media Residentes en Espańa,2.15
2015M11,Hostales y pensiones,Estancia media No residentes en Espańa,1.62
2015M12,TOTAL,Estancia media,1.72
2015M12,TOTAL,Estancia media Residentes en Espańa,1.72
2015M12,TOTAL,Estancia media No residentes en Espańa,1.7
2015M12,4 y 5 estrellas,Estancia media,1.82
2015M12,4 y 5 estrellas,Estancia media Residentes en Espańa,1.82
2015M12,4 y 5 estrellas,Estancia media No residentes en Espańa,1.77
2015M12,3 estrellas,Estancia media,1.58
2015M12,3 estrellas,Estancia media Residentes en Espańa,1.58
2015M12,3 estrellas,Estancia media No residentes en Espańa,1.64
2015M12,1 y 2 estrellas,Estancia media,1.94
2015M12,1 y 2 estrellas,Estancia media Residentes en Espańa,1.94
2015M12,1 y 2 estrellas,Estancia media No residentes en Espańa,1.93
2015M12,Hostales y pensiones,Estancia media,2.01
2015M12,Hostales y pensiones,Estancia media Residentes en Espańa,2.03
