Periodo,País de residencia,Medida,DATA
2016M04,Resto de Europa,Pernoctaciones,5.35
2016M04,Estados Unidos,Viajeros,
2016M04,Estados Unidos,Pernoctaciones,
2016M04,Paises Bajos,Viajeros,13.38
2016M04,Paises Bajos,Pernoctaciones,13.38
2016M04,Italia,Viajeros,
2016M04,Italia,Pernoctaciones,
2016M05,TOTAL,Viajeros,3213.69
2016M05,TOTAL,Pernoctaciones,6539.54
2016M05,RESIDENTES EN ESPAŃA,Viajeros,2838.06
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,5830.02
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,375.63
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,709.51
2016M05,Alemania,Viajeros,44.34
2016M05,Alemania,Pernoctaciones,99.12
2016M05,Francia,Viajeros,146.08
2016M05,Francia,Pernoctaciones,292.15
2016M05,Reino Unido,Viajeros,31.3
2016M05,Reino Unido,Pernoctaciones,57.39
2016M05,Resto de no residentes en Espańa,Viajeros,28.69
2016M05,Resto de no residentes en Espańa,Pernoctaciones,39.13
2016M05,Resto de UE,Viajeros,10.43
2016M05,Resto de UE,Pernoctaciones,31.3
2016M05,Resto de Europa,Viajeros,
2016M05,Resto de Europa,Pernoctaciones,
2016M05,Estados Unidos,Viajeros,60
2016M05,Estados Unidos,Pernoctaciones,112.17
2016M05,Paises Bajos,Viajeros,18.26
2016M05,Paises Bajos,Pernoctaciones,20.87
2016M05,Italia,Viajeros,36.52
2016M05,Italia,Pernoctaciones,57.39
2016M06,TOTAL,Viajeros,2258.43
2016M06,TOTAL,Pernoctaciones,4440.25
2016M06,RESIDENTES EN ESPAŃA,Viajeros,1994.9
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,3956.08
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,263.53
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,484.17
2016M06,Alemania,Viajeros,33.71
2016M06,Alemania,Pernoctaciones,58.22
2016M06,Francia,Viajeros,88.87
2016M06,Francia,Pernoctaciones,174.67
2016M06,Reino Unido,Viajeros,18.39
2016M06,Reino Unido,Pernoctaciones,30.64
2016M06,Resto de no residentes en Espańa,Viajeros,24.51
2016M06,Resto de no residentes en Espańa,Pernoctaciones,36.77
2016M06,Resto de UE,Viajeros,12.26
2016M06,Resto de UE,Pernoctaciones,12.26
