Subcategoria,Periodo,Numero de Turistas,Categoria,Fecha,Indicador,Gastos/Estancia,Tipo de gasto
De Mercado,2020,22736.9,Tipo de alojamiento,2020-01-01,No disponible,No disponible,No disponible
De Mercado,2021,33676.5,Tipo de alojamiento,2021-01-01,No disponible,No disponible,No disponible
De Mercado,2022,79058.4,Tipo de alojamiento,2022-01-01,No disponible,No disponible,No disponible
De Mercado,2023,80533.9,Tipo de alojamiento,2023-01-01,No disponible,No disponible,No disponible
No de Mercado,2016,46432.4,Tipo de alojamiento,2016-01-01,No disponible,No disponible,No disponible
No de Mercado,2017,55863.4,Tipo de alojamiento,2017-01-01,No disponible,No disponible,No disponible
No de Mercado,2018,43812.6,Tipo de alojamiento,2018-01-01,No disponible,No disponible,No disponible
No de Mercado,2019,43996.2,Tipo de alojamiento,2019-01-01,No disponible,No disponible,No disponible
No de Mercado,2020,22618.4,Tipo de alojamiento,2020-01-01,No disponible,No disponible,No disponible
No de Mercado,2021,14236.5,Tipo de alojamiento,2021-01-01,No disponible,No disponible,No disponible
No de Mercado,2022,26851.3,Tipo de alojamiento,2022-01-01,No disponible,No disponible,No disponible
No de Mercado,2023,37673.9,Tipo de alojamiento,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,150778.8,Motivo del viaje,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,Motivo del viaje,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,Motivo del viaje,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,Motivo del viaje,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,Motivo del viaje,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,Motivo del viaje,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,Motivo del viaje,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,Motivo del viaje,2023-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2016,95878.8,Motivo del viaje,2016-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2017,77794.7,Motivo del viaje,2017-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2018,89030.3,Motivo del viaje,2018-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2019,87047.4,Motivo del viaje,2019-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2020,18074.5,Motivo del viaje,2020-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2021,29082.1,Motivo del viaje,2021-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2022,66072.5,Motivo del viaje,2022-01-01,No disponible,No disponible,No disponible
"Ocio, recreo y vacaciones",2023,62736.1,Motivo del viaje,2023-01-01,No disponible,No disponible,No disponible
Negocios,2016,20824.4,Motivo del viaje,2016-01-01,No disponible,No disponible,No disponible
Negocios,2017,14391.0,Motivo del viaje,2017-01-01,No disponible,No disponible,No disponible
Negocios,2018,23316.2,Motivo del viaje,2018-01-01,No disponible,No disponible,No disponible
Negocios,2019,19797.0,Motivo del viaje,2019-01-01,No disponible,No disponible,No disponible
Negocios,2020,7859.7,Motivo del viaje,2020-01-01,No disponible,No disponible,No disponible
Negocios,2021,7004.0,Motivo del viaje,2021-01-01,No disponible,No disponible,No disponible
Negocios,2022,17943.1,Motivo del viaje,2022-01-01,No disponible,No disponible,No disponible
Negocios,2023,22517.8,Motivo del viaje,2023-01-01,No disponible,No disponible,No disponible
Otros motivos,2016,34075.6,Motivo del viaje,2016-01-01,No disponible,No disponible,No disponible
Otros motivos,2017,32003.1,Motivo del viaje,2017-01-01,No disponible,No disponible,No disponible
Otros motivos,2018,30579.9,Motivo del viaje,2018-01-01,No disponible,No disponible,No disponible
Otros motivos,2019,32652.9,Motivo del viaje,2019-01-01,No disponible,No disponible,No disponible
Otros motivos,2020,19421.0,Motivo del viaje,2020-01-01,No disponible,No disponible,No disponible
Otros motivos,2021,11826.9,Motivo del viaje,2021-01-01,No disponible,No disponible,No disponible
Otros motivos,2022,21894.3,Motivo del viaje,2022-01-01,No disponible,No disponible,No disponible
Otros motivos,2023,32954.0,Motivo del viaje,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,150778.8,País de residencia,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,País de residencia,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,País de residencia,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,País de residencia,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,País de residencia,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,País de residencia,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,País de residencia,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,País de residencia,2023-01-01,No disponible,No disponible,No disponible
Europa,2016,139899.5,País de residencia,2016-01-01,No disponible,No disponible,No disponible
Europa,2017,108641.0,País de residencia,2017-01-01,No disponible,No disponible,No disponible
Europa,2018,130519.2,País de residencia,2018-01-01,No disponible,No disponible,No disponible
Europa,2019,122458.5,País de residencia,2019-01-01,No disponible,No disponible,No disponible
Europa,2020,43698.3,País de residencia,2020-01-01,No disponible,No disponible,No disponible
Europa,2021,43738.6,País de residencia,2021-01-01,No disponible,No disponible,No disponible
Europa,2022,92888.1,País de residencia,2022-01-01,No disponible,No disponible,No disponible
Europa,2023,106099.7,País de residencia,2023-01-01,No disponible,No disponible,No disponible
- UE27,2016,120389.2,País de residencia,2016-01-01,No disponible,No disponible,No disponible
- UE27,2017,85601.2,País de residencia,2017-01-01,No disponible,No disponible,No disponible
- UE27,2018,107388.3,País de residencia,2018-01-01,No disponible,No disponible,No disponible
- UE27,2019,104715.8,País de residencia,2019-01-01,No disponible,No disponible,No disponible
- UE27,2020,39080.7,País de residencia,2020-01-01,No disponible,No disponible,No disponible
- UE27,2021,38984.9,País de residencia,2021-01-01,No disponible,No disponible,No disponible
- UE27,2022,76246.5,País de residencia,2022-01-01,No disponible,No disponible,No disponible
- UE27,2023,90503.1,País de residencia,2023-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2016,19510.3,País de residencia,2016-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2017,23039.9,País de residencia,2017-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2018,23131.0,País de residencia,2018-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2019,17742.7,País de residencia,2019-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2020,4617.6,País de residencia,2020-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2021,4753.6,País de residencia,2021-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2022,16641.5,País de residencia,2022-01-01,No disponible,No disponible,No disponible
- Resto de Europa,2023,15596.6,País de residencia,2023-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2016,10879.3,País de residencia,2016-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2017,15547.8,País de residencia,2017-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2018,12407.2,País de residencia,2018-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2019,17038.9,País de residencia,2019-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2020,1657.0,País de residencia,2020-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2021,4174.4,País de residencia,2021-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2022,13021.7,País de residencia,2022-01-01,No disponible,No disponible,No disponible
Resto del Mundo,2023,12108.2,País de residencia,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,150778.8,Forma de organización,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,Forma de organización,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,Forma de organización,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,Forma de organización,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,Forma de organización,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,Forma de organización,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,Forma de organización,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,Forma de organización,2023-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2016,44565.6,Forma de organización,2016-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2017,7088.6,Forma de organización,2017-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2018,15141.2,Forma de organización,2018-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2019,6100.9,Forma de organización,2019-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2020,1521.2,Forma de organización,2020-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2021,2255.1,Forma de organización,2021-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2022,8356.2,Forma de organización,2022-01-01,No disponible,No disponible,No disponible
Con paquete turístico,2023,1961.1,Forma de organización,2023-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2016,106213.2,Forma de organización,2016-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2017,117100.2,Forma de organización,2017-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2018,127785.2,Forma de organización,2018-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2019,133396.5,Forma de organización,2019-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2020,43834.1,Forma de organización,2020-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2021,45657.8,Forma de organización,2021-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2022,97553.6,Forma de organización,2022-01-01,No disponible,No disponible,No disponible
Sin paquete turístico,2023,116246.8,Forma de organización,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,150778.8,Duración del viaje,2016-01-01,No disponible,No disponible,No disponible
TOTAL,2017,124188.8,Duración del viaje,2017-01-01,No disponible,No disponible,No disponible
TOTAL,2018,142926.4,Duración del viaje,2018-01-01,No disponible,No disponible,No disponible
TOTAL,2019,139497.3,Duración del viaje,2019-01-01,No disponible,No disponible,No disponible
TOTAL,2020,45355.2,Duración del viaje,2020-01-01,No disponible,No disponible,No disponible
TOTAL,2021,47913.0,Duración del viaje,2021-01-01,No disponible,No disponible,No disponible
TOTAL,2022,105909.8,Duración del viaje,2022-01-01,No disponible,No disponible,No disponible
TOTAL,2023,118207.9,Duración del viaje,2023-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2016,57894.5,Duración del viaje,2016-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2017,46325.0,Duración del viaje,2017-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2018,73762.6,Duración del viaje,2018-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2019,63612.3,Duración del viaje,2019-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2020,22865.3,Duración del viaje,2020-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2021,19531.7,Duración del viaje,2021-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2022,43842.0,Duración del viaje,2022-01-01,No disponible,No disponible,No disponible
De 1 a 3 noches,2023,54137.7,Duración del viaje,2023-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2016,92884.3,Duración del viaje,2016-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2017,77863.8,Duración del viaje,2017-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2018,69163.8,Duración del viaje,2018-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2019,75885.0,Duración del viaje,2019-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2020,22489.9,Duración del viaje,2020-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2021,28381.3,Duración del viaje,2021-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2022,62067.8,Duración del viaje,2022-01-01,No disponible,No disponible,No disponible
Más de 3 noches,2023,64070.2,Duración del viaje,2023-01-01,No disponible,No disponible,No disponible
TOTAL,2016,No disponible,Via de acceso,2016-01-01,Gasto total,93087.88,No disponible
TOTAL,2017,No disponible,Via de acceso,2017-01-01,Gasto total,101962.17,No disponible
TOTAL,2018,No disponible,Via de acceso,2018-01-01,Gasto total,101126.5,No disponible
TOTAL,2019,No disponible,Via de acceso,2019-01-01,Gasto total,98201.73,No disponible
TOTAL,2020,No disponible,Via de acceso,2020-01-01,Gasto total,21835.28,No disponible
TOTAL,2021,No disponible,Via de acceso,2021-01-01,Gasto total,42027.48,No disponible
TOTAL,2022,No disponible,Via de acceso,2022-01-01,Gasto total,108604.09,No disponible
TOTAL,2023,No disponible,Via de acceso,2023-01-01,Gasto total,86729.82,No disponible
TOTAL,2016,No disponible,Via de acceso,2016-01-01,Gasto medio por persona,650.63,No disponible
TOTAL,2017,No disponible,Via de acceso,2017-01-01,Gasto medio por persona,778.49,No disponible
TOTAL,2018,No disponible,Via de acceso,2018-01-01,Gasto medio por persona,707.54,No disponible
TOTAL,2019,No disponible,Via de acceso,2019-01-01,Gasto medio por persona,703.97,No disponible
TOTAL,2020,No disponible,Via de acceso,2020-01-01,Gasto medio por persona,481.43,No disponible
TOTAL,2021,No disponible,Via de acceso,2021-01-01,Gasto medio por persona,877.16,No disponible
TOTAL,2022,No disponible,Via de acceso,2022-01-01,Gasto medio por persona,966.32,No disponible
TOTAL,2023,No disponible,Via de acceso,2023-01-01,Gasto medio por persona,733.71,No disponible
TOTAL,2016,No disponible,Via de acceso,2016-01-01,Gasto medio diario por persona,98.8,No disponible
TOTAL,2017,No disponible,Via de acceso,2017-01-01,Gasto medio diario por persona,99.29,No disponible
TOTAL,2018,No disponible,Via de acceso,2018-01-01,Gasto medio diario por persona,104.29,No disponible
TOTAL,2019,No disponible,Via de acceso,2019-01-01,Gasto medio diario por persona,103.32,No disponible
TOTAL,2020,No disponible,Via de acceso,2020-01-01,Gasto medio diario por persona,73.44,No disponible
TOTAL,2021,No disponible,Via de acceso,2021-01-01,Gasto medio diario por persona,116.83,No disponible
TOTAL,2022,No disponible,Via de acceso,2022-01-01,Gasto medio diario por persona,134.45,No disponible
TOTAL,2023,No disponible,Via de acceso,2023-01-01,Gasto medio diario por persona,131.99,No disponible
TOTAL,2016,No disponible,Via de acceso,2016-01-01,Duración media de los viajes,6.59,No disponible
TOTAL,2017,No disponible,Via de acceso,2017-01-01,Duración media de los viajes,7.84,No disponible
TOTAL,2018,No disponible,Via de acceso,2018-01-01,Duración media de los viajes,6.78,No disponible
TOTAL,2019,No disponible,Via de acceso,2019-01-01,Duración media de los viajes,6.81,No disponible
TOTAL,2020,No disponible,Via de acceso,2020-01-01,Duración media de los viajes,6.56,No disponible
TOTAL,2021,No disponible,Via de acceso,2021-01-01,Duración media de los viajes,7.51,No disponible
TOTAL,2022,No disponible,Via de acceso,2022-01-01,Duración media de los viajes,7.19,No disponible
TOTAL,2023,No disponible,Via de acceso,2023-01-01,Duración media de los viajes,5.56,No disponible
Carretera,2016,No disponible,Via de acceso,2016-01-01,Gasto total,31196.19,No disponible
Carretera,2017,No disponible,Via de acceso,2017-01-01,Gasto total,26409.08,No disponible
Carretera,2018,No disponible,Via de acceso,2018-01-01,Gasto total,36415.05,No disponible
Carretera,2019,No disponible,Via de acceso,2019-01-01,Gasto total,32418.47,No disponible
Carretera,2020,No disponible,Via de acceso,2020-01-01,Gasto total,13537.0,No disponible
Carretera,2021,No disponible,Via de acceso,2021-01-01,Gasto total,12859.47,No disponible
Carretera,2022,No disponible,Via de acceso,2022-01-01,Gasto total,31930.1,No disponible
Carretera,2023,No disponible,Via de acceso,2023-01-01,Gasto total,29843.42,No disponible
Carretera,2016,No disponible,Via de acceso,2016-01-01,Gasto medio por persona,343.04,No disponible
Carretera,2017,No disponible,Via de acceso,2017-01-01,Gasto medio por persona,348.13,No disponible
Carretera,2018,No disponible,Via de acceso,2018-01-01,Gasto medio por persona,433.11,No disponible
Carretera,2019,No disponible,Via de acceso,2019-01-01,Gasto medio por persona,379.26,No disponible
Carretera,2020,No disponible,Via de acceso,2020-01-01,Gasto medio por persona,383.8,No disponible
Carretera,2021,No disponible,Via de acceso,2021-01-01,Gasto medio por persona,435.23,No disponible
Carretera,2022,No disponible,Via de acceso,2022-01-01,Gasto medio por persona,514.8,No disponible
Carretera,2023,No disponible,Via de acceso,2023-01-01,Gasto medio por persona,408.22,No disponible
Carretera,2016,No disponible,Via de acceso,2016-01-01,Gasto medio diario por persona,75.68,No disponible
Carretera,2017,No disponible,Via de acceso,2017-01-01,Gasto medio diario por persona,72.46,No disponible
Carretera,2018,No disponible,Via de acceso,2018-01-01,Gasto medio diario por persona,68.98,No disponible
Carretera,2019,No disponible,Via de acceso,2019-01-01,Gasto medio diario por persona,63.62,No disponible
Carretera,2020,No disponible,Via de acceso,2020-01-01,Gasto medio diario por persona,56.85,No disponible
Carretera,2021,No disponible,Via de acceso,2021-01-01,Gasto medio diario por persona,85.87,No disponible
Carretera,2022,No disponible,Via de acceso,2022-01-01,Gasto medio diario por persona,109.3,No disponible
Carretera,2023,No disponible,Via de acceso,2023-01-01,Gasto medio diario por persona,102.53,No disponible
Carretera,2016,No disponible,Via de acceso,2016-01-01,Duración media de los viajes,4.53,No disponible
Carretera,2017,No disponible,Via de acceso,2017-01-01,Duración media de los viajes,4.8,No disponible
Carretera,2018,No disponible,Via de acceso,2018-01-01,Duración media de los viajes,6.28,No disponible
Carretera,2019,No disponible,Via de acceso,2019-01-01,Duración media de los viajes,5.96,No disponible
Carretera,2020,No disponible,Via de acceso,2020-01-01,Duración media de los viajes,6.75,No disponible
Carretera,2021,No disponible,Via de acceso,2021-01-01,Duración media de los viajes,5.07,No disponible
Carretera,2022,No disponible,Via de acceso,2022-01-01,Duración media de los viajes,4.71,No disponible
Carretera,2023,No disponible,Via de acceso,2023-01-01,Duración media de los viajes,3.98,No disponible
Otra vía,2016,No disponible,Via de acceso,2016-01-01,Gasto total,61891.69,No disponible
Otra vía,2017,No disponible,Via de acceso,2017-01-01,Gasto total,75553.09,No disponible
Otra vía,2018,No disponible,Via de acceso,2018-01-01,Gasto total,64711.44,No disponible
Otra vía,2019,No disponible,Via de acceso,2019-01-01,Gasto total,65783.26,No disponible
Otra vía,2020,No disponible,Via de acceso,2020-01-01,Gasto total,8298.28,No disponible
Otra vía,2021,No disponible,Via de acceso,2021-01-01,Gasto total,29168.02,No disponible
Otra vía,2022,No disponible,Via de acceso,2022-01-01,Gasto total,76674.0,No disponible
Otra vía,2023,No disponible,Via de acceso,2023-01-01,Gasto total,56886.39,No disponible
Otra vía,2016,No disponible,Via de acceso,2016-01-01,Gasto medio por persona,1187.2,No disponible
Otra vía,2017,No disponible,Via de acceso,2017-01-01,Gasto medio por persona,1370.82,No disponible
Otra vía,2018,No disponible,Via de acceso,2018-01-01,Gasto medio por persona,1099.64,No disponible
Otra vía,2019,No disponible,Via de acceso,2019-01-01,Gasto medio por persona,1217.79,No disponible
Otra vía,2020,No disponible,Via de acceso,2020-01-01,Gasto medio por persona,822.87,No disponible
Otra vía,2021,No disponible,Via de acceso,2021-01-01,Gasto medio por persona,1588.1,No disponible
Otra vía,2022,No disponible,Via de acceso,2022-01-01,Gasto medio por persona,1522.36,No disponible
Otra vía,2023,No disponible,Via de acceso,2023-01-01,Gasto medio por persona,1261.29,No disponible
Otra vía,2016,No disponible,Via de acceso,2016-01-01,Gasto medio diario por persona,116.78,No disponible
Otra vía,2017,No disponible,Via de acceso,2017-01-01,Gasto medio diario por persona,114.05,No disponible
Otra vía,2018,No disponible,Via de acceso,2018-01-01,Gasto medio diario por persona,146.5,No disponible
Otra vía,2019,No disponible,Via de acceso,2019-01-01,Gasto medio diario por persona,149.22,No disponible
Otra vía,2020,No disponible,Via de acceso,2020-01-01,Gasto medio diario por persona,140.17,No disponible
Otra vía,2021,No disponible,Via de acceso,2021-01-01,Gasto medio diario por persona,138.92,No disponible
Otra vía,2022,No disponible,Via de acceso,2022-01-01,Gasto medio diario por persona,148.7,No disponible
Otra vía,2023,No disponible,Via de acceso,2023-01-01,Gasto medio diario por persona,155.42,No disponible
Otra vía,2016,No disponible,Via de acceso,2016-01-01,Duración media de los viajes,10.17,No disponible
Otra vía,2017,No disponible,Via de acceso,2017-01-01,Duración media de los viajes,12.02,No disponible
Otra vía,2018,No disponible,Via de acceso,2018-01-01,Duración media de los viajes,7.51,No disponible
Otra vía,2019,No disponible,Via de acceso,2019-01-01,Duración media de los viajes,8.16,No disponible
Otra vía,2020,No disponible,Via de acceso,2020-01-01,Duración media de los viajes,5.87,No disponible
Otra vía,2021,No disponible,Via de acceso,2021-01-01,Duración media de los viajes,11.43,No disponible
Otra vía,2022,No disponible,Via de acceso,2022-01-01,Duración media de los viajes,10.24,No disponible
Otra vía,2023,No disponible,Via de acceso,2023-01-01,Duración media de los viajes,8.12,No disponible
TOTAL,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto total,93087.88,No disponible
TOTAL,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto total,101962.17,No disponible
TOTAL,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto total,101126.5,No disponible
TOTAL,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto total,98201.73,No disponible
TOTAL,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto total,21835.28,No disponible
TOTAL,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto total,42027.48,No disponible
TOTAL,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto total,108604.09,No disponible
TOTAL,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto total,86729.82,No disponible
TOTAL,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio por persona,650.63,No disponible
TOTAL,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio por persona,778.49,No disponible
TOTAL,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio por persona,707.54,No disponible
TOTAL,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio por persona,703.97,No disponible
TOTAL,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio por persona,481.43,No disponible
TOTAL,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio por persona,877.16,No disponible
TOTAL,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio por persona,966.32,No disponible
TOTAL,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio por persona,733.71,No disponible
TOTAL,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto medio diario por persona,98.8,No disponible
TOTAL,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto medio diario por persona,99.29,No disponible
TOTAL,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto medio diario por persona,104.29,No disponible
TOTAL,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto medio diario por persona,103.32,No disponible
TOTAL,2020,No disponible,Tipo de alojamiento,2020-01-01,Gasto medio diario por persona,73.44,No disponible
TOTAL,2021,No disponible,Tipo de alojamiento,2021-01-01,Gasto medio diario por persona,116.83,No disponible
TOTAL,2022,No disponible,Tipo de alojamiento,2022-01-01,Gasto medio diario por persona,134.45,No disponible
TOTAL,2023,No disponible,Tipo de alojamiento,2023-01-01,Gasto medio diario por persona,131.99,No disponible
TOTAL,2016,No disponible,Tipo de alojamiento,2016-01-01,Duración media de los viajes,6.59,No disponible
TOTAL,2017,No disponible,Tipo de alojamiento,2017-01-01,Duración media de los viajes,7.84,No disponible
TOTAL,2018,No disponible,Tipo de alojamiento,2018-01-01,Duración media de los viajes,6.78,No disponible
TOTAL,2019,No disponible,Tipo de alojamiento,2019-01-01,Duración media de los viajes,6.81,No disponible
TOTAL,2020,No disponible,Tipo de alojamiento,2020-01-01,Duración media de los viajes,6.56,No disponible
TOTAL,2021,No disponible,Tipo de alojamiento,2021-01-01,Duración media de los viajes,7.51,No disponible
TOTAL,2022,No disponible,Tipo de alojamiento,2022-01-01,Duración media de los viajes,7.19,No disponible
TOTAL,2023,No disponible,Tipo de alojamiento,2023-01-01,Duración media de los viajes,5.56,No disponible
De Mercado,2016,No disponible,Tipo de alojamiento,2016-01-01,Gasto total,56846.8,No disponible
De Mercado,2017,No disponible,Tipo de alojamiento,2017-01-01,Gasto total,72771.02,No disponible
De Mercado,2018,No disponible,Tipo de alojamiento,2018-01-01,Gasto total,62248.23,No disponible
De Mercado,2019,No disponible,Tipo de alojamiento,2019-01-01,Gasto total,59260.06,No disponible
