Subcategoria,Periodo,Numero de Turistas,Categoria,Fecha
Europa,2018,130519.2,País de residencia,2018-01-01
Europa,2019,122458.5,País de residencia,2019-01-01
Europa,2020,43698.3,País de residencia,2020-01-01
Europa,2021,43738.6,País de residencia,2021-01-01
Europa,2022,92888.1,País de residencia,2022-01-01
Europa,2023,106099.7,País de residencia,2023-01-01
- UE27,2016,120389.2,País de residencia,2016-01-01
- UE27,2017,85601.2,País de residencia,2017-01-01
- UE27,2018,107388.3,País de residencia,2018-01-01
- UE27,2019,104715.8,País de residencia,2019-01-01
- UE27,2020,39080.7,País de residencia,2020-01-01
- UE27,2021,38984.9,País de residencia,2021-01-01
- UE27,2022,76246.5,País de residencia,2022-01-01
- UE27,2023,90503.1,País de residencia,2023-01-01
- Resto de Europa,2016,19510.3,País de residencia,2016-01-01
- Resto de Europa,2017,23039.9,País de residencia,2017-01-01
- Resto de Europa,2018,23131.0,País de residencia,2018-01-01
- Resto de Europa,2019,17742.7,País de residencia,2019-01-01
- Resto de Europa,2020,4617.6,País de residencia,2020-01-01
- Resto de Europa,2021,4753.6,País de residencia,2021-01-01
- Resto de Europa,2022,16641.5,País de residencia,2022-01-01
- Resto de Europa,2023,15596.6,País de residencia,2023-01-01
Resto del Mundo,2016,10879.3,País de residencia,2016-01-01
Resto del Mundo,2017,15547.8,País de residencia,2017-01-01
Resto del Mundo,2018,12407.2,País de residencia,2018-01-01
Resto del Mundo,2019,17038.9,País de residencia,2019-01-01
Resto del Mundo,2020,1657.0,País de residencia,2020-01-01
Resto del Mundo,2021,4174.4,País de residencia,2021-01-01
Resto del Mundo,2022,13021.7,País de residencia,2022-01-01
Resto del Mundo,2023,12108.2,País de residencia,2023-01-01
TOTAL,2016,150778.8,Forma de organización,2016-01-01
TOTAL,2017,124188.8,Forma de organización,2017-01-01
TOTAL,2018,142926.4,Forma de organización,2018-01-01
TOTAL,2019,139497.3,Forma de organización,2019-01-01
TOTAL,2020,45355.2,Forma de organización,2020-01-01
TOTAL,2021,47913.0,Forma de organización,2021-01-01
TOTAL,2022,105909.8,Forma de organización,2022-01-01
TOTAL,2023,118207.9,Forma de organización,2023-01-01
Con paquete turístico,2016,44565.6,Forma de organización,2016-01-01
Con paquete turístico,2017,7088.6,Forma de organización,2017-01-01
Con paquete turístico,2018,15141.2,Forma de organización,2018-01-01
Con paquete turístico,2019,6100.9,Forma de organización,2019-01-01
Con paquete turístico,2020,1521.2,Forma de organización,2020-01-01
Con paquete turístico,2021,2255.1,Forma de organización,2021-01-01
Con paquete turístico,2022,8356.2,Forma de organización,2022-01-01
Con paquete turístico,2023,1961.1,Forma de organización,2023-01-01
Sin paquete turístico,2016,106213.2,Forma de organización,2016-01-01
Sin paquete turístico,2017,117100.2,Forma de organización,2017-01-01
Sin paquete turístico,2018,127785.2,Forma de organización,2018-01-01
Sin paquete turístico,2019,133396.5,Forma de organización,2019-01-01
Sin paquete turístico,2020,43834.1,Forma de organización,2020-01-01
Sin paquete turístico,2021,45657.8,Forma de organización,2021-01-01
Sin paquete turístico,2022,97553.6,Forma de organización,2022-01-01
Sin paquete turístico,2023,116246.8,Forma de organización,2023-01-01
TOTAL,2016,150778.8,Duración del viaje,2016-01-01
TOTAL,2017,124188.8,Duración del viaje,2017-01-01
TOTAL,2018,142926.4,Duración del viaje,2018-01-01
TOTAL,2019,139497.3,Duración del viaje,2019-01-01
TOTAL,2020,45355.2,Duración del viaje,2020-01-01
TOTAL,2021,47913.0,Duración del viaje,2021-01-01
TOTAL,2022,105909.8,Duración del viaje,2022-01-01
TOTAL,2023,118207.9,Duración del viaje,2023-01-01
De 1 a 3 noches,2016,57894.5,Duración del viaje,2016-01-01
De 1 a 3 noches,2017,46325.0,Duración del viaje,2017-01-01
De 1 a 3 noches,2018,73762.6,Duración del viaje,2018-01-01
De 1 a 3 noches,2019,63612.3,Duración del viaje,2019-01-01
De 1 a 3 noches,2020,22865.3,Duración del viaje,2020-01-01
De 1 a 3 noches,2021,19531.7,Duración del viaje,2021-01-01
De 1 a 3 noches,2022,43842.0,Duración del viaje,2022-01-01
De 1 a 3 noches,2023,54137.7,Duración del viaje,2023-01-01
Más de 3 noches,2016,92884.3,Duración del viaje,2016-01-01
Más de 3 noches,2017,77863.8,Duración del viaje,2017-01-01
Más de 3 noches,2018,69163.8,Duración del viaje,2018-01-01
Más de 3 noches,2019,75885.0,Duración del viaje,2019-01-01
Más de 3 noches,2020,22489.9,Duración del viaje,2020-01-01
Más de 3 noches,2021,28381.3,Duración del viaje,2021-01-01
Más de 3 noches,2022,62067.8,Duración del viaje,2022-01-01
Más de 3 noches,2023,64070.2,Duración del viaje,2023-01-01
