Subcategoria,Indicador,Periodo,Gastos/Estancia,Categoria,Tipo de gasto,Fecha
Otra vía,Gasto medio por persona,2020,822.87,Via de acceso,No disponible,2020-01-01
Otra vía,Gasto medio por persona,2021,1588.1,Via de acceso,No disponible,2021-01-01
Otra vía,Gasto medio por persona,2022,1522.36,Via de acceso,No disponible,2022-01-01
Otra vía,Gasto medio por persona,2023,1261.29,Via de acceso,No disponible,2023-01-01
Otra vía,Gasto medio diario por persona,2016,116.78,Via de acceso,No disponible,2016-01-01
Otra vía,Gasto medio diario por persona,2017,114.05,Via de acceso,No disponible,2017-01-01
Otra vía,Gasto medio diario por persona,2018,146.5,Via de acceso,No disponible,2018-01-01
Otra vía,Gasto medio diario por persona,2019,149.22,Via de acceso,No disponible,2019-01-01
Otra vía,Gasto medio diario por persona,2020,140.17,Via de acceso,No disponible,2020-01-01
Otra vía,Gasto medio diario por persona,2021,138.92,Via de acceso,No disponible,2021-01-01
Otra vía,Gasto medio diario por persona,2022,148.7,Via de acceso,No disponible,2022-01-01
Otra vía,Gasto medio diario por persona,2023,155.42,Via de acceso,No disponible,2023-01-01
Otra vía,Duración media de los viajes,2016,10.17,Via de acceso,No disponible,2016-01-01
Otra vía,Duración media de los viajes,2017,12.02,Via de acceso,No disponible,2017-01-01
Otra vía,Duración media de los viajes,2018,7.51,Via de acceso,No disponible,2018-01-01
Otra vía,Duración media de los viajes,2019,8.16,Via de acceso,No disponible,2019-01-01
Otra vía,Duración media de los viajes,2020,5.87,Via de acceso,No disponible,2020-01-01
Otra vía,Duración media de los viajes,2021,11.43,Via de acceso,No disponible,2021-01-01
Otra vía,Duración media de los viajes,2022,10.24,Via de acceso,No disponible,2022-01-01
Otra vía,Duración media de los viajes,2023,8.12,Via de acceso,No disponible,2023-01-01
TOTAL,Gasto total,2016,93087.88,Tipo de alojamiento,No disponible,2016-01-01
TOTAL,Gasto total,2017,101962.17,Tipo de alojamiento,No disponible,2017-01-01
TOTAL,Gasto total,2018,101126.5,Tipo de alojamiento,No disponible,2018-01-01
TOTAL,Gasto total,2019,98201.73,Tipo de alojamiento,No disponible,2019-01-01
TOTAL,Gasto total,2020,21835.28,Tipo de alojamiento,No disponible,2020-01-01
TOTAL,Gasto total,2021,42027.48,Tipo de alojamiento,No disponible,2021-01-01
TOTAL,Gasto total,2022,108604.09,Tipo de alojamiento,No disponible,2022-01-01
TOTAL,Gasto total,2023,86729.82,Tipo de alojamiento,No disponible,2023-01-01
TOTAL,Gasto medio por persona,2016,650.63,Tipo de alojamiento,No disponible,2016-01-01
TOTAL,Gasto medio por persona,2017,778.49,Tipo de alojamiento,No disponible,2017-01-01
TOTAL,Gasto medio por persona,2018,707.54,Tipo de alojamiento,No disponible,2018-01-01
TOTAL,Gasto medio por persona,2019,703.97,Tipo de alojamiento,No disponible,2019-01-01
TOTAL,Gasto medio por persona,2020,481.43,Tipo de alojamiento,No disponible,2020-01-01
TOTAL,Gasto medio por persona,2021,877.16,Tipo de alojamiento,No disponible,2021-01-01
