Periodo,Categoría,Residencia viajero,DATA
2016M11,Camping de 2Ş y 3Ş,TOTAL,
2016M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M12,TOTAL,TOTAL,8119
2016M12,TOTAL,Residentes en Espańa,8109.16
2016M12,TOTAL,No residentes en Espańa,9.84
2016M12,Camping de 1Ş,TOTAL,7365
2016M12,Camping de 1Ş,Residentes en Espańa,7355.16
2016M12,Camping de 1Ş,No residentes en Espańa,9.84
2016M12,Camping de 2Ş y 3Ş,TOTAL,
2016M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M01,TOTAL,TOTAL,2774
2017M01,TOTAL,Residentes en Espańa,2530.67
2017M01,TOTAL,No residentes en Espańa,243.33
2017M01,Camping de 1Ş,TOTAL,2774
2017M01,Camping de 1Ş,Residentes en Espańa,2530.67
2017M01,Camping de 1Ş,No residentes en Espańa,243.33
2017M01,Camping de 2Ş y 3Ş,TOTAL,
2017M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M02,TOTAL,TOTAL,3730
2017M02,TOTAL,Residentes en Espańa,3215.46
2017M02,TOTAL,No residentes en Espańa,514.54
2017M02,Camping de 1Ş,TOTAL,2661
2017M02,Camping de 1Ş,Residentes en Espańa,2539.52
2017M02,Camping de 1Ş,No residentes en Espańa,121.48
2017M02,Camping de 2Ş y 3Ş,TOTAL,
2017M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M03,TOTAL,TOTAL,9285
2017M03,TOTAL,Residentes en Espańa,8655.84
2017M03,TOTAL,No residentes en Espańa,629.16
2017M03,Camping de 1Ş,TOTAL,7108
2017M03,Camping de 1Ş,Residentes en Espańa,7075.54
2017M03,Camping de 1Ş,No residentes en Espańa,32.46
2017M03,Camping de 2Ş y 3Ş,TOTAL,
2017M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M04,TOTAL,TOTAL,31963
2017M04,TOTAL,Residentes en Espańa,27742.66
2017M04,TOTAL,No residentes en Espańa,4220.34
2017M04,Camping de 1Ş,TOTAL,23416
2017M04,Camping de 1Ş,Residentes en Espańa,22968.92
2017M04,Camping de 1Ş,No residentes en Espańa,447.08
2017M04,Camping de 2Ş y 3Ş,TOTAL,8547
2017M04,Camping de 2Ş y 3Ş,Residentes en Espańa,4773.73
2017M04,Camping de 2Ş y 3Ş,No residentes en Espańa,3773.27
2017M05,TOTAL,TOTAL,15744
2017M05,TOTAL,Residentes en Espańa,12880.14
2017M05,TOTAL,No residentes en Espańa,2863.86
2017M05,Camping de 1Ş,TOTAL,11440
2017M05,Camping de 1Ş,Residentes en Espańa,10449.78
2017M05,Camping de 1Ş,No residentes en Espańa,990.22
2017M05,Camping de 2Ş y 3Ş,TOTAL,4304
2017M05,Camping de 2Ş y 3Ş,Residentes en Espańa,2430.36
2017M05,Camping de 2Ş y 3Ş,No residentes en Espańa,1873.64
2017M06,TOTAL,TOTAL,26379
2017M06,TOTAL,Residentes en Espańa,20782.91
2017M06,TOTAL,No residentes en Espańa,5596.09
2017M06,Camping de 1Ş,TOTAL,17973
2017M06,Camping de 1Ş,Residentes en Espańa,16592.18
2017M06,Camping de 1Ş,No residentes en Espańa,1380.82
2017M06,Camping de 2Ş y 3Ş,TOTAL,8406
2017M06,Camping de 2Ş y 3Ş,Residentes en Espańa,4190.73
2017M06,Camping de 2Ş y 3Ş,No residentes en Espańa,4215.27
2017M07,TOTAL,TOTAL,92111
2017M07,TOTAL,Residentes en Espańa,87592.84
2017M07,TOTAL,No residentes en Espańa,4518.16
2017M07,Camping de 1Ş,TOTAL,74339
2017M07,Camping de 1Ş,Residentes en Espańa,71968.5
2017M07,Camping de 1Ş,No residentes en Espańa,2370.5
2017M07,Camping de 2Ş y 3Ş,TOTAL,17772
2017M07,Camping de 2Ş y 3Ş,Residentes en Espańa,15624.34
2017M07,Camping de 2Ş y 3Ş,No residentes en Espańa,2147.66
2017M08,TOTAL,TOTAL,143181
2017M08,TOTAL,Residentes en Espańa,136237.66
2017M08,TOTAL,No residentes en Espańa,6943.34
2017M08,Camping de 1Ş,TOTAL,119744
2017M08,Camping de 1Ş,Residentes en Espańa,114993.9
2017M08,Camping de 1Ş,No residentes en Espańa,4750.1
2017M08,Camping de 2Ş y 3Ş,TOTAL,23437
2017M08,Camping de 2Ş y 3Ş,Residentes en Espańa,21243.75
2017M08,Camping de 2Ş y 3Ş,No residentes en Espańa,2193.25
2017M09,TOTAL,TOTAL,26985
2017M09,TOTAL,Residentes en Espańa,23955.85
2017M09,TOTAL,No residentes en Espańa,3029.15
2017M09,Camping de 1Ş,TOTAL,19440
2017M09,Camping de 1Ş,Residentes en Espańa,18442.83
2017M09,Camping de 1Ş,No residentes en Espańa,997.17
2017M09,Camping de 2Ş y 3Ş,TOTAL,
2017M09,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M09,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M10,TOTAL,TOTAL,17000
2017M10,TOTAL,Residentes en Espańa,15317.29
2017M10,TOTAL,No residentes en Espańa,1682.71
2017M10,Camping de 1Ş,TOTAL,12247
2017M10,Camping de 1Ş,Residentes en Espańa,11878.72
2017M10,Camping de 1Ş,No residentes en Espańa,368.28
2017M10,Camping de 2Ş y 3Ş,TOTAL,
2017M10,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M10,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M11,TOTAL,TOTAL,10756
2017M11,TOTAL,Residentes en Espańa,10043.6
2017M11,TOTAL,No residentes en Espańa,712.4
2017M11,Camping de 1Ş,TOTAL,9508
2017M11,Camping de 1Ş,Residentes en Espańa,9330.88
2017M11,Camping de 1Ş,No residentes en Espańa,177.12
2017M11,Camping de 2Ş y 3Ş,TOTAL,
2017M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M12,TOTAL,TOTAL,8627.82
2017M12,TOTAL,Residentes en Espańa,8590.32
2017M12,TOTAL,No residentes en Espańa,37.51
2017M12,Camping de 1Ş,TOTAL,7459
2017M12,Camping de 1Ş,Residentes en Espańa,7421.49
2017M12,Camping de 1Ş,No residentes en Espańa,37.51
2017M12,Camping de 2Ş y 3Ş,TOTAL,
2017M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M01,TOTAL,TOTAL,3518
2018M01,TOTAL,Residentes en Espańa,3239.85
2018M01,TOTAL,No residentes en Espańa,278.15
2018M01,Camping de 1Ş,TOTAL,3518
2018M01,Camping de 1Ş,Residentes en Espańa,3239.85
2018M01,Camping de 1Ş,No residentes en Espańa,278.15
2018M01,Camping de 2Ş y 3Ş,TOTAL,
2018M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M02,TOTAL,TOTAL,4403.03
2018M02,TOTAL,Residentes en Espańa,3446.7
2018M02,TOTAL,No residentes en Espańa,956.32
2018M02,Camping de 1Ş,TOTAL,3184
2018M02,Camping de 1Ş,Residentes en Espańa,3018.29
2018M02,Camping de 1Ş,No residentes en Espańa,165.71
2018M02,Camping de 2Ş y 3Ş,TOTAL,
2018M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M03,TOTAL,TOTAL,22264
2018M03,TOTAL,Residentes en Espańa,19601.28
2018M03,TOTAL,No residentes en Espańa,2662.72
2018M03,Camping de 1Ş,TOTAL,18359
2018M03,Camping de 1Ş,Residentes en Espańa,17666.45
2018M03,Camping de 1Ş,No residentes en Espańa,692.55
2018M03,Camping de 2Ş y 3Ş,TOTAL,
2018M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2018M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2018M04,TOTAL,TOTAL,17154
2018M04,TOTAL,Residentes en Espańa,14360.61
2018M04,TOTAL,No residentes en Espańa,2793.39
2018M04,Camping de 1Ş,TOTAL,12055
2018M04,Camping de 1Ş,Residentes en Espańa,10425.47
2018M04,Camping de 1Ş,No residentes en Espańa,1629.53
2018M04,Camping de 2Ş y 3Ş,TOTAL,5099
2018M04,Camping de 2Ş y 3Ş,Residentes en Espańa,3935.14
2018M04,Camping de 2Ş y 3Ş,No residentes en Espańa,1163.86
2018M05,TOTAL,TOTAL,14174
2018M05,TOTAL,Residentes en Espańa,10680.27
2018M05,TOTAL,No residentes en Espańa,3493.73
2018M05,Camping de 1Ş,TOTAL,10020
2018M05,Camping de 1Ş,Residentes en Espańa,8443.34
2018M05,Camping de 1Ş,No residentes en Espańa,1576.66
2018M05,Camping de 2Ş y 3Ş,TOTAL,4154
2018M05,Camping de 2Ş y 3Ş,Residentes en Espańa,2236.94
2018M05,Camping de 2Ş y 3Ş,No residentes en Espańa,1917.06
2018M06,TOTAL,TOTAL,26239
2018M06,TOTAL,Residentes en Espańa,19418.04
2018M06,TOTAL,No residentes en Espańa,6820.96
2018M06,Camping de 1Ş,TOTAL,17585
2018M06,Camping de 1Ş,Residentes en Espańa,15080.09
2018M06,Camping de 1Ş,No residentes en Espańa,2504.91
2018M06,Camping de 2Ş y 3Ş,TOTAL,8654
2018M06,Camping de 2Ş y 3Ş,Residentes en Espańa,4337.95
2018M06,Camping de 2Ş y 3Ş,No residentes en Espańa,4316.05
2018M07,TOTAL,TOTAL,89444
2018M07,TOTAL,Residentes en Espańa,85347
2018M07,TOTAL,No residentes en Espańa,4097
2018M07,Camping de 1Ş,TOTAL,72086
2018M07,Camping de 1Ş,Residentes en Espańa,70574.17
2018M07,Camping de 1Ş,No residentes en Espańa,1511.83
2018M07,Camping de 2Ş y 3Ş,TOTAL,17358
2018M07,Camping de 2Ş y 3Ş,Residentes en Espańa,14772.83
2018M07,Camping de 2Ş y 3Ş,No residentes en Espańa,2585.17
2018M08,TOTAL,TOTAL,142395
2018M08,TOTAL,Residentes en Espańa,135543.2
2018M08,TOTAL,No residentes en Espańa,6851.8
2018M08,Camping de 1Ş,TOTAL,118154
2018M08,Camping de 1Ş,Residentes en Espańa,113660.8
2018M08,Camping de 1Ş,No residentes en Espańa,4493.2
2018M08,Camping de 2Ş y 3Ş,TOTAL,24241
2018M08,Camping de 2Ş y 3Ş,Residentes en Espańa,21882.4
2018M08,Camping de 2Ş y 3Ş,No residentes en Espańa,2358.6
