Periodo,CCAA de residencia,Medida,DATA
2016M02,NO RESIDENTE EN ESPAŃA,Pernoctaciones,550.06
2016M02,RESIDENTES EN ESPAŃA,Viajeros,1425
2016M02,RESIDENTES EN ESPAŃA,Pernoctaciones,3035.94
2016M02,Andalucía,Viajeros,
2016M02,Andalucía,Pernoctaciones,
2016M02,"Balears, Illes",Viajeros,8
2016M02,"Balears, Illes",Pernoctaciones,9.09
2016M02,Cataluńa,Viajeros,
2016M02,Cataluńa,Pernoctaciones,
2016M02,Comunitat Valenciana,Viajeros,
2016M02,Comunitat Valenciana,Pernoctaciones,
2016M02,"Madrid, Comunidad de",Viajeros,
2016M02,"Madrid, Comunidad de",Pernoctaciones,
2016M02,"Navarra, Comunidad Foral de",Viajeros,48.77
2016M02,"Navarra, Comunidad Foral de",Pernoctaciones,102.71
2016M02,País Vasco,Viajeros,1119.24
2016M02,País Vasco,Pernoctaciones,2426.58
2016M02,"Rioja, La",Viajeros,249
2016M02,"Rioja, La",Pernoctaciones,497.56
2016M02,Ceuta,Viajeros,
2016M02,Ceuta,Pernoctaciones,
2016M02,Aragón,Viajeros,
2016M02,Aragón,Pernoctaciones,
2016M02,Castilla y León,Viajeros,
2016M02,Castilla y León,Pernoctaciones,
2016M02,"Asturias, Principado de",Viajeros,
2016M02,"Asturias, Principado de",Pernoctaciones,
2016M02,Cantabria,Viajeros,
2016M02,Cantabria,Pernoctaciones,
2016M02,Galicia,Viajeros,
2016M02,Galicia,Pernoctaciones,
2016M02,Castilla - La Mancha,Viajeros,
2016M02,Castilla - La Mancha,Pernoctaciones,
2016M02,Canarias,Viajeros,
2016M02,Canarias,Pernoctaciones,
2016M02,"Murcia, Región de",Viajeros,
2016M02,"Murcia, Región de",Pernoctaciones,
2016M02,Extremadura,Viajeros,
2016M02,Extremadura,Pernoctaciones,
2016M02,Melilla,Viajeros,
2016M02,Melilla,Pernoctaciones,
2016M03,TOTAL,Viajeros,6966
2016M03,TOTAL,Pernoctaciones,19385
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,850.21
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2043.1
2016M03,RESIDENTES EN ESPAŃA,Viajeros,6115.79
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,17341.9
2016M03,Andalucía,Viajeros,
2016M03,Andalucía,Pernoctaciones,
2016M03,"Balears, Illes",Viajeros,
2016M03,"Balears, Illes",Pernoctaciones,
2016M03,Cataluńa,Viajeros,287.23
2016M03,Cataluńa,Pernoctaciones,691.6
2016M03,Comunitat Valenciana,Viajeros,33.5
2016M03,Comunitat Valenciana,Pernoctaciones,91.52
2016M03,"Madrid, Comunidad de",Viajeros,152.66
2016M03,"Madrid, Comunidad de",Pernoctaciones,296.83
2016M03,"Navarra, Comunidad Foral de",Viajeros,134.57
2016M03,"Navarra, Comunidad Foral de",Pernoctaciones,258.29
2016M03,País Vasco,Viajeros,5100.53
2016M03,País Vasco,Pernoctaciones,15298.83
2016M03,"Rioja, La",Viajeros,250.27
2016M03,"Rioja, La",Pernoctaciones,446.64
2016M03,Ceuta,Viajeros,
2016M03,Ceuta,Pernoctaciones,
2016M03,Aragón,Viajeros,8.38
2016M03,Aragón,Pernoctaciones,15.25
2016M03,Castilla y León,Viajeros,75.94
2016M03,Castilla y León,Pernoctaciones,121.52
2016M03,"Asturias, Principado de",Viajeros,16.75
2016M03,"Asturias, Principado de",Pernoctaciones,15.25
2016M03,Cantabria,Viajeros,37.3
2016M03,Cantabria,Pernoctaciones,75.86
2016M03,Galicia,Viajeros,18.65
2016M03,Galicia,Pernoctaciones,30.3
2016M03,Castilla - La Mancha,Viajeros,
2016M03,Castilla - La Mancha,Pernoctaciones,
2016M03,Canarias,Viajeros,
2016M03,Canarias,Pernoctaciones,
2016M03,"Murcia, Región de",Viajeros,
2016M03,"Murcia, Región de",Pernoctaciones,
2016M03,Extremadura,Viajeros,
2016M03,Extremadura,Pernoctaciones,
2016M03,Melilla,Viajeros,
2016M03,Melilla,Pernoctaciones,
2016M04,TOTAL,Viajeros,5859.94
2016M04,TOTAL,Pernoctaciones,14119.73
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,1461.73
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2284.97
2016M04,RESIDENTES EN ESPAŃA,Viajeros,4398.22
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,11834.76
2016M04,Andalucía,Viajeros,
2016M04,Andalucía,Pernoctaciones,
2016M04,"Balears, Illes",Viajeros,
2016M04,"Balears, Illes",Pernoctaciones,
2016M04,Cataluńa,Viajeros,
2016M04,Cataluńa,Pernoctaciones,58.98
2016M04,Comunitat Valenciana,Viajeros,30.2
2016M04,Comunitat Valenciana,Pernoctaciones,68.6
2016M04,"Madrid, Comunidad de",Viajeros,
2016M04,"Madrid, Comunidad de",Pernoctaciones,
2016M04,"Navarra, Comunidad Foral de",Viajeros,15.1
2016M04,"Navarra, Comunidad Foral de",Pernoctaciones,34.3
2016M04,País Vasco,Viajeros,3661.19
2016M04,País Vasco,Pernoctaciones,10500.68
2016M04,"Rioja, La",Viajeros,480.29
2016M04,"Rioja, La",Pernoctaciones,927.98
2016M04,Ceuta,Viajeros,
2016M04,Ceuta,Pernoctaciones,
2016M04,Aragón,Viajeros,
2016M04,Aragón,Pernoctaciones,
2016M04,Castilla y León,Viajeros,151.02
2016M04,Castilla y León,Pernoctaciones,174.45
2016M04,"Asturias, Principado de",Viajeros,
2016M04,"Asturias, Principado de",Pernoctaciones,
2016M04,Cantabria,Viajeros,45.31
2016M04,Cantabria,Pernoctaciones,52.34
2016M04,Galicia,Viajeros,
2016M04,Galicia,Pernoctaciones,
2016M04,Castilla - La Mancha,Viajeros,15.1
2016M04,Castilla - La Mancha,Pernoctaciones,17.45
2016M04,Canarias,Viajeros,
2016M04,Canarias,Pernoctaciones,
2016M04,"Murcia, Región de",Viajeros,
2016M04,"Murcia, Región de",Pernoctaciones,
2016M04,Extremadura,Viajeros,
2016M04,Extremadura,Pernoctaciones,
2016M04,Melilla,Viajeros,
2016M04,Melilla,Pernoctaciones,
2016M05,TOTAL,Viajeros,5883
2016M05,TOTAL,Pernoctaciones,13373
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,1408.57
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2738.96
2016M05,RESIDENTES EN ESPAŃA,Viajeros,4474.43
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,10634.04
2016M05,Andalucía,Viajeros,
2016M05,Andalucía,Pernoctaciones,
2016M05,"Balears, Illes",Viajeros,
2016M05,"Balears, Illes",Pernoctaciones,
2016M05,Cataluńa,Viajeros,112.21
2016M05,Cataluńa,Pernoctaciones,306.89
2016M05,Comunitat Valenciana,Viajeros,28.64
2016M05,Comunitat Valenciana,Pernoctaciones,73.11
2016M05,"Madrid, Comunidad de",Viajeros,62.5
2016M05,"Madrid, Comunidad de",Pernoctaciones,168.33
2016M05,"Navarra, Comunidad Foral de",Viajeros,213.24
2016M05,"Navarra, Comunidad Foral de",Pernoctaciones,514.34
2016M05,País Vasco,Viajeros,3603.21
2016M05,País Vasco,Pernoctaciones,8692.62
2016M05,"Rioja, La",Viajeros,230.45
2016M05,"Rioja, La",Pernoctaciones,483.44
2016M05,Ceuta,Viajeros,
2016M05,Ceuta,Pernoctaciones,
2016M05,Aragón,Viajeros,100.16
2016M05,Aragón,Pernoctaciones,178.53
2016M05,Castilla y León,Viajeros,22.62
2016M05,Castilla y León,Pernoctaciones,41.66
2016M05,"Asturias, Principado de",Viajeros,
2016M05,"Asturias, Principado de",Pernoctaciones,
2016M05,Cantabria,Viajeros,69.09
2016M05,Cantabria,Pernoctaciones,132.62
2016M05,Galicia,Viajeros,16.15
2016M05,Galicia,Pernoctaciones,21.25
2016M05,Castilla - La Mancha,Viajeros,
2016M05,Castilla - La Mancha,Pernoctaciones,
2016M05,Canarias,Viajeros,16.15
2016M05,Canarias,Pernoctaciones,21.25
2016M05,"Murcia, Región de",Viajeros,
2016M05,"Murcia, Región de",Pernoctaciones,
2016M05,Extremadura,Viajeros,
2016M05,Extremadura,Pernoctaciones,
2016M05,Melilla,Viajeros,
2016M05,Melilla,Pernoctaciones,
2016M06,TOTAL,Viajeros,8769.62
2016M06,TOTAL,Pernoctaciones,20382.14
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,2354.42
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,5215.36
2016M06,RESIDENTES EN ESPAŃA,Viajeros,6415.2
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,15166.79
2016M06,Andalucía,Viajeros,44.06
2016M06,Andalucía,Pernoctaciones,106.66
2016M06,"Balears, Illes",Viajeros,
2016M06,"Balears, Illes",Pernoctaciones,
2016M06,Cataluńa,Viajeros,50.14
2016M06,Cataluńa,Pernoctaciones,108.39
2016M06,Comunitat Valenciana,Viajeros,12.04
2016M06,Comunitat Valenciana,Pernoctaciones,24.28
2016M06,"Madrid, Comunidad de",Viajeros,108.21
2016M06,"Madrid, Comunidad de",Pernoctaciones,159.57
2016M06,"Navarra, Comunidad Foral de",Viajeros,142.14
2016M06,"Navarra, Comunidad Foral de",Pernoctaciones,249.81
2016M06,País Vasco,Viajeros,5480.34
2016M06,País Vasco,Pernoctaciones,13262.14
2016M06,"Rioja, La",Viajeros,442.16
2016M06,"Rioja, La",Pernoctaciones,1079.88
2016M06,Ceuta,Viajeros,
2016M06,Ceuta,Pernoctaciones,
2016M06,Aragón,Viajeros,23.97
2016M06,Aragón,Pernoctaciones,26.03
2016M06,Castilla y León,Viajeros,30.05
2016M06,Castilla y León,Pernoctaciones,31.22
2016M06,"Asturias, Principado de",Viajeros,62.07
2016M06,"Asturias, Principado de",Pernoctaciones,89.33
2016M06,Cantabria,Viajeros,12.04
2016M06,Cantabria,Pernoctaciones,12.14
2016M06,Galicia,Viajeros,
2016M06,Galicia,Pernoctaciones,
2016M06,Castilla - La Mancha,Viajeros,
2016M06,Castilla - La Mancha,Pernoctaciones,
2016M06,Canarias,Viajeros,7.99
2016M06,Canarias,Pernoctaciones,17.35
2016M06,"Murcia, Región de",Viajeros,
2016M06,"Murcia, Región de",Pernoctaciones,
2016M06,Extremadura,Viajeros,
2016M06,Extremadura,Pernoctaciones,
2016M06,Melilla,Viajeros,
2016M06,Melilla,Pernoctaciones,
2016M07,TOTAL,Viajeros,26438
2016M07,TOTAL,Pernoctaciones,78146
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,2874
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4618.68
2016M07,RESIDENTES EN ESPAŃA,Viajeros,23564
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,73527.32
2016M07,Andalucía,Viajeros,75.03
2016M07,Andalucía,Pernoctaciones,266.63
2016M07,"Balears, Illes",Viajeros,47.64
2016M07,"Balears, Illes",Pernoctaciones,46.65
2016M07,Cataluńa,Viajeros,682.68
2016M07,Cataluńa,Pernoctaciones,1218.69
2016M07,Comunitat Valenciana,Viajeros,213.77
2016M07,Comunitat Valenciana,Pernoctaciones,551.18
2016M07,"Madrid, Comunidad de",Viajeros,445.4
2016M07,"Madrid, Comunidad de",Pernoctaciones,659.95
2016M07,"Navarra, Comunidad Foral de",Viajeros,922.35
2016M07,"Navarra, Comunidad Foral de",Pernoctaciones,1474.59
2016M07,País Vasco,Viajeros,19770.72
2016M07,País Vasco,Pernoctaciones,64796.54
2016M07,"Rioja, La",Viajeros,850.74
2016M07,"Rioja, La",Pernoctaciones,3568.98
2016M07,Ceuta,Viajeros,
2016M07,Ceuta,Pernoctaciones,
2016M07,Aragón,Viajeros,100.63
2016M07,Aragón,Pernoctaciones,118.86
2016M07,Castilla y León,Viajeros,70.86
2016M07,Castilla y León,Pernoctaciones,74.82
2016M07,"Asturias, Principado de",Viajeros,27.39
2016M07,"Asturias, Principado de",Pernoctaciones,42.36
2016M07,Cantabria,Viajeros,194.12
2016M07,Cantabria,Pernoctaciones,278.29
2016M07,Galicia,Viajeros,89.02
2016M07,Galicia,Pernoctaciones,104.21
2016M07,Castilla - La Mancha,Viajeros,17.69
2016M07,Castilla - La Mancha,Pernoctaciones,40.66
2016M07,Canarias,Viajeros,
2016M07,Canarias,Pernoctaciones,
2016M07,"Murcia, Región de",Viajeros,55.97
2016M07,"Murcia, Región de",Pernoctaciones,121.65
2016M07,Extremadura,Viajeros,
2016M07,Extremadura,Pernoctaciones,163.26
2016M07,Melilla,Viajeros,
2016M07,Melilla,Pernoctaciones,
2016M08,TOTAL,Viajeros,29633
2016M08,TOTAL,Pernoctaciones,125250
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,4600.07
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,6724.39
2016M08,RESIDENTES EN ESPAŃA,Viajeros,25032.93
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,118525.61
2016M08,Andalucía,Viajeros,112.66
2016M08,Andalucía,Pernoctaciones,223
2016M08,"Balears, Illes",Viajeros,
2016M08,"Balears, Illes",Pernoctaciones,
2016M08,Cataluńa,Viajeros,1333.81
2016M08,Cataluńa,Pernoctaciones,2591.48
