Periodo,Categoría,DATA
2019M12,Camping de 2Ş y 3Ş,
2020M01,TOTAL,5702.45
2020M01,Camping de 1Ş,5222.45
2020M01,Camping de 2Ş y 3Ş,
2020M02,TOTAL,7495.86
2020M02,Camping de 1Ş,6384
2020M02,Camping de 2Ş y 3Ş,
2020M03,TOTAL,4926.04
2020M03,Camping de 1Ş,4126.68
2020M03,Camping de 2Ş y 3Ş,
2020M05,TOTAL,
2020M05,Camping de 1Ş,
2020M05,Camping de 2Ş y 3Ş,
2020M06,TOTAL,4503.17
2020M06,Camping de 1Ş,4503.17
2020M06,Camping de 2Ş y 3Ş,
2020M07,TOTAL,8249
2020M07,Camping de 1Ş,6837
2020M07,Camping de 2Ş y 3Ş,1412
2020M08,TOTAL,8249
2020M08,Camping de 1Ş,6837
2020M08,Camping de 2Ş y 3Ş,1412
2020M09,TOTAL,7796
2020M09,Camping de 1Ş,6384
2020M09,Camping de 2Ş y 3Ş,
2020M10,TOTAL,7654.91
2020M10,Camping de 1Ş,6342.01
2020M10,Camping de 2Ş y 3Ş,
2020M12,TOTAL,4590.06
2020M12,Camping de 1Ş,4342.32
2020M12,Camping de 2Ş y 3Ş,
2021M01,TOTAL,4176
2021M01,Camping de 1Ş,4176
2021M01,Camping de 2Ş y 3Ş,
2021M03,TOTAL,4374.19
2021M03,Camping de 1Ş,4176
2021M03,Camping de 2Ş y 3Ş,
2021M05,TOTAL,7308.77
2021M05,Camping de 1Ş,5896.77
2021M05,Camping de 2Ş y 3Ş,1412
2021M06,TOTAL,8249
2021M06,Camping de 1Ş,6837
2021M06,Camping de 2Ş y 3Ş,1412
2021M07,TOTAL,8249
2021M07,Camping de 1Ş,6837
2021M07,Camping de 2Ş y 3Ş,1412
2021M08,TOTAL,8249
2021M08,Camping de 1Ş,6837
2021M08,Camping de 2Ş y 3Ş,1412
2021M09,TOTAL,8249
2021M09,Camping de 1Ş,6837
2021M09,Camping de 2Ş y 3Ş,
2021M10,TOTAL,8249
2021M10,Camping de 1Ş,6837
2021M10,Camping de 2Ş y 3Ş,
2021M11,TOTAL,8249
2021M11,Camping de 1Ş,6837
2021M11,Camping de 2Ş y 3Ş,
2021M12,TOTAL,4935.61
2021M12,Camping de 1Ş,4534.19
2021M12,Camping de 2Ş y 3Ş,
2022M01,TOTAL,5229.68
2022M01,Camping de 1Ş,5113.55
2022M01,Camping de 2Ş y 3Ş,
2022M02,TOTAL,7284
2022M02,Camping de 1Ş,6384
2022M02,Camping de 2Ş y 3Ş,
2022M03,TOTAL,7796
2022M03,Camping de 1Ş,6384
2022M03,Camping de 2Ş y 3Ş,
2022M04,TOTAL,8249
2022M04,Camping de 1Ş,6837
2022M04,Camping de 2Ş y 3Ş,1412
2022M05,TOTAL,8249
2022M05,Camping de 1Ş,6837
2022M05,Camping de 2Ş y 3Ş,1412
2022M06,TOTAL,8249
2022M06,Camping de 1Ş,6837
2022M06,Camping de 2Ş y 3Ş,1412
2022M07,TOTAL,8249
2022M07,Camping de 1Ş,6837
2022M07,Camping de 2Ş y 3Ş,1412
2022M08,TOTAL,8249
2022M08,Camping de 1Ş,6837
2022M08,Camping de 2Ş y 3Ş,1412
2022M09,TOTAL,8249
2022M09,Camping de 1Ş,6837
2022M09,Camping de 2Ş y 3Ş,
2022M10,TOTAL,8249
2022M10,Camping de 1Ş,6837
2022M10,Camping de 2Ş y 3Ş,
2022M11,TOTAL,7958.87
2022M11,Camping de 1Ş,6837
2022M11,Camping de 2Ş y 3Ş,
2022M12,TOTAL,3712.1
2022M12,Camping de 1Ş,3174.03
2022M12,Camping de 2Ş y 3Ş,
2023M02,TOTAL,6417.71
2023M02,Camping de 1Ş,5517.71
2023M02,Camping de 2Ş y 3Ş,
2023M03,TOTAL,6532
2023M03,Camping de 1Ş,5632
2023M03,Camping de 2Ş y 3Ş,
2023M05,TOTAL,7497
2023M05,Camping de 1Ş,6085
2023M05,Camping de 2Ş y 3Ş,1412
2023M06,TOTAL,7497
2023M06,Camping de 1Ş,6085
2023M06,Camping de 2Ş y 3Ş,1412
2023M07,TOTAL,7497
2023M07,Camping de 1Ş,6085
2023M07,Camping de 2Ş y 3Ş,1412
2023M08,TOTAL,7497
2023M08,Camping de 1Ş,6085
2023M08,Camping de 2Ş y 3Ş,1412
2023M09,TOTAL,7497
2023M09,Camping de 1Ş,6085
2023M09,Camping de 2Ş y 3Ş,
2023M10,TOTAL,7497
2023M10,Camping de 1Ş,6085
2023M10,Camping de 2Ş y 3Ş,
2023M11,TOTAL,7346
2023M11,Camping de 1Ş,5934
2023M11,Camping de 2Ş y 3Ş,
2023M12,TOTAL,4820.52
2023M12,Camping de 1Ş,4282.45
2023M12,Camping de 2Ş y 3Ş,
2024M02,TOTAL,6500.97
2024M02,Camping de 1Ş,5632
2024M02,Camping de 2Ş y 3Ş,
2024M03,TOTAL,7150.16
2024M03,Camping de 1Ş,6085
2024M03,Camping de 2Ş y 3Ş,
