Periodo,Categoría,Estancia media,DATA
2016M08,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.62
2016M09,TOTAL,Estancia media,1.92
2016M09,TOTAL,Estancia media Residentes en Espańa,2.03
2016M09,TOTAL,Estancia media No residentes en Espańa,1.46
2016M09,Camping de 1Ş,Estancia media,1.76
2016M09,Camping de 1Ş,Estancia media Residentes en Espańa,1.83
2016M09,Camping de 1Ş,Estancia media No residentes en Espańa,1.21
2016M09,Camping de 2Ş y 3Ş,Estancia media,
2016M09,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M09,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M10,TOTAL,Estancia media,2.42
2016M10,TOTAL,Estancia media Residentes en Espańa,2.56
2016M10,TOTAL,Estancia media No residentes en Espańa,1.96
2016M10,Camping de 1Ş,Estancia media,2.43
2016M10,Camping de 1Ş,Estancia media Residentes en Espańa,2.54
2016M10,Camping de 1Ş,Estancia media No residentes en Espańa,1.41
2016M10,Camping de 2Ş y 3Ş,Estancia media,
2016M10,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M10,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M11,TOTAL,Estancia media,1.99
2016M11,TOTAL,Estancia media Residentes en Espańa,2.1
2016M11,TOTAL,Estancia media No residentes en Espańa,1.45
2016M11,Camping de 1Ş,Estancia media,2.01
2016M11,Camping de 1Ş,Estancia media Residentes en Espańa,2.09
2016M11,Camping de 1Ş,Estancia media No residentes en Espańa,1.24
2016M11,Camping de 2Ş y 3Ş,Estancia media,
2016M11,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M11,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2016M12,TOTAL,Estancia media,1.94
2016M12,TOTAL,Estancia media Residentes en Espańa,1.96
2016M12,TOTAL,Estancia media No residentes en Espańa,0.18
2016M12,Camping de 1Ş,Estancia media,1.87
2016M12,Camping de 1Ş,Estancia media Residentes en Espańa,1.9
2016M12,Camping de 1Ş,Estancia media No residentes en Espańa,0.18
2016M12,Camping de 2Ş y 3Ş,Estancia media,
2016M12,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2016M12,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M01,TOTAL,Estancia media,2.14
2017M01,TOTAL,Estancia media Residentes en Espańa,2.09
2017M01,TOTAL,Estancia media No residentes en Espańa,2.93
2017M01,Camping de 1Ş,Estancia media,2.14
2017M01,Camping de 1Ş,Estancia media Residentes en Espańa,2.09
2017M01,Camping de 1Ş,Estancia media No residentes en Espańa,2.93
2017M01,Camping de 2Ş y 3Ş,Estancia media,
2017M01,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M01,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M02,TOTAL,Estancia media,2.06
2017M02,TOTAL,Estancia media Residentes en Espańa,2.16
2017M02,TOTAL,Estancia media No residentes en Espańa,1.6
2017M02,Camping de 1Ş,Estancia media,2.36
2017M02,Camping de 1Ş,Estancia media Residentes en Espańa,2.38
2017M02,Camping de 1Ş,Estancia media No residentes en Espańa,2.01
2017M02,Camping de 2Ş y 3Ş,Estancia media,
2017M02,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M02,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M03,TOTAL,Estancia media,2.31
2017M03,TOTAL,Estancia media Residentes en Espańa,2.39
2017M03,TOTAL,Estancia media No residentes en Espańa,1.61
2017M03,Camping de 1Ş,Estancia media,2.6
2017M03,Camping de 1Ş,Estancia media Residentes en Espańa,2.61
2017M03,Camping de 1Ş,Estancia media No residentes en Espańa,1.16
2017M03,Camping de 2Ş y 3Ş,Estancia media,
2017M03,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2017M03,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2017M04,TOTAL,Estancia media,2.91
2017M04,TOTAL,Estancia media Residentes en Espańa,3.05
2017M04,TOTAL,Estancia media No residentes en Espańa,2.22
2017M04,Camping de 1Ş,Estancia media,2.93
2017M04,Camping de 1Ş,Estancia media Residentes en Espańa,3.02
2017M04,Camping de 1Ş,Estancia media No residentes en Espańa,1.16
2017M04,Camping de 2Ş y 3Ş,Estancia media,2.85
2017M04,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,3.21
2017M04,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.49
2017M05,TOTAL,Estancia media,2.13
2017M05,TOTAL,Estancia media Residentes en Espańa,2.21
2017M05,TOTAL,Estancia media No residentes en Espańa,1.82
2017M05,Camping de 1Ş,Estancia media,2.23
2017M05,Camping de 1Ş,Estancia media Residentes en Espańa,2.29
2017M05,Camping de 1Ş,Estancia media No residentes en Espańa,1.74
2017M05,Camping de 2Ş y 3Ş,Estancia media,1.9
2017M05,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,1.93
2017M05,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,1.87
2017M06,TOTAL,Estancia media,2.09
2017M06,TOTAL,Estancia media Residentes en Espańa,2.15
2017M06,TOTAL,Estancia media No residentes en Espańa,1.89
2017M06,Camping de 1Ş,Estancia media,2.07
2017M06,Camping de 1Ş,Estancia media Residentes en Espańa,2.14
2017M06,Camping de 1Ş,Estancia media No residentes en Espańa,1.53
2017M06,Camping de 2Ş y 3Ş,Estancia media,2.13
2017M06,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,2.21
2017M06,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.06
2017M07,TOTAL,Estancia media,2.75
2017M07,TOTAL,Estancia media Residentes en Espańa,2.85
2017M07,TOTAL,Estancia media No residentes en Espańa,1.6
