Periodo,País de residencia,Medida,DATA
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2042.96
2016M03,Alemania,Viajeros,37.3
2016M03,Alemania,Pernoctaciones,64.22
2016M03,Francia,Viajeros,98.83
2016M03,Francia,Pernoctaciones,135.67
2016M03,Paises Bajos,Viajeros,64.33
2016M03,Paises Bajos,Pernoctaciones,121.88
2016M03,Reino Unido,Viajeros,609.27
2016M03,Reino Unido,Pernoctaciones,1645.53
2016M03,Paises Nordicos,Viajeros,
2016M03,Paises Nordicos,Pernoctaciones,
2016M03,Italia,Viajeros,
2016M03,Italia,Pernoctaciones,
2016M03,Resto de UE,Viajeros,20.55
2016M03,Resto de UE,Pernoctaciones,30.1
2016M03,Resto de Europa,Viajeros,20.94
2016M03,Resto de Europa,Pernoctaciones,30.51
2016M03,Estados Unidos,Viajeros,
2016M03,Estados Unidos,Pernoctaciones,15.05
2016M03,Resto de no residentes en Espańa,Viajeros,
2016M03,Resto de no residentes en Espańa,Pernoctaciones,
2016M03,Resto de America,Viajeros,
2016M03,Resto de America,Pernoctaciones,
2016M04,TOTAL,Viajeros,5859.94
2016M04,TOTAL,Pernoctaciones,14119.73
2016M04,RESIDENTES EN ESPAŃA,Viajeros,4398.22
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,11834.76
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,1461.73
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2284.97
2016M04,Alemania,Viajeros,60.41
2016M04,Alemania,Pernoctaciones,87.23
2016M04,Francia,Viajeros,179.82
2016M04,Francia,Pernoctaciones,222.94
2016M04,Paises Bajos,Viajeros,42.32
2016M04,Paises Bajos,Pernoctaciones,68
2016M04,Reino Unido,Viajeros,1065.86
2016M04,Reino Unido,Pernoctaciones,1716.69
2016M04,Paises Nordicos,Viajeros,18.15
2016M04,Paises Nordicos,Pernoctaciones,16.85
2016M04,Italia,Viajeros,
2016M04,Italia,Pernoctaciones,
2016M04,Resto de UE,Viajeros,80.08
2016M04,Resto de UE,Pernoctaciones,120.93
2016M04,Resto de Europa,Viajeros,15.1
2016M04,Resto de Europa,Pernoctaciones,52.34
2016M04,Estados Unidos,Viajeros,
2016M04,Estados Unidos,Pernoctaciones,
2016M04,Resto de no residentes en Espańa,Viajeros,
2016M04,Resto de no residentes en Espańa,Pernoctaciones,
2016M04,Resto de America,Viajeros,
2016M04,Resto de America,Pernoctaciones,
2016M05,TOTAL,Viajeros,5883
2016M05,TOTAL,Pernoctaciones,13373
2016M05,RESIDENTES EN ESPAŃA,Viajeros,4474.43
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,10634.04
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,1408.57
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2738.96
2016M05,Alemania,Viajeros,221.64
2016M05,Alemania,Pernoctaciones,297.29
2016M05,Francia,Viajeros,212.78
2016M05,Francia,Pernoctaciones,417.08
2016M05,Paises Bajos,Viajeros,281.15
2016M05,Paises Bajos,Pernoctaciones,674.15
2016M05,Reino Unido,Viajeros,443.43
2016M05,Reino Unido,Pernoctaciones,925.15
2016M05,Paises Nordicos,Viajeros,15.16
2016M05,Paises Nordicos,Pernoctaciones,23.8
2016M05,Italia,Viajeros,26.14
2016M05,Italia,Pernoctaciones,32.25
2016M05,Resto de UE,Viajeros,149.86
2016M05,Resto de UE,Pernoctaciones,230.95
2016M05,Resto de Europa,Viajeros,43.25
2016M05,Resto de Europa,Pernoctaciones,114.48
2016M05,Estados Unidos,Viajeros,7.58
2016M05,Estados Unidos,Pernoctaciones,7.93
2016M05,Resto de no residentes en Espańa,Viajeros,7.58
2016M05,Resto de no residentes en Espańa,Pernoctaciones,15.87
2016M05,Resto de America,Viajeros,
2016M05,Resto de America,Pernoctaciones,
2016M06,TOTAL,Viajeros,8769.62
2016M06,TOTAL,Pernoctaciones,20382.14
2016M06,RESIDENTES EN ESPAŃA,Viajeros,6415.2
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,15166.79
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,2354.42
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,5215.36
2016M06,Alemania,Viajeros,252.91
2016M06,Alemania,Pernoctaciones,604.07
2016M06,Francia,Viajeros,112.09
2016M06,Francia,Pernoctaciones,234.2
2016M06,Paises Bajos,Viajeros,388.66
2016M06,Paises Bajos,Pernoctaciones,1190.71
2016M06,Reino Unido,Viajeros,1232.29
2016M06,Reino Unido,Pernoctaciones,2547.97
2016M06,Paises Nordicos,Viajeros,12.04
2016M06,Paises Nordicos,Pernoctaciones,12.14
2016M06,Italia,Viajeros,25.48
2016M06,Italia,Pernoctaciones,27.35
2016M06,Resto de UE,Viajeros,198.6
2016M06,Resto de UE,Pernoctaciones,351.78
2016M06,Resto de Europa,Viajeros,112.32
2016M06,Resto de Europa,Pernoctaciones,205.5
2016M06,Estados Unidos,Viajeros,
2016M06,Estados Unidos,Pernoctaciones,
2016M06,Resto de no residentes en Espańa,Viajeros,12.04
2016M06,Resto de no residentes en Espańa,Pernoctaciones,24.28
2016M06,Resto de America,Viajeros,7.99
2016M06,Resto de America,Pernoctaciones,17.35
2016M07,TOTAL,Viajeros,26438
2016M07,TOTAL,Pernoctaciones,78146
2016M07,RESIDENTES EN ESPAŃA,Viajeros,23564
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,73527.32
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,2874
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,4618.68
2016M07,Alemania,Viajeros,337.31
2016M07,Alemania,Pernoctaciones,484.68
2016M07,Francia,Viajeros,529.88
2016M07,Francia,Pernoctaciones,1004.34
2016M07,Paises Bajos,Viajeros,692.13
2016M07,Paises Bajos,Pernoctaciones,1288.04
2016M07,Reino Unido,Viajeros,439.72
2016M07,Reino Unido,Pernoctaciones,828.66
2016M07,Paises Nordicos,Viajeros,66.99
2016M07,Paises Nordicos,Pernoctaciones,79.95
2016M07,Italia,Viajeros,157.5
2016M07,Italia,Pernoctaciones,190.32
2016M07,Resto de UE,Viajeros,499.1
2016M07,Resto de UE,Pernoctaciones,591.96
2016M07,Resto de Europa,Viajeros,133.38
2016M07,Resto de Europa,Pernoctaciones,136.77
2016M07,Estados Unidos,Viajeros,13.7
2016M07,Estados Unidos,Pernoctaciones,9.52
2016M07,Resto de no residentes en Espańa,Viajeros,4.31
2016M07,Resto de no residentes en Espańa,Pernoctaciones,4.44
2016M07,Resto de America,Viajeros,
2016M07,Resto de America,Pernoctaciones,
2016M08,TOTAL,Viajeros,29633
2016M08,TOTAL,Pernoctaciones,125250
2016M08,RESIDENTES EN ESPAŃA,Viajeros,25032.93
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,118525.61
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,4600.07
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,6724.39
2016M08,Alemania,Viajeros,508.72
2016M08,Alemania,Pernoctaciones,762.51
2016M08,Francia,Viajeros,990.88
2016M08,Francia,Pernoctaciones,1242.16
2016M08,Paises Bajos,Viajeros,1180.93
2016M08,Paises Bajos,Pernoctaciones,1738.59
2016M08,Reino Unido,Viajeros,858.65
2016M08,Reino Unido,Pernoctaciones,1248.34
2016M08,Paises Nordicos,Viajeros,37.22
2016M08,Paises Nordicos,Pernoctaciones,79.46
2016M08,Italia,Viajeros,309.16
2016M08,Italia,Pernoctaciones,408.9
2016M08,Resto de UE,Viajeros,556.74
2016M08,Resto de UE,Pernoctaciones,1100.77
2016M08,Resto de Europa,Viajeros,60.28
2016M08,Resto de Europa,Pernoctaciones,41.48
2016M08,Estados Unidos,Viajeros,6.4
2016M08,Estados Unidos,Pernoctaciones,6.56
2016M08,Resto de no residentes en Espańa,Viajeros,83.27
2016M08,Resto de no residentes en Espańa,Pernoctaciones,71.06
2016M08,Resto de America,Viajeros,7.84
2016M08,Resto de America,Pernoctaciones,24.56
2016M09,TOTAL,Viajeros,10771
2016M09,TOTAL,Pernoctaciones,20657
2016M09,RESIDENTES EN ESPAŃA,Viajeros,8701.03
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,17628.39
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,2069.97
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,3028.61
2016M09,Alemania,Viajeros,333.54
2016M09,Alemania,Pernoctaciones,433.8
2016M09,Francia,Viajeros,288.08
2016M09,Francia,Pernoctaciones,389.1
2016M09,Paises Bajos,Viajeros,389.64
2016M09,Paises Bajos,Pernoctaciones,585.39
2016M09,Reino Unido,Viajeros,662.11
2016M09,Reino Unido,Pernoctaciones,1109.04
2016M09,Paises Nordicos,Viajeros,25.28
2016M09,Paises Nordicos,Pernoctaciones,46.62
2016M09,Italia,Viajeros,48.09
2016M09,Italia,Pernoctaciones,35.74
2016M09,Resto de UE,Viajeros,180.35
2016M09,Resto de UE,Pernoctaciones,230.4
2016M09,Resto de Europa,Viajeros,71.51
2016M09,Resto de Europa,Pernoctaciones,91.39
2016M09,Estados Unidos,Viajeros,28.58
2016M09,Estados Unidos,Pernoctaciones,23
2016M09,Resto de no residentes en Espańa,Viajeros,42.79
2016M09,Resto de no residentes en Espańa,Pernoctaciones,84.13
2016M09,Resto de America,Viajeros,
2016M09,Resto de America,Pernoctaciones,
2016M10,TOTAL,Viajeros,6350
2016M10,TOTAL,Pernoctaciones,15371
2016M10,RESIDENTES EN ESPAŃA,Viajeros,4852.18
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,12434.03
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,1497.82
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2936.97
2016M10,Alemania,Viajeros,119.27
2016M10,Alemania,Pernoctaciones,246.11
2016M10,Francia,Viajeros,152.9
2016M10,Francia,Pernoctaciones,179.32
2016M10,Paises Bajos,Viajeros,39.61
2016M10,Paises Bajos,Pernoctaciones,116.26
