Periodo,Categoría,DATA
2020M02,Camping de 2Ş y 3Ş,
2020M03,TOTAL,3.84
2020M03,Camping de 1Ş,2.74
2020M03,Camping de 2Ş y 3Ş,
2020M05,TOTAL,
2020M05,Camping de 1Ş,
2020M05,Camping de 2Ş y 3Ş,
2020M06,TOTAL,4.5
2020M06,Camping de 1Ş,4.5
2020M06,Camping de 2Ş y 3Ş,
2020M07,TOTAL,8
2020M07,Camping de 1Ş,6
2020M07,Camping de 2Ş y 3Ş,2
2020M08,TOTAL,8
2020M08,Camping de 1Ş,6
2020M08,Camping de 2Ş y 3Ş,2
2020M09,TOTAL,7
2020M09,Camping de 1Ş,5
2020M09,Camping de 2Ş y 3Ş,
2020M10,TOTAL,6.61
2020M10,Camping de 1Ş,4.8
2020M10,Camping de 2Ş y 3Ş,
2020M12,TOTAL,3.71
2020M12,Camping de 1Ş,3.23
2020M12,Camping de 2Ş y 3Ş,
2021M01,TOTAL,3
2021M01,Camping de 1Ş,3
2021M01,Camping de 2Ş y 3Ş,
2021M03,TOTAL,3.39
2021M03,Camping de 1Ş,3
2021M03,Camping de 2Ş y 3Ş,
2021M05,TOTAL,6.74
2021M05,Camping de 1Ş,4.74
2021M05,Camping de 2Ş y 3Ş,2
2021M06,TOTAL,8
2021M06,Camping de 1Ş,6
2021M06,Camping de 2Ş y 3Ş,2
2021M07,TOTAL,8
2021M07,Camping de 1Ş,6
2021M07,Camping de 2Ş y 3Ş,2
2021M08,TOTAL,8
2021M08,Camping de 1Ş,6
2021M08,Camping de 2Ş y 3Ş,2
2021M09,TOTAL,8
2021M09,Camping de 1Ş,6
2021M09,Camping de 2Ş y 3Ş,
2021M10,TOTAL,8
2021M10,Camping de 1Ş,6
2021M10,Camping de 2Ş y 3Ş,
2021M11,TOTAL,8
2021M11,Camping de 1Ş,6
2021M11,Camping de 2Ş y 3Ş,
2021M12,TOTAL,4.1
2021M12,Camping de 1Ş,3.48
2021M12,Camping de 2Ş y 3Ş,
2022M01,TOTAL,3.58
2022M01,Camping de 1Ş,3.45
2022M01,Camping de 2Ş y 3Ş,
2022M02,TOTAL,6
2022M02,Camping de 1Ş,5
2022M02,Camping de 2Ş y 3Ş,
2022M03,TOTAL,7
2022M03,Camping de 1Ş,5
2022M03,Camping de 2Ş y 3Ş,
2022M04,TOTAL,8
2022M04,Camping de 1Ş,6
2022M04,Camping de 2Ş y 3Ş,2
2022M05,TOTAL,8
2022M05,Camping de 1Ş,6
2022M05,Camping de 2Ş y 3Ş,2
2022M06,TOTAL,8
2022M06,Camping de 1Ş,6
2022M06,Camping de 2Ş y 3Ş,2
2022M07,TOTAL,8
2022M07,Camping de 1Ş,6
2022M07,Camping de 2Ş y 3Ş,2
2022M08,TOTAL,8
2022M08,Camping de 1Ş,6
2022M08,Camping de 2Ş y 3Ş,2
2022M09,TOTAL,8
2022M09,Camping de 1Ş,6
2022M09,Camping de 2Ş y 3Ş,
2022M10,TOTAL,8
2022M10,Camping de 1Ş,6
2022M10,Camping de 2Ş y 3Ş,
2022M11,TOTAL,7.43
2022M11,Camping de 1Ş,6
2022M11,Camping de 2Ş y 3Ş,
2022M12,TOTAL,3.75
2022M12,Camping de 1Ş,2.94
2022M12,Camping de 2Ş y 3Ş,
2023M02,TOTAL,5.64
2023M02,Camping de 1Ş,4.64
2023M02,Camping de 2Ş y 3Ş,
2023M03,TOTAL,6
2023M03,Camping de 1Ş,5
2023M03,Camping de 2Ş y 3Ş,
2023M05,TOTAL,8
2023M05,Camping de 1Ş,6
2023M05,Camping de 2Ş y 3Ş,2
2023M06,TOTAL,8
2023M06,Camping de 1Ş,6
2023M06,Camping de 2Ş y 3Ş,2
2023M07,TOTAL,8
2023M07,Camping de 1Ş,6
2023M07,Camping de 2Ş y 3Ş,2
2023M08,TOTAL,8
2023M08,Camping de 1Ş,6
2023M08,Camping de 2Ş y 3Ş,2
2023M09,TOTAL,8
2023M09,Camping de 1Ş,6
2023M09,Camping de 2Ş y 3Ş,
2023M10,TOTAL,8
2023M10,Camping de 1Ş,6
2023M10,Camping de 2Ş y 3Ş,
2023M11,TOTAL,7.67
2023M11,Camping de 1Ş,5.67
2023M11,Camping de 2Ş y 3Ş,
2023M12,TOTAL,4.13
2023M12,Camping de 1Ş,3.32
2023M12,Camping de 2Ş y 3Ş,
2024M02,TOTAL,5.97
2024M02,Camping de 1Ş,5
2024M02,Camping de 2Ş y 3Ş,
2024M03,TOTAL,7.32
2024M03,Camping de 1Ş,6
2024M03,Camping de 2Ş y 3Ş,
