Motivo del viaje,Indicador,Periodo,DATA,Fecha
Otros motivos,Gasto total,2016,35692.66,2016-01-01
Otros motivos,Gasto total,2017,19538.28,2017-01-01
Otros motivos,Gasto total,2018,26181.84,2018-01-01
Otros motivos,Gasto total,2019,27616.58,2019-01-01
Otros motivos,Gasto total,2020,7652.82,2020-01-01
Otros motivos,Gasto total,2021,17836.47,2021-01-01
Otros motivos,Gasto total,2022,36071.83,2022-01-01
Otros motivos,Gasto total,2023,31523.68,2023-01-01
Otros motivos,Gasto medio por persona,2016,909.39,2016-01-01
Otros motivos,Gasto medio por persona,2017,688.38,2017-01-01
Otros motivos,Gasto medio por persona,2018,530.0,2018-01-01
Otros motivos,Gasto medio por persona,2019,659.53,2019-01-01
Otros motivos,Gasto medio por persona,2020,451.68,2020-01-01
Otros motivos,Gasto medio por persona,2021,1164.65,2021-01-01
Otros motivos,Gasto medio por persona,2022,1013.93,2022-01-01
Otros motivos,Gasto medio por persona,2023,569.23,2023-01-01
Otros motivos,Gasto medio diario por persona,2016,85.64,2016-01-01
Otros motivos,Gasto medio diario por persona,2017,67.97,2017-01-01
Otros motivos,Gasto medio diario por persona,2018,66.38,2018-01-01
Otros motivos,Gasto medio diario por persona,2019,61.88,2019-01-01
Otros motivos,Gasto medio diario por persona,2020,57.45,2020-01-01
Otros motivos,Gasto medio diario por persona,2021,86.13,2021-01-01
Otros motivos,Gasto medio diario por persona,2022,80.71,2022-01-01
Otros motivos,Gasto medio diario por persona,2023,86.64,2023-01-01
Otros motivos,Duración media de los viajes,2016,10.62,2016-01-01
Otros motivos,Duración media de los viajes,2017,10.13,2017-01-01
Otros motivos,Duración media de los viajes,2018,7.98,2018-01-01
Otros motivos,Duración media de los viajes,2019,10.66,2019-01-01
Otros motivos,Duración media de los viajes,2020,7.86,2020-01-01
Otros motivos,Duración media de los viajes,2021,13.52,2021-01-01
Otros motivos,Duración media de los viajes,2022,12.56,2022-01-01
Otros motivos,Duración media de los viajes,2023,6.57,2023-01-01
