País de residencia,Indicador,Periodo,DATA,Fecha
- Resto de Europa,Gasto medio por persona,2021,1542.25,2021-01-01
- Resto de Europa,Gasto medio por persona,2022,953.04,2022-01-01
- Resto de Europa,Gasto medio por persona,2023,661.07,2023-01-01
- Resto de Europa,Gasto medio diario por persona,2016,78.71,2016-01-01
- Resto de Europa,Gasto medio diario por persona,2017,107.49,2017-01-01
- Resto de Europa,Gasto medio diario por persona,2018,105.47,2018-01-01
- Resto de Europa,Gasto medio diario por persona,2019,140.19,2019-01-01
- Resto de Europa,Gasto medio diario por persona,2020,156.39,2020-01-01
- Resto de Europa,Gasto medio diario por persona,2021,158.83,2021-01-01
- Resto de Europa,Gasto medio diario por persona,2022,83.48,2022-01-01
- Resto de Europa,Gasto medio diario por persona,2023,183.49,2023-01-01
- Resto de Europa,Duración media de los viajes,2016,8.5,2016-01-01
- Resto de Europa,Duración media de los viajes,2017,7.04,2017-01-01
- Resto de Europa,Duración media de los viajes,2018,6.78,2018-01-01
- Resto de Europa,Duración media de los viajes,2019,5.78,2019-01-01
- Resto de Europa,Duración media de los viajes,2020,3.82,2020-01-01
- Resto de Europa,Duración media de los viajes,2021,9.71,2021-01-01
- Resto de Europa,Duración media de los viajes,2022,11.42,2022-01-01
- Resto de Europa,Duración media de los viajes,2023,3.6,2023-01-01
Resto del Mundo,Gasto total,2016,22326.23,2016-01-01
Resto del Mundo,Gasto total,2017,32496.1,2017-01-01
Resto del Mundo,Gasto total,2018,35666.07,2018-01-01
Resto del Mundo,Gasto total,2019,29134.5,2019-01-01
Resto del Mundo,Gasto total,2020,1524.52,2020-01-01
Resto del Mundo,Gasto total,2021,7409.29,2021-01-01
Resto del Mundo,Gasto total,2022,41841.03,2022-01-01
Resto del Mundo,Gasto total,2023,32839.76,2023-01-01
Resto del Mundo,Gasto medio por persona,2016,1843.33,2016-01-01
Resto del Mundo,Gasto medio por persona,2017,1741.0,2017-01-01
Resto del Mundo,Gasto medio por persona,2018,1988.14,2018-01-01
Resto del Mundo,Gasto medio por persona,2019,2437.08,2019-01-01
Resto del Mundo,Gasto medio por persona,2020,2068.61,2020-01-01
Resto del Mundo,Gasto medio por persona,2021,2535.72,2021-01-01
Resto del Mundo,Gasto medio por persona,2022,2141.56,2022-01-01
Resto del Mundo,Gasto medio por persona,2023,1923.62,2023-01-01
Resto del Mundo,Gasto medio diario por persona,2016,165.57,2016-01-01
Resto del Mundo,Gasto medio diario por persona,2017,244.67,2017-01-01
Resto del Mundo,Gasto medio diario por persona,2018,216.94,2018-01-01
Resto del Mundo,Gasto medio diario por persona,2019,191.41,2019-01-01
