Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2009,244
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2010,241
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2011,243
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2012,235
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2013,233
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2014,225
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2015,231
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2016,237
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2017,232
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2018,227
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2019,218
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2020,227
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2021,225
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2008,
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2009,
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2010,279
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2011,281
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2012,276
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2013,278
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2014,263
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2015,273
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2016,281
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2017,279
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2018,270
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2019,274
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2020,282
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2021,284
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2008,530
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2009,535
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2010,534
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2011,551
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2012,569
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2013,574
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2014,608
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2015,618
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2016,667
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2017,679
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2018,739
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2019,775
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2020,825
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de empresas,2021,804
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2008,
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2009,
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2010,653
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2011,672
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2012,673
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2013,683
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2014,711
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2015,734
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2016,784
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2017,801
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2018,851
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2019,914
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2020,964
"Otras actividades turísticas: Agencias de viaje, alquiler de vehículos, actividades culturales, actividades deportivas",Número de locales,2021,936
RESTO DE SECTOR SERVICIOS,Número de empresas,2008,13610
RESTO DE SECTOR SERVICIOS,Número de empresas,2009,13619
RESTO DE SECTOR SERVICIOS,Número de empresas,2010,13772
RESTO DE SECTOR SERVICIOS,Número de empresas,2011,13742
RESTO DE SECTOR SERVICIOS,Número de empresas,2012,13617
RESTO DE SECTOR SERVICIOS,Número de empresas,2013,13728
RESTO DE SECTOR SERVICIOS,Número de empresas,2014,13885
RESTO DE SECTOR SERVICIOS,Número de empresas,2015,14772
RESTO DE SECTOR SERVICIOS,Número de empresas,2016,14850
RESTO DE SECTOR SERVICIOS,Número de empresas,2017,14999
RESTO DE SECTOR SERVICIOS,Número de empresas,2018,14994
RESTO DE SECTOR SERVICIOS,Número de empresas,2019,14651
RESTO DE SECTOR SERVICIOS,Número de empresas,2020,14671
RESTO DE SECTOR SERVICIOS,Número de empresas,2021,14459
RESTO DE SECTOR SERVICIOS,Número de locales,2008,
RESTO DE SECTOR SERVICIOS,Número de locales,2009,
RESTO DE SECTOR SERVICIOS,Número de locales,2010,16122
RESTO DE SECTOR SERVICIOS,Número de locales,2011,16065
RESTO DE SECTOR SERVICIOS,Número de locales,2012,15821
RESTO DE SECTOR SERVICIOS,Número de locales,2013,16004
RESTO DE SECTOR SERVICIOS,Número de locales,2014,16125
RESTO DE SECTOR SERVICIOS,Número de locales,2015,17002
RESTO DE SECTOR SERVICIOS,Número de locales,2016,17127
RESTO DE SECTOR SERVICIOS,Número de locales,2017,17325
RESTO DE SECTOR SERVICIOS,Número de locales,2018,17354
RESTO DE SECTOR SERVICIOS,Número de locales,2019,17254
RESTO DE SECTOR SERVICIOS,Número de locales,2020,17287
RESTO DE SECTOR SERVICIOS,Número de locales,2021,17070
