Periodo,País de residencia,Medida,DATA
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,10838.45
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,198.32
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,561.39
2016M03,Reino Unido,Viajeros,15.74
2016M03,Reino Unido,Pernoctaciones,116.47
2016M03,Resto de UE,Viajeros,16.79
2016M03,Resto de UE,Pernoctaciones,113.33
2016M03,Estados Unidos,Viajeros,16.79
2016M03,Estados Unidos,Pernoctaciones,33.58
2016M03,Resto de America,Viajeros,67.16
2016M03,Resto de America,Pernoctaciones,117.52
2016M03,Francia,Viajeros,33.58
2016M03,Francia,Pernoctaciones,67.16
2016M03,Resto de Europa,Viajeros,15.74
2016M03,Resto de Europa,Pernoctaciones,31.48
2016M03,Resto de no residentes en Espańa,Viajeros,
2016M03,Resto de no residentes en Espańa,Pernoctaciones,
2016M03,Alemania,Viajeros,15.74
2016M03,Alemania,Pernoctaciones,31.48
2016M03,Italia,Viajeros,16.79
2016M03,Italia,Pernoctaciones,50.37
2016M03,Paises Bajos,Viajeros,
2016M03,Paises Bajos,Pernoctaciones,
2016M03,Paises Nordicos,Viajeros,
2016M03,Paises Nordicos,Pernoctaciones,
2016M04,TOTAL,Viajeros,3254.72
2016M04,TOTAL,Pernoctaciones,6680.18
2016M04,RESIDENTES EN ESPAŃA,Viajeros,2876.65
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,5768.36
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,378.07
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,911.81
2016M04,Reino Unido,Viajeros,59.3
2016M04,Reino Unido,Pernoctaciones,74.13
2016M04,Resto de UE,Viajeros,59.3
2016M04,Resto de UE,Pernoctaciones,74.13
2016M04,Estados Unidos,Viajeros,29.65
2016M04,Estados Unidos,Pernoctaciones,29.65
2016M04,Resto de America,Viajeros,14.83
2016M04,Resto de America,Pernoctaciones,14.83
2016M04,Francia,Viajeros,163.09
2016M04,Francia,Pernoctaciones,637.53
2016M04,Resto de Europa,Viajeros,
2016M04,Resto de Europa,Pernoctaciones,
2016M04,Resto de no residentes en Espańa,Viajeros,14.83
2016M04,Resto de no residentes en Espańa,Pernoctaciones,44.48
2016M04,Alemania,Viajeros,22.24
2016M04,Alemania,Pernoctaciones,22.24
2016M04,Italia,Viajeros,14.83
2016M04,Italia,Pernoctaciones,14.83
2016M04,Paises Bajos,Viajeros,
2016M04,Paises Bajos,Pernoctaciones,
2016M04,Paises Nordicos,Viajeros,
2016M04,Paises Nordicos,Pernoctaciones,
2016M05,TOTAL,Viajeros,4122.33
2016M05,TOTAL,Pernoctaciones,8490.82
2016M05,RESIDENTES EN ESPAŃA,Viajeros,3470.87
2016M05,RESIDENTES EN ESPAŃA,Pernoctaciones,7201.66
2016M05,NO RESIDENTE EN ESPAŃA,Viajeros,651.46
2016M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1289.16
2016M05,Reino Unido,Viajeros,146.3
2016M05,Reino Unido,Pernoctaciones,361.5
2016M05,Resto de UE,Viajeros,14.16
2016M05,Resto de UE,Pernoctaciones,104.77
2016M05,Estados Unidos,Viajeros,
2016M05,Estados Unidos,Pernoctaciones,
2016M05,Resto de America,Viajeros,186.14
2016M05,Resto de America,Pernoctaciones,239.59
2016M05,Francia,Viajeros,75.51
2016M05,Francia,Pernoctaciones,196.32
2016M05,Resto de Europa,Viajeros,14.16
2016M05,Resto de Europa,Pernoctaciones,14.16
2016M05,Resto de no residentes en Espańa,Viajeros,97.22
2016M05,Resto de no residentes en Espańa,Pernoctaciones,165.17
2016M05,Alemania,Viajeros,43.42
2016M05,Alemania,Pernoctaciones,58.52
2016M05,Italia,Viajeros,45.31
2016M05,Italia,Pernoctaciones,75.51
2016M05,Paises Bajos,Viajeros,15.1
2016M05,Paises Bajos,Pernoctaciones,45.31
2016M05,Paises Nordicos,Viajeros,14.16
2016M05,Paises Nordicos,Pernoctaciones,28.32
2016M06,TOTAL,Viajeros,4092.78
2016M06,TOTAL,Pernoctaciones,8108.19
2016M06,RESIDENTES EN ESPAŃA,Viajeros,3389.9
2016M06,RESIDENTES EN ESPAŃA,Pernoctaciones,6879.03
2016M06,NO RESIDENTE EN ESPAŃA,Viajeros,702.88
2016M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1229.16
2016M06,Reino Unido,Viajeros,164.76
2016M06,Reino Unido,Pernoctaciones,305.68
2016M06,Resto de UE,Viajeros,29.23
2016M06,Resto de UE,Pernoctaciones,58.46
2016M06,Estados Unidos,Viajeros,58.46
2016M06,Estados Unidos,Pernoctaciones,58.46
2016M06,Resto de America,Viajeros,8
2016M06,Resto de America,Pernoctaciones,38.61
2016M06,Francia,Viajeros,73.07
2016M06,Francia,Pernoctaciones,102.3
2016M06,Resto de Europa,Viajeros,
2016M06,Resto de Europa,Pernoctaciones,
2016M06,Resto de no residentes en Espańa,Viajeros,179.37
2016M06,Resto de no residentes en Espańa,Pernoctaciones,344.13
2016M06,Alemania,Viajeros,58.46
2016M06,Alemania,Pernoctaciones,73.07
2016M06,Italia,Viajeros,87.69
2016M06,Italia,Pernoctaciones,87.69
2016M06,Paises Bajos,Viajeros,29.23
2016M06,Paises Bajos,Pernoctaciones,146.15
2016M06,Paises Nordicos,Viajeros,14.61
2016M06,Paises Nordicos,Pernoctaciones,14.61
2016M07,TOTAL,Viajeros,5751.98
2016M07,TOTAL,Pernoctaciones,16624.64
2016M07,RESIDENTES EN ESPAŃA,Viajeros,5104.02
2016M07,RESIDENTES EN ESPAŃA,Pernoctaciones,14929.1
2016M07,NO RESIDENTE EN ESPAŃA,Viajeros,647.96
2016M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1695.54
2016M07,Reino Unido,Viajeros,105.16
2016M07,Reino Unido,Pernoctaciones,149.53
2016M07,Resto de UE,Viajeros,49.28
2016M07,Resto de UE,Pernoctaciones,88.88
2016M07,Estados Unidos,Viajeros,98.89
2016M07,Estados Unidos,Pernoctaciones,305.82
2016M07,Resto de America,Viajeros,69.46
2016M07,Resto de America,Pernoctaciones,273.99
2016M07,Francia,Viajeros,57.94
2016M07,Francia,Pernoctaciones,309.09
2016M07,Resto de Europa,Viajeros,
2016M07,Resto de Europa,Pernoctaciones,
2016M07,Resto de no residentes en Espańa,Viajeros,61.74
2016M07,Resto de no residentes en Espańa,Pernoctaciones,185.23
2016M07,Alemania,Viajeros,30.87
2016M07,Alemania,Pernoctaciones,30.87
2016M07,Italia,Viajeros,38.59
2016M07,Italia,Pernoctaciones,38.59
2016M07,Paises Bajos,Viajeros,97.44
2016M07,Paises Bajos,Pernoctaciones,274.95
2016M07,Paises Nordicos,Viajeros,38.59
2016M07,Paises Nordicos,Pernoctaciones,38.59
2016M08,TOTAL,Viajeros,5994.39
2016M08,TOTAL,Pernoctaciones,19998.17
2016M08,RESIDENTES EN ESPAŃA,Viajeros,5258.59
2016M08,RESIDENTES EN ESPAŃA,Pernoctaciones,18545.15
2016M08,NO RESIDENTE EN ESPAŃA,Viajeros,735.8
2016M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1453.02
2016M08,Reino Unido,Viajeros,277.28
2016M08,Reino Unido,Pernoctaciones,627.48
2016M08,Resto de UE,Viajeros,61.63
2016M08,Resto de UE,Pernoctaciones,148.1
2016M08,Estados Unidos,Viajeros,
2016M08,Estados Unidos,Pernoctaciones,
2016M08,Resto de America,Viajeros,46.12
2016M08,Resto de America,Pernoctaciones,46.12
2016M08,Francia,Viajeros,158.11
2016M08,Francia,Pernoctaciones,245.54
2016M08,Resto de Europa,Viajeros,46.12
2016M08,Resto de Europa,Pernoctaciones,46.12
2016M08,Resto de no residentes en Espańa,Viajeros,34.62
2016M08,Resto de no residentes en Espańa,Pernoctaciones,34.62
2016M08,Alemania,Viajeros,
2016M08,Alemania,Pernoctaciones,
2016M08,Italia,Viajeros,30.74
2016M08,Italia,Pernoctaciones,30.74
2016M08,Paises Bajos,Viajeros,81.18
2016M08,Paises Bajos,Pernoctaciones,274.3
2016M08,Paises Nordicos,Viajeros,
2016M08,Paises Nordicos,Pernoctaciones,
2016M09,TOTAL,Viajeros,5420.68
2016M09,TOTAL,Pernoctaciones,11089.29
2016M09,RESIDENTES EN ESPAŃA,Viajeros,4115.97
2016M09,RESIDENTES EN ESPAŃA,Pernoctaciones,8808.92
2016M09,NO RESIDENTE EN ESPAŃA,Viajeros,1304.71
2016M09,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2280.37
2016M09,Reino Unido,Viajeros,235.19
2016M09,Reino Unido,Pernoctaciones,583.32
