Periodo,Tarifa,Variable,DATA
2017M12,Normal,Var (%) anual,5.73
2017M12,Fin de semana,Índice,98.11
2017M12,Fin de semana,Var (%) anual,-8.82
2018M01,TOTAL,Índice,154.3
2018M01,TOTAL,Var (%) anual,16.91
2018M01,Normal,Índice,124.67
2018M01,Normal,Var (%) anual,15.41
2018M01,Fin de semana,Índice,134.06
2018M01,Fin de semana,Var (%) anual,19.61
2018M02,TOTAL,Índice,152.23
2018M02,TOTAL,Var (%) anual,14.59
2018M02,Normal,Índice,144.72
2018M02,Normal,Var (%) anual,13.47
2018M02,Fin de semana,Índice,122.08
2018M02,Fin de semana,Var (%) anual,16.11
2018M03,TOTAL,Índice,148.34
2018M03,TOTAL,Var (%) anual,13.11
2018M03,Normal,Índice,145.56
2018M03,Normal,Var (%) anual,16.22
2018M03,Fin de semana,Índice,107.94
2018M03,Fin de semana,Var (%) anual,9.99
2018M04,TOTAL,Índice,126.43
2018M04,TOTAL,Var (%) anual,11.23
2018M04,Normal,Índice,133.65
2018M04,Normal,Var (%) anual,10.39
2018M04,Fin de semana,Índice,102.05
2018M04,Fin de semana,Var (%) anual,12.23
2018M05,TOTAL,Índice,133.41
2018M05,TOTAL,Var (%) anual,12.74
2018M05,Normal,Índice,138.36
2018M05,Normal,Var (%) anual,10.16
2018M05,Fin de semana,Índice,99.45
2018M05,Fin de semana,Var (%) anual,15.89
2018M06,TOTAL,Índice,114.43
2018M06,TOTAL,Var (%) anual,9.21
2018M06,Normal,Índice,118.41
2018M06,Normal,Var (%) anual,9.13
2018M06,Fin de semana,Índice,94.97
2018M06,Fin de semana,Var (%) anual,9.33
2018M07,TOTAL,Índice,120
2018M07,TOTAL,Var (%) anual,7.94
2018M07,Normal,Índice,120.39
2018M07,Normal,Var (%) anual,5.97
2018M07,Fin de semana,Índice,111.53
2018M07,Fin de semana,Var (%) anual,11.06
2018M08,TOTAL,Índice,116.88
2018M08,TOTAL,Var (%) anual,3.1
2018M08,Normal,Índice,115.6
2018M08,Normal,Var (%) anual,2.45
2018M08,Fin de semana,Índice,111.26
2018M08,Fin de semana,Var (%) anual,4.52
2018M09,TOTAL,Índice,145.39
2018M09,TOTAL,Var (%) anual,9.38
2018M09,Normal,Índice,146.2
2018M09,Normal,Var (%) anual,9.84
2018M09,Fin de semana,Índice,95.02
2018M09,Fin de semana,Var (%) anual,8.94
2018M10,TOTAL,Índice,124.59
2018M10,TOTAL,Var (%) anual,10.31
2018M10,Normal,Índice,127.6
2018M10,Normal,Var (%) anual,10.33
2018M10,Fin de semana,Índice,118.09
2018M10,Fin de semana,Var (%) anual,10.29
2018M11,TOTAL,Índice,115.28
2018M11,TOTAL,Var (%) anual,17.87
2018M11,Normal,Índice,113.94
2018M11,Normal,Var (%) anual,18.14
2018M11,Fin de semana,Índice,129
2018M11,Fin de semana,Var (%) anual,17.56
2018M12,TOTAL,Índice,122.46
2018M12,TOTAL,Var (%) anual,11.07
2018M12,Normal,Índice,122.51
2018M12,Normal,Var (%) anual,15.5
2018M12,Fin de semana,Índice,90.78
2018M12,Fin de semana,Var (%) anual,6.89
2019M01,TOTAL,Índice,147.76
2019M01,TOTAL,Var (%) anual,-4.24
2019M01,Normal,Índice,119.46
2019M01,Normal,Var (%) anual,-4.18
2019M01,Fin de semana,Índice,127.97
2019M01,Fin de semana,Var (%) anual,-4.54
2019M02,TOTAL,Índice,147.76
2019M02,TOTAL,Var (%) anual,-2.93
2019M02,Normal,Índice,140.48
2019M02,Normal,Var (%) anual,-2.93
2019M02,Fin de semana,Índice,118.49
2019M02,Fin de semana,Var (%) anual,-2.94
2019M03,TOTAL,Índice,145.04
2019M03,TOTAL,Var (%) anual,-3.19
2019M03,Normal,Índice,140.2
2019M03,Normal,Var (%) anual,-3.9
2019M03,Fin de semana,Índice,108.39
2019M03,Fin de semana,Var (%) anual,-1.91
2019M04,TOTAL,Índice,127.83
2019M04,TOTAL,Var (%) anual,1.11
2019M04,Normal,Índice,131.8
2019M04,Normal,Var (%) anual,-1.39
2019M04,Fin de semana,Índice,107.43
2019M04,Fin de semana,Var (%) anual,5.28
2019M05,TOTAL,Índice,131.65
2019M05,TOTAL,Var (%) anual,-1.32
2019M05,Normal,Índice,136.34
2019M05,Normal,Var (%) anual,-1.46
2019M05,Fin de semana,Índice,98.33
2019M05,Fin de semana,Var (%) anual,-1.13
2019M06,TOTAL,Índice,116.03
2019M06,TOTAL,Var (%) anual,1.4
2019M06,Normal,Índice,122.71
2019M06,Normal,Var (%) anual,3.63
2019M06,Fin de semana,Índice,94.61
2019M06,Fin de semana,Var (%) anual,-0.38
2019M07,TOTAL,Índice,125.15
2019M07,TOTAL,Var (%) anual,4.29
2019M07,Normal,Índice,126.4
2019M07,Normal,Var (%) anual,4.99
2019M07,Fin de semana,Índice,114.39
2019M07,Fin de semana,Var (%) anual,2.56
2019M08,TOTAL,Índice,120.7
2019M08,TOTAL,Var (%) anual,3.27
2019M08,Normal,Índice,119.67
2019M08,Normal,Var (%) anual,3.52
