Periodo,CCAA de residencia,Medida,DATA
2016M02,Comunitat Valenciana,Viajeros,15.39
2016M02,Comunitat Valenciana,Pernoctaciones,30.78
2016M02,Extremadura,Viajeros,
2016M02,Extremadura,Pernoctaciones,
2016M02,Galicia,Viajeros,7.69
2016M02,Galicia,Pernoctaciones,56.42
2016M02,"Madrid, Comunidad de",Viajeros,359.05
2016M02,"Madrid, Comunidad de",Pernoctaciones,748.88
2016M02,"Murcia, Región de",Viajeros,
2016M02,"Murcia, Región de",Pernoctaciones,
2016M02,"Navarra, Comunidad Foral de",Viajeros,243.64
2016M02,"Navarra, Comunidad Foral de",Pernoctaciones,474.46
2016M02,País Vasco,Viajeros,443.69
2016M02,País Vasco,Pernoctaciones,854.03
2016M02,"Rioja, La",Viajeros,246.21
2016M02,"Rioja, La",Pernoctaciones,466.77
2016M02,Canarias,Viajeros,
2016M02,Canarias,Pernoctaciones,
2016M02,Ceuta,Viajeros,
2016M02,Ceuta,Pernoctaciones,
2016M02,Melilla,Viajeros,
2016M02,Melilla,Pernoctaciones,
2016M03,TOTAL,Viajeros,3207.3
2016M03,TOTAL,Pernoctaciones,8354.86
2016M03,NO RESIDENTE EN ESPAŃA,Viajeros,60.21
2016M03,NO RESIDENTE EN ESPAŃA,Pernoctaciones,98.52
2016M03,RESIDENTES EN ESPAŃA,Viajeros,3147.1
2016M03,RESIDENTES EN ESPAŃA,Pernoctaciones,8256.34
2016M03,Andalucía,Viajeros,19.16
2016M03,Andalucía,Pernoctaciones,52
2016M03,Aragón,Viajeros,155.99
2016M03,Aragón,Pernoctaciones,372.18
2016M03,"Asturias, Principado de",Viajeros,41.05
2016M03,"Asturias, Principado de",Pernoctaciones,150.51
2016M03,"Balears, Illes",Viajeros,
2016M03,"Balears, Illes",Pernoctaciones,
2016M03,Cantabria,Viajeros,46.52
2016M03,Cantabria,Pernoctaciones,68.42
2016M03,Castilla y León,Viajeros,199.77
2016M03,Castilla y León,Pernoctaciones,530.9
2016M03,Castilla - La Mancha,Viajeros,65.68
2016M03,Castilla - La Mancha,Pernoctaciones,95.78
2016M03,Cataluńa,Viajeros,459.75
2016M03,Cataluńa,Pernoctaciones,1499.66
2016M03,Comunitat Valenciana,Viajeros,136.83
2016M03,Comunitat Valenciana,Pernoctaciones,415.96
2016M03,Extremadura,Viajeros,
2016M03,Extremadura,Pernoctaciones,
2016M03,Galicia,Viajeros,35.58
2016M03,Galicia,Pernoctaciones,161.46
2016M03,"Madrid, Comunidad de",Viajeros,749.83
2016M03,"Madrid, Comunidad de",Pernoctaciones,2233.07
2016M03,"Murcia, Región de",Viajeros,
2016M03,"Murcia, Región de",Pernoctaciones,
2016M03,"Navarra, Comunidad Foral de",Viajeros,281.87
2016M03,"Navarra, Comunidad Foral de",Pernoctaciones,547.32
2016M03,País Vasco,Viajeros,782.67
2016M03,País Vasco,Pernoctaciones,1778.79
2016M03,"Rioja, La",Viajeros,172.41
2016M03,"Rioja, La",Pernoctaciones,350.29
2016M03,Canarias,Viajeros,
2016M03,Canarias,Pernoctaciones,
2016M03,Ceuta,Viajeros,
2016M03,Ceuta,Pernoctaciones,
2016M03,Melilla,Viajeros,
2016M03,Melilla,Pernoctaciones,
2016M04,TOTAL,Viajeros,2794.64
2016M04,TOTAL,Pernoctaciones,5517
2016M04,NO RESIDENTE EN ESPAŃA,Viajeros,123.14
2016M04,NO RESIDENTE EN ESPAŃA,Pernoctaciones,208.79
2016M04,RESIDENTES EN ESPAŃA,Viajeros,2671.5
2016M04,RESIDENTES EN ESPAŃA,Pernoctaciones,5308.21
2016M04,Andalucía,Viajeros,32.12
