Periodo,Ubicación establecimiento,DATA
2019M06,Logrońo y Alrededores,2617.3
2019M06,Resto,3856.07
2019M07,TOTAL,6571.48
2019M07,Logrońo y Alrededores,2626.11
2019M07,Resto,3945.36
2019M08,TOTAL,6550.42
2019M08,Logrońo y Alrededores,2595.78
2019M08,Resto,3954.63
2019M09,TOTAL,6404.14
2019M09,Logrońo y Alrededores,2611.18
2019M09,Resto,3792.96
2019M10,TOTAL,6444.88
2019M10,Logrońo y Alrededores,2609.06
2019M10,Resto,3835.82
2019M11,TOTAL,6247.34
2019M11,Logrońo y Alrededores,2559.01
2019M11,Resto,3688.33
2019M12,TOTAL,5714
2019M12,Logrońo y Alrededores,2480.25
2019M12,Resto,3233.75
2020M01,TOTAL,5644.19
2020M01,Logrońo y Alrededores,2574.47
2020M01,Resto,3069.71
2020M02,TOTAL,5851.57
2020M02,Logrońo y Alrededores,2591.58
2020M02,Resto,3259.99
2020M03,TOTAL,3237.07
2020M03,Logrońo y Alrededores,1621.35
2020M03,Resto,1615.73
2020M04,TOTAL,0
2020M04,Logrońo y Alrededores,0
2020M04,Resto,0
2020M05,TOTAL,691.35
2020M05,Logrońo y Alrededores,146.33
2020M05,Resto,545.02
2020M06,TOTAL,2367.92
2020M06,Logrońo y Alrededores,740.07
2020M06,Resto,1627.86
2020M07,TOTAL,5190.02
2020M07,Logrońo y Alrededores,1922.72
2020M07,Resto,3267.3
2020M08,TOTAL,5343.56
2020M08,Logrońo y Alrededores,1989.78
2020M08,Resto,3353.79
2020M09,TOTAL,5480.45
2020M09,Logrońo y Alrededores,2134.91
2020M09,Resto,3345.53
2020M10,TOTAL,5382.42
2020M10,Logrońo y Alrededores,2144.01
2020M10,Resto,3238.41
2020M11,TOTAL,3557.73
2020M11,Logrońo y Alrededores,1575.15
2020M11,Resto,1982.58
2020M12,TOTAL,3658.6
2020M12,Logrońo y Alrededores,1610.17
2020M12,Resto,2048.43
2021M01,TOTAL,3482.18
2021M01,Logrońo y Alrededores,1638.98
2021M01,Resto,1843.2
2021M02,TOTAL,3199.51
2021M02,Logrońo y Alrededores,1570.08
2021M02,Resto,1629.43
2021M03,TOTAL,3926.58
2021M03,Logrońo y Alrededores,1621
2021M03,Resto,2305.58
2021M04,TOTAL,4184.17
2021M04,Logrońo y Alrededores,1616.68
2021M04,Resto,2567.49
2021M05,TOTAL,4909.97
2021M05,Logrońo y Alrededores,1888.45
2021M05,Resto,3021.52
2021M06,TOTAL,5688.84
2021M06,Logrońo y Alrededores,2403.49
2021M06,Resto,3285.35
2021M07,TOTAL,6045.09
2021M07,Logrońo y Alrededores,2391.45
2021M07,Resto,3653.65
2021M08,TOTAL,6212.08
2021M08,Logrońo y Alrededores,2470.05
2021M08,Resto,3742.03
2021M09,TOTAL,6108.68
2021M09,Logrońo y Alrededores,2522.51
2021M09,Resto,3586.16
2021M10,TOTAL,6126.07
2021M10,Logrońo y Alrededores,2478.22
2021M10,Resto,3647.85
2021M11,TOTAL,5848.25
2021M11,Logrońo y Alrededores,2502.51
2021M11,Resto,3345.74
2021M12,TOTAL,5534.1
2021M12,Logrońo y Alrededores,2441.87
2021M12,Resto,3092.23
2022M01,TOTAL,5396.44
2022M01,Logrońo y Alrededores,2471.77
2022M01,Resto,2924.68
2022M02,TOTAL,5708.35
2022M02,Logrońo y Alrededores,2533.58
2022M02,Resto,3174.77
2022M03,TOTAL,5991.48
2022M03,Logrońo y Alrededores,2511.33
2022M03,Resto,3480.14
2022M04,TOTAL,6334.98
2022M04,Logrońo y Alrededores,2668.96
2022M04,Resto,3666.03
2022M05,TOTAL,6246.29
2022M05,Logrońo y Alrededores,2673.5
2022M05,Resto,3572.79
2022M06,TOTAL,6371.74
2022M06,Logrońo y Alrededores,2661.73
2022M06,Resto,3710.01
2022M07,TOTAL,6380.86
2022M07,Logrońo y Alrededores,2662.79
2022M07,Resto,3718.06
2022M08,TOTAL,6386.57
2022M08,Logrońo y Alrededores,2642.33
2022M08,Resto,3744.24
2022M09,TOTAL,6367.31
2022M09,Logrońo y Alrededores,2659.53
2022M09,Resto,3707.77
2022M10,TOTAL,6365.81
2022M10,Logrońo y Alrededores,2631.66
2022M10,Resto,3734.15
2022M11,TOTAL,6118.5
2022M11,Logrońo y Alrededores,2608.95
2022M11,Resto,3509.54
2022M12,TOTAL,5653.49
2022M12,Logrońo y Alrededores,2572.58
2022M12,Resto,3080.91
2023M01,TOTAL,4970.23
2023M01,Logrońo y Alrededores,2579.52
2023M01,Resto,2390.71
2023M02,TOTAL,5756.54
2023M02,Logrońo y Alrededores,2647.02
2023M02,Resto,3109.52
2023M03,TOTAL,5873.68
2023M03,Logrońo y Alrededores,2633.49
2023M03,Resto,3240.2
2023M04,TOTAL,6277.27
2023M04,Logrońo y Alrededores,2642
2023M04,Resto,3635.27
2023M05,TOTAL,6458.27
2023M05,Logrońo y Alrededores,2839.71
2023M05,Resto,3618.56
2023M06,TOTAL,6445.62
2023M06,Logrońo y Alrededores,2788.85
2023M06,Resto,3656.76
2023M07,TOTAL,6622.72
2023M07,Logrońo y Alrededores,2824.96
2023M07,Resto,3797.76
2023M08,TOTAL,6563.91
2023M08,Logrońo y Alrededores,2780.4
2023M08,Resto,3783.51
2023M09,TOTAL,6602.27
2023M09,Logrońo y Alrededores,2850.29
2023M09,Resto,3751.98
2023M10,TOTAL,6673.58
2023M10,Logrońo y Alrededores,2831.93
2023M10,Resto,3841.65
2023M11,TOTAL,6481.82
2023M11,Logrońo y Alrededores,2795.24
2023M11,Resto,3686.58
2023M12,TOTAL,6011.61
2023M12,Logrońo y Alrededores,2688.33
2023M12,Resto,3323.28
2024M01,TOTAL,5765.16
2024M01,Logrońo y Alrededores,2758.35
2024M01,Resto,3006.81
2024M02,TOTAL,6169.61
2024M02,Logrońo y Alrededores,2878.99
2024M02,Resto,3290.62
2024M03,TOTAL,6835.83
2024M03,Logrońo y Alrededores,2927.53
2024M03,Resto,3908.3
