Periodo,Categoría,Residencia viajero,DATA,Fecha
2017M04,Hostales y pensiones,No residentes en Espańa,277867,2017-04-01
2017M05,TOTAL,TOTAL,5381531,2017-05-01
2017M05,TOTAL,Residentes en Espańa,371323,2017-05-01
2017M05,TOTAL,No residentes en Espańa,1668302,2017-05-01
2017M05,4 y 5 estrellas,TOTAL,13712,2017-05-01
2017M05,4 y 5 estrellas,Residentes en Espańa,965788,2017-05-01
2017M05,4 y 5 estrellas,No residentes en Espańa,405412,2017-05-01
2017M05,3 estrellas,TOTAL,28874,2017-05-01
2017M05,3 estrellas,Residentes en Espańa,198217,2017-05-01
2017M05,3 estrellas,No residentes en Espańa,90523,2017-05-01
2017M05,1 y 2 estrellas,TOTAL,247114,2017-05-01
2017M05,1 y 2 estrellas,Residentes en Espańa,200614,2017-05-01
2017M05,1 y 2 estrellas,No residentes en Espańa,465,2017-05-01
2017M05,Hostales y pensiones,TOTAL,875817,2017-05-01
2017M05,Hostales y pensiones,Residentes en Espańa,564657,2017-05-01
2017M05,Hostales y pensiones,No residentes en Espańa,31116,2017-05-01
2017M06,TOTAL,TOTAL,5195929,2017-06-01
2017M06,TOTAL,Residentes en Espańa,3803359,2017-06-01
2017M06,TOTAL,No residentes en Espańa,139257,2017-06-01
2017M06,4 y 5 estrellas,TOTAL,13678,2017-06-01
2017M06,4 y 5 estrellas,Residentes en Espańa,994137,2017-06-01
2017M06,4 y 5 estrellas,No residentes en Espańa,373663,2017-06-01
2017M06,3 estrellas,TOTAL,27208,2017-06-01
2017M06,3 estrellas,Residentes en Espańa,1982251,2017-06-01
2017M06,3 estrellas,No residentes en Espańa,738549,2017-06-01
2017M06,1 y 2 estrellas,TOTAL,228857,2017-06-01
2017M06,1 y 2 estrellas,Residentes en Espańa,186429,2017-06-01
2017M06,1 y 2 estrellas,No residentes en Espańa,42429,2017-06-01
2017M06,Hostales y pensiones,TOTAL,878471,2017-06-01
2017M06,Hostales y pensiones,Residentes en Espańa,640543,2017-06-01
2017M06,Hostales y pensiones,No residentes en Espańa,237929,2017-06-01
2017M07,TOTAL,TOTAL,5607462,2017-07-01
2017M07,TOTAL,Residentes en Espańa,4480647,2017-07-01
2017M07,TOTAL,No residentes en Espańa,1126814,2017-07-01
2017M07,4 y 5 estrellas,TOTAL,15311,2017-07-01
2017M07,4 y 5 estrellas,Residentes en Espańa,123262,2017-07-01
2017M07,4 y 5 estrellas,No residentes en Espańa,29848,2017-07-01
2017M07,3 estrellas,TOTAL,2910315,2017-07-01
2017M07,3 estrellas,Residentes en Espańa,2261567,2017-07-01
2017M07,3 estrellas,No residentes en Espańa,648749,2017-07-01
2017M07,1 y 2 estrellas,TOTAL,298929,2017-07-01
2017M07,1 y 2 estrellas,Residentes en Espańa,265714,2017-07-01
2017M07,1 y 2 estrellas,No residentes en Espańa,33214,2017-07-01
2017M07,Hostales y pensiones,TOTAL,867118,2017-07-01
2017M07,Hostales y pensiones,Residentes en Espańa,720746,2017-07-01
2017M07,Hostales y pensiones,No residentes en Espańa,146371,2017-07-01
2017M08,TOTAL,TOTAL,7081617,2017-08-01
2017M08,TOTAL,Residentes en Espańa,5951688,2017-08-01
2017M08,TOTAL,No residentes en Espańa,1129929,2017-08-01
2017M08,4 y 5 estrellas,TOTAL,18711,2017-08-01
2017M08,4 y 5 estrellas,Residentes en Espańa,1565276,2017-08-01
2017M08,4 y 5 estrellas,No residentes en Espańa,305824,2017-08-01
2017M08,3 estrellas,TOTAL,38096,2017-08-01
2017M08,3 estrellas,Residentes en Espańa,3175727,2017-08-01
2017M08,3 estrellas,No residentes en Espańa,633873,2017-08-01
2017M08,1 y 2 estrellas,TOTAL,366243,2017-08-01
2017M08,1 y 2 estrellas,Residentes en Espańa,318857,2017-08-01
2017M08,1 y 2 estrellas,No residentes en Espańa,47386,2017-08-01
2017M08,Hostales y pensiones,TOTAL,1034674,2017-08-01
2017M08,Hostales y pensiones,Residentes en Espańa,891827,2017-08-01
2017M08,Hostales y pensiones,No residentes en Espańa,142847,2017-08-01
2017M09,TOTAL,TOTAL,6394473,2017-09-01
2017M09,TOTAL,Residentes en Espańa,4515463,2017-09-01
2017M09,TOTAL,No residentes en Espańa,187901,2017-09-01
2017M09,4 y 5 estrellas,TOTAL,17276,2017-09-01
2017M09,4 y 5 estrellas,Residentes en Espańa,1299748,2017-09-01
2017M09,4 y 5 estrellas,No residentes en Espańa,427852,2017-09-01
2017M09,3 estrellas,TOTAL,3245656,2017-09-01
2017M09,3 estrellas,Residentes en Espańa,2226538,2017-09-01
2017M09,3 estrellas,No residentes en Espańa,1019118,2017-09-01
2017M09,1 y 2 estrellas,TOTAL,331714,2017-09-01
2017M09,1 y 2 estrellas,Residentes en Espańa,270429,2017-09-01
2017M09,1 y 2 estrellas,No residentes en Espańa,61286,2017-09-01
2017M09,Hostales y pensiones,TOTAL,1089503,2017-09-01
2017M09,Hostales y pensiones,Residentes en Espańa,718749,2017-09-01
2017M09,Hostales y pensiones,No residentes en Espańa,370754,2017-09-01
2017M10,TOTAL,TOTAL,5378823,2017-10-01
2017M10,TOTAL,Residentes en Espańa,4354992,2017-10-01
2017M10,TOTAL,No residentes en Espańa,1023831,2017-10-01
2017M10,4 y 5 estrellas,TOTAL,16083,2017-10-01
2017M10,4 y 5 estrellas,Residentes en Espańa,1293459,2017-10-01
2017M10,4 y 5 estrellas,No residentes en Espańa,314841,2017-10-01
2017M10,3 estrellas,TOTAL,27193,2017-10-01
2017M10,3 estrellas,Residentes en Espańa,2148147,2017-10-01
2017M10,3 estrellas,No residentes en Espańa,571153,2017-10-01
2017M10,1 y 2 estrellas,TOTAL,309021,2017-10-01
2017M10,1 y 2 estrellas,Residentes en Espańa,277833,2017-10-01
2017M10,1 y 2 estrellas,No residentes en Espańa,31187,2017-10-01
2017M10,Hostales y pensiones,TOTAL,742203,2017-10-01
2017M10,Hostales y pensiones,Residentes en Espańa,635553,2017-10-01
2017M10,Hostales y pensiones,No residentes en Espańa,10665,2017-10-01
2017M11,TOTAL,TOTAL,4227631,2017-11-01
2017M11,TOTAL,Residentes en Espańa,374469,2017-11-01
2017M11,TOTAL,No residentes en Espańa,482942,2017-11-01
2017M11,4 y 5 estrellas,TOTAL,13077,2017-11-01
2017M11,4 y 5 estrellas,Residentes en Espańa,1129006,2017-11-01
2017M11,4 y 5 estrellas,No residentes en Espańa,178694,2017-11-01
2017M11,3 estrellas,TOTAL,22260,2017-11-01
2017M11,3 estrellas,Residentes en Espańa,1968208,2017-11-01
2017M11,3 estrellas,No residentes en Espańa,257792,2017-11-01
2017M11,1 y 2 estrellas,TOTAL,172286,2017-11-01
2017M11,1 y 2 estrellas,Residentes en Espańa,1560,2017-11-01
2017M11,1 y 2 estrellas,No residentes en Espańa,16286,2017-11-01
2017M11,Hostales y pensiones,TOTAL,521646,2017-11-01
2017M11,Hostales y pensiones,Residentes en Espańa,491475,2017-11-01
2017M11,Hostales y pensiones,No residentes en Espańa,30171,2017-11-01
2017M12,TOTAL,TOTAL,367204,2017-12-01
2017M12,TOTAL,Residentes en Espańa,3390349,2017-12-01
2017M12,TOTAL,No residentes en Espańa,281691,2017-12-01
2017M12,4 y 5 estrellas,TOTAL,12133,2017-12-01
2017M12,4 y 5 estrellas,Residentes en Espańa,1125571,2017-12-01
2017M12,4 y 5 estrellas,No residentes en Espańa,87729,2017-12-01
2017M12,3 estrellas,TOTAL,1781819,2017-12-01
2017M12,3 estrellas,Residentes en Espańa,1613378,2017-12-01
2017M12,3 estrellas,No residentes en Espańa,168441,2017-12-01
2017M12,1 y 2 estrellas,TOTAL,85471,2017-12-01
2017M12,1 y 2 estrellas,Residentes en Espańa,74843,2017-12-01
2017M12,1 y 2 estrellas,No residentes en Espańa,10629,2017-12-01
2017M12,Hostales y pensiones,TOTAL,591449,2017-12-01
2017M12,Hostales y pensiones,Residentes en Espańa,576557,2017-12-01
2017M12,Hostales y pensiones,No residentes en Espańa,14892,2017-12-01
2018M01,TOTAL,TOTAL,2634224,2018-01-01
2018M01,TOTAL,Residentes en Espańa,2331283,2018-01-01
2018M01,TOTAL,No residentes en Espańa,302941,2018-01-01
2018M01,4 y 5 estrellas,TOTAL,8749,2018-01-01
2018M01,4 y 5 estrellas,Residentes en Espańa,775201,2018-01-01
2018M01,4 y 5 estrellas,No residentes en Espańa,99699,2018-01-01
2018M01,3 estrellas,TOTAL,14527,2018-01-01
2018M01,3 estrellas,Residentes en Espańa,1265986,2018-01-01
2018M01,3 estrellas,No residentes en Espańa,186714,2018-01-01
2018M01,1 y 2 estrellas,TOTAL,992,2018-01-01
2018M01,1 y 2 estrellas,Residentes en Espańa,92114,2018-01-01
2018M01,1 y 2 estrellas,No residentes en Espańa,7086,2018-01-01
2018M01,Hostales y pensiones,TOTAL,207424,2018-01-01
2018M01,Hostales y pensiones,Residentes en Espańa,197982,2018-01-01
2018M01,Hostales y pensiones,No residentes en Espańa,9442,2018-01-01
2018M02,TOTAL,TOTAL,3100618,2018-02-01
2018M02,TOTAL,Residentes en Espańa,2787522,2018-02-01
2018M02,TOTAL,No residentes en Espańa,313096,2018-02-01
2018M02,4 y 5 estrellas,TOTAL,8956,2018-02-01
2018M02,4 y 5 estrellas,Residentes en Espańa,805945,2018-02-01
2018M02,4 y 5 estrellas,No residentes en Espańa,89655,2018-02-01
2018M02,3 estrellas,TOTAL,16814,2018-02-01
2018M02,3 estrellas,Residentes en Espańa,150029,2018-02-01
2018M02,3 estrellas,No residentes en Espańa,18111,2018-02-01
2018M02,1 y 2 estrellas,TOTAL,1488,2018-02-01
2018M02,1 y 2 estrellas,Residentes en Espańa,1368,2018-02-01
2018M02,1 y 2 estrellas,No residentes en Espańa,120,2018-02-01
2018M02,Hostales y pensiones,TOTAL,374818,2018-02-01
2018M02,Hostales y pensiones,Residentes en Espańa,344487,2018-02-01
2018M02,Hostales y pensiones,No residentes en Espańa,30331,2018-02-01
2018M03,TOTAL,TOTAL,416551,2018-03-01
2018M03,TOTAL,Residentes en Espańa,3630845,2018-03-01
2018M03,TOTAL,No residentes en Espańa,534665,2018-03-01
2018M03,4 y 5 estrellas,TOTAL,12633,2018-03-01
2018M03,4 y 5 estrellas,Residentes en Espańa,1083222,2018-03-01
2018M03,4 y 5 estrellas,No residentes en Espańa,180078,2018-03-01
2018M03,3 estrellas,TOTAL,22320,2018-03-01
2018M03,3 estrellas,Residentes en Espańa,1951524,2018-03-01
2018M03,3 estrellas,No residentes en Espańa,280476,2018-03-01
2018M03,1 y 2 estrellas,TOTAL,200171,2018-03-01
2018M03,1 y 2 estrellas,Residentes en Espańa,177586,2018-03-01
2018M03,1 y 2 estrellas,No residentes en Espańa,22586,2018-03-01
2018M03,Hostales y pensiones,TOTAL,470039,2018-03-01
2018M03,Hostales y pensiones,Residentes en Espańa,418513,2018-03-01
2018M03,Hostales y pensiones,No residentes en Espańa,51526,2018-03-01
2018M04,TOTAL,TOTAL,4752811,2018-04-01
2018M04,TOTAL,Residentes en Espańa,376029,2018-04-01
2018M04,TOTAL,No residentes en Espańa,992521,2018-04-01
2018M04,4 y 5 estrellas,TOTAL,14085,2018-04-01
2018M04,4 y 5 estrellas,Residentes en Espańa,115103,2018-04-01
2018M04,4 y 5 estrellas,No residentes en Espańa,25747,2018-04-01
2018M04,3 estrellas,TOTAL,24277,2018-04-01
2018M04,3 estrellas,Residentes en Espańa,1925458,2018-04-01
2018M04,3 estrellas,No residentes en Espańa,502242,2018-04-01
2018M04,1 y 2 estrellas,TOTAL,281143,2018-04-01
2018M04,1 y 2 estrellas,Residentes en Espańa,244714,2018-04-01
2018M04,1 y 2 estrellas,No residentes en Espańa,36429,2018-04-01
2018M04,Hostales y pensiones,TOTAL,635469,2018-04-01
2018M04,Hostales y pensiones,Residentes en Espańa,439088,2018-04-01
2018M04,Hostales y pensiones,No residentes en Espańa,196381,2018-04-01
2018M05,TOTAL,TOTAL,5346712,2018-05-01
2018M05,TOTAL,Residentes en Espańa,3638418,2018-05-01
2018M05,TOTAL,No residentes en Espańa,1708295,2018-05-01
2018M05,4 y 5 estrellas,TOTAL,15125,2018-05-01
2018M05,4 y 5 estrellas,Residentes en Espańa,1049308,2018-05-01
2018M05,4 y 5 estrellas,No residentes en Espańa,463192,2018-05-01
2018M05,3 estrellas,TOTAL,26944,2018-05-01
2018M05,3 estrellas,Residentes en Espańa,1916095,2018-05-01
2018M05,3 estrellas,No residentes en Espańa,778305,2018-05-01
2018M05,1 y 2 estrellas,TOTAL,2573,2018-05-01
2018M05,1 y 2 estrellas,Residentes en Espańa,194414,2018-05-01
2018M05,1 y 2 estrellas,No residentes en Espańa,62886,2018-05-01
2018M05,Hostales y pensiones,TOTAL,882512,2018-05-01
2018M05,Hostales y pensiones,Residentes en Espańa,478601,2018-05-01
2018M05,Hostales y pensiones,No residentes en Espańa,403912,2018-05-01
2018M06,TOTAL,TOTAL,5087968,2018-06-01
2018M06,TOTAL,Residentes en Espańa,3722043,2018-06-01
2018M06,TOTAL,No residentes en Espańa,1365925,2018-06-01
2018M06,4 y 5 estrellas,TOTAL,15759,2018-06-01
2018M06,4 y 5 estrellas,Residentes en Espańa,1153833,2018-06-01
2018M06,4 y 5 estrellas,No residentes en Espańa,422067,2018-06-01
2018M06,3 estrellas,TOTAL,26186,2018-06-01
2018M06,3 estrellas,Residentes en Espańa,1907398,2018-06-01
2018M06,3 estrellas,No residentes en Espańa,711202,2018-06-01
2018M06,1 y 2 estrellas,TOTAL,276429,2018-06-01
2018M06,1 y 2 estrellas,Residentes en Espańa,230571,2018-06-01
2018M06,1 y 2 estrellas,No residentes en Espańa,45857,2018-06-01
2018M06,Hostales y pensiones,TOTAL,617039,2018-06-01
2018M06,Hostales y pensiones,Residentes en Espańa,430241,2018-06-01
2018M06,Hostales y pensiones,No residentes en Espańa,186798,2018-06-01
2018M07,TOTAL,TOTAL,5227186,2018-07-01
2018M07,TOTAL,Residentes en Espańa,4147361,2018-07-01
2018M07,TOTAL,No residentes en Espańa,1079824,2018-07-01
2018M07,4 y 5 estrellas,TOTAL,15616,2018-07-01
2018M07,4 y 5 estrellas,Residentes en Espańa,1236497,2018-07-01
2018M07,4 y 5 estrellas,No residentes en Espańa,325103,2018-07-01
2018M07,3 estrellas,TOTAL,26064,2018-07-01
2018M07,3 estrellas,Residentes en Espańa,2062626,2018-07-01
2018M07,3 estrellas,No residentes en Espańa,543774,2018-07-01
2018M07,1 y 2 estrellas,TOTAL,230286,2018-07-01
2018M07,1 y 2 estrellas,Residentes en Espańa,1891,2018-07-01
2018M07,1 y 2 estrellas,No residentes en Espańa,41186,2018-07-01
2018M07,Hostales y pensiones,TOTAL,8289,2018-07-01
2018M07,Hostales y pensiones,Residentes en Espańa,659139,2018-07-01
2018M07,Hostales y pensiones,No residentes en Espańa,169761,2018-07-01
2018M08,TOTAL,TOTAL,6749154,2018-08-01
2018M08,TOTAL,Residentes en Espańa,5559957,2018-08-01
2018M08,TOTAL,No residentes en Espańa,1189197,2018-08-01
2018M08,4 y 5 estrellas,TOTAL,19453,2018-08-01
2018M08,4 y 5 estrellas,Residentes en Espańa,1618097,2018-08-01
2018M08,4 y 5 estrellas,No residentes en Espańa,327203,2018-08-01
2018M08,3 estrellas,TOTAL,34610,2018-08-01
2018M08,3 estrellas,Residentes en Espańa,2847262,2018-08-01
2018M08,3 estrellas,No residentes en Espańa,613738,2018-08-01
2018M08,1 y 2 estrellas,TOTAL,427357,2018-08-01
2018M08,1 y 2 estrellas,Residentes en Espańa,368014,2018-08-01
2018M08,1 y 2 estrellas,No residentes en Espańa,59343,2018-08-01
2018M08,Hostales y pensiones,TOTAL,915497,2018-08-01
2018M08,Hostales y pensiones,Residentes en Espańa,726584,2018-08-01
2018M08,Hostales y pensiones,No residentes en Espańa,188913,2018-08-01
2018M09,TOTAL,TOTAL,6166038,2018-09-01
2018M09,TOTAL,Residentes en Espańa,4111351,2018-09-01
2018M09,TOTAL,No residentes en Espańa,2054688,2018-09-01
2018M09,4 y 5 estrellas,TOTAL,17501,2018-09-01
2018M09,4 y 5 estrellas,Residentes en Espańa,1190885,2018-09-01
2018M09,4 y 5 estrellas,No residentes en Espańa,559215,2018-09-01
2018M09,3 estrellas,TOTAL,30646,2018-09-01
2018M09,3 estrellas,Residentes en Espańa,2022915,2018-09-01
2018M09,3 estrellas,No residentes en Espańa,1041685,2018-09-01
2018M09,1 y 2 estrellas,TOTAL,3510,2018-09-01
2018M09,1 y 2 estrellas,Residentes en Espańa,263143,2018-09-01
2018M09,1 y 2 estrellas,No residentes en Espańa,87857,2018-09-01
2018M09,Hostales y pensiones,TOTAL,1000338,2018-09-01
2018M09,Hostales y pensiones,Residentes en Espańa,634408,2018-09-01
2018M09,Hostales y pensiones,No residentes en Espańa,36593,2018-09-01
2018M10,TOTAL,TOTAL,5438621,2018-10-01
2018M10,TOTAL,Residentes en Espańa,4290395,2018-10-01
2018M10,TOTAL,No residentes en Espańa,1148225,2018-10-01
2018M10,4 y 5 estrellas,TOTAL,16248,2018-10-01
2018M10,4 y 5 estrellas,Residentes en Espańa,1298818,2018-10-01
2018M10,4 y 5 estrellas,No residentes en Espańa,325982,2018-10-01
2018M10,3 estrellas,TOTAL,26411,2018-10-01
2018M10,3 estrellas,Residentes en Espańa,2070479,2018-10-01
2018M10,3 estrellas,No residentes en Espańa,570621,2018-10-01
2018M10,1 y 2 estrellas,TOTAL,301143,2018-10-01
2018M10,1 y 2 estrellas,Residentes en Espańa,255086,2018-10-01
2018M10,1 y 2 estrellas,No residentes en Espańa,46057,2018-10-01
2018M10,Hostales y pensiones,TOTAL,871578,2018-10-01
2018M10,Hostales y pensiones,Residentes en Espańa,666013,2018-10-01
2018M10,Hostales y pensiones,No residentes en Espańa,205565,2018-10-01
2018M11,TOTAL,TOTAL,4443891,2018-11-01
2018M11,TOTAL,Residentes en Espańa,3972953,2018-11-01
2018M11,TOTAL,No residentes en Espańa,470938,2018-11-01
2018M11,4 y 5 estrellas,TOTAL,14314,2018-11-01
2018M11,4 y 5 estrellas,Residentes en Espańa,1287648,2018-11-01
2018M11,4 y 5 estrellas,No residentes en Espańa,143752,2018-11-01
2018M11,3 estrellas,TOTAL,21955,2018-11-01
2018M11,3 estrellas,Residentes en Espańa,1947931,2018-11-01
2018M11,3 estrellas,No residentes en Espańa,247569,2018-11-01
2018M11,1 y 2 estrellas,TOTAL,233657,2018-11-01
2018M11,1 y 2 estrellas,Residentes en Espańa,208386,2018-11-01
2018M11,1 y 2 estrellas,No residentes en Espańa,25271,2018-11-01
2018M11,Hostales y pensiones,TOTAL,583334,2018-11-01
2018M11,Hostales y pensiones,Residentes en Espańa,528989,2018-11-01
2018M11,Hostales y pensiones,No residentes en Espańa,54345,2018-11-01
2018M12,TOTAL,TOTAL,354365,2018-12-01
2018M12,TOTAL,Residentes en Espańa,3240196,2018-12-01
2018M12,TOTAL,No residentes en Espańa,303454,2018-12-01
2018M12,4 y 5 estrellas,TOTAL,12714,2018-12-01
2018M12,4 y 5 estrellas,Residentes en Espańa,1154239,2018-12-01
2018M12,4 y 5 estrellas,No residentes en Espańa,117161,2018-12-01
2018M12,3 estrellas,TOTAL,17036,2018-12-01
2018M12,3 estrellas,Residentes en Espańa,1550631,2018-12-01
2018M12,3 estrellas,No residentes en Espańa,152969,2018-12-01
2018M12,1 y 2 estrellas,TOTAL,118376,2018-12-01
2018M12,1 y 2 estrellas,Residentes en Espańa,105007,2018-12-01
2018M12,1 y 2 estrellas,No residentes en Espańa,1337,2018-12-01
2018M12,Hostales y pensiones,TOTAL,450274,2018-12-01
2018M12,Hostales y pensiones,Residentes en Espańa,430319,2018-12-01
2018M12,Hostales y pensiones,No residentes en Espańa,19955,2018-12-01
2019M01,TOTAL,TOTAL,2582124,2019-01-01
2019M01,TOTAL,Residentes en Espańa,2291732,2019-01-01
2019M01,TOTAL,No residentes en Espańa,290391,2019-01-01
2019M01,4 y 5 estrellas,TOTAL,9081,2019-01-01
2019M01,4 y 5 estrellas,Residentes en Espańa,825543,2019-01-01
2019M01,4 y 5 estrellas,No residentes en Espańa,82557,2019-01-01
2019M01,3 estrellas,TOTAL,13137,2019-01-01
2019M01,3 estrellas,Residentes en Espańa,1150811,2019-01-01
2019M01,3 estrellas,No residentes en Espańa,162889,2019-01-01
2019M01,1 y 2 estrellas,TOTAL,122229,2019-01-01
2019M01,1 y 2 estrellas,Residentes en Espańa,1116,2019-01-01
2019M01,1 y 2 estrellas,No residentes en Espańa,10629,2019-01-01
2019M01,Hostales y pensiones,TOTAL,238095,2019-01-01
2019M01,Hostales y pensiones,Residentes en Espańa,203779,2019-01-01
2019M01,Hostales y pensiones,No residentes en Espańa,34316,2019-01-01
2019M02,TOTAL,TOTAL,3096395,2019-02-01
2019M02,TOTAL,Residentes en Espańa,2768652,2019-02-01
2019M02,TOTAL,No residentes en Espańa,327743,2019-02-01
2019M02,4 y 5 estrellas,TOTAL,10286,2019-02-01
2019M02,4 y 5 estrellas,Residentes en Espańa,923405,2019-02-01
2019M02,4 y 5 estrellas,No residentes en Espańa,105195,2019-02-01
2019M02,3 estrellas,TOTAL,15442,2019-02-01
2019M02,3 estrellas,Residentes en Espańa,1380393,2019-02-01
2019M02,3 estrellas,No residentes en Espańa,163807,2019-02-01
2019M02,1 y 2 estrellas,TOTAL,1584,2019-02-01
2019M02,1 y 2 estrellas,Residentes en Espańa,1484,2019-02-01
2019M02,1 y 2 estrellas,No residentes en Espańa,100,2019-02-01
2019M02,Hostales y pensiones,TOTAL,365195,2019-02-01
2019M02,Hostales y pensiones,Residentes en Espańa,316454,2019-02-01
2019M02,Hostales y pensiones,No residentes en Espańa,4874,2019-02-01
2019M03,TOTAL,TOTAL,4074125,2019-03-01
2019M03,TOTAL,Residentes en Espańa,3593251,2019-03-01
2019M03,TOTAL,No residentes en Espańa,480874,2019-03-01
2019M03,4 y 5 estrellas,TOTAL,13233,2019-03-01
2019M03,4 y 5 estrellas,Residentes en Espańa,1163843,2019-03-01
2019M03,4 y 5 estrellas,No residentes en Espańa,159457,2019-03-01
2019M03,3 estrellas,TOTAL,19929,2019-03-01
2019M03,3 estrellas,Residentes en Espańa,1764363,2019-03-01
2019M03,3 estrellas,No residentes en Espańa,228537,2019-03-01
2019M03,1 y 2 estrellas,TOTAL,218643,2019-03-01
2019M03,1 y 2 estrellas,Residentes en Espańa,204757,2019-03-01
2019M03,1 y 2 estrellas,No residentes en Espańa,13886,2019-03-01
2019M03,Hostales y pensiones,TOTAL,539282,2019-03-01
2019M03,Hostales y pensiones,Residentes en Espańa,460287,2019-03-01
2019M03,Hostales y pensiones,No residentes en Espańa,78995,2019-03-01
2019M04,TOTAL,TOTAL,4962855,2019-04-01
2019M04,TOTAL,Residentes en Espańa,3806841,2019-04-01
2019M04,TOTAL,No residentes en Espańa,1156014,2019-04-01
2019M04,4 y 5 estrellas,TOTAL,15050,2019-04-01
2019M04,4 y 5 estrellas,Residentes en Espańa,1188082,2019-04-01
2019M04,4 y 5 estrellas,No residentes en Espańa,316918,2019-04-01
2019M04,3 estrellas,TOTAL,21775,2019-04-01
2019M04,3 estrellas,Residentes en Espańa,169811,2019-04-01
2019M04,3 estrellas,No residentes en Espańa,47939,2019-04-01
2019M04,1 y 2 estrellas,TOTAL,3454,2019-04-01
2019M04,1 y 2 estrellas,Residentes en Espańa,312586,2019-04-01
2019M04,1 y 2 estrellas,No residentes en Espańa,32814,2019-04-01
2019M04,Hostales y pensiones,TOTAL,934955,2019-04-01
2019M04,Hostales y pensiones,Residentes en Espańa,608063,2019-04-01
2019M04,Hostales y pensiones,No residentes en Espańa,326892,2019-04-01
2019M05,TOTAL,TOTAL,5688782,2019-05-01
2019M05,TOTAL,Residentes en Espańa,374977,2019-05-01
2019M05,TOTAL,No residentes en Espańa,1939012,2019-05-01
2019M05,4 y 5 estrellas,TOTAL,18014,2019-05-01
2019M05,4 y 5 estrellas,Residentes en Espańa,121599,2019-05-01
2019M05,4 y 5 estrellas,No residentes en Espańa,58541,2019-05-01
2019M05,3 estrellas,TOTAL,25018,2019-05-01
2019M05,3 estrellas,Residentes en Espańa,1783039,2019-05-01
2019M05,3 estrellas,No residentes en Espańa,718761,2019-05-01
2019M05,1 y 2 estrellas,TOTAL,288571,2019-05-01
2019M05,1 y 2 estrellas,Residentes en Espańa,225529,2019-05-01
2019M05,1 y 2 estrellas,No residentes en Espańa,63043,2019-05-01
2019M05,Hostales y pensiones,TOTAL,1097011,2019-05-01
2019M05,Hostales y pensiones,Residentes en Espańa,525213,2019-05-01
2019M05,Hostales y pensiones,No residentes en Espańa,571798,2019-05-01
2019M06,TOTAL,TOTAL,5159876,2019-06-01
2019M06,TOTAL,Residentes en Espańa,3757201,2019-06-01
2019M06,TOTAL,No residentes en Espańa,1402675,2019-06-01
2019M06,4 y 5 estrellas,TOTAL,16124,2019-06-01
2019M06,4 y 5 estrellas,Residentes en Espańa,1118493,2019-06-01
2019M06,4 y 5 estrellas,No residentes en Espańa,493907,2019-06-01
2019M06,3 estrellas,TOTAL,2383483,2019-06-01
2019M06,3 estrellas,Residentes en Espańa,1792037,2019-06-01
2019M06,3 estrellas,No residentes en Espańa,591446,2019-06-01
2019M06,1 y 2 estrellas,TOTAL,297557,2019-06-01
2019M06,1 y 2 estrellas,Residentes en Espańa,254243,2019-06-01
2019M06,1 y 2 estrellas,No residentes en Espańa,43314,2019-06-01
2019M06,Hostales y pensiones,TOTAL,866435,2019-06-01
2019M06,Hostales y pensiones,Residentes en Espańa,592428,2019-06-01
2019M06,Hostales y pensiones,No residentes en Espańa,274007,2019-06-01
2019M07,TOTAL,TOTAL,515063,2019-07-01
2019M07,TOTAL,Residentes en Espańa,3972903,2019-07-01
2019M07,TOTAL,No residentes en Espańa,1177727,2019-07-01
2019M07,4 y 5 estrellas,TOTAL,16906,2019-07-01
2019M07,4 y 5 estrellas,Residentes en Espańa,1265093,2019-07-01
2019M07,4 y 5 estrellas,No residentes en Espańa,425507,2019-07-01
2019M07,3 estrellas,TOTAL,22967,2019-07-01
2019M07,3 estrellas,Residentes en Espańa,1858737,2019-07-01
2019M07,3 estrellas,No residentes en Espańa,437963,2019-07-01
2019M07,1 y 2 estrellas,TOTAL,289629,2019-07-01
2019M07,1 y 2 estrellas,Residentes en Espańa,2601,2019-07-01
2019M07,1 y 2 estrellas,No residentes en Espańa,29529,2019-07-01
2019M07,Hostales y pensiones,TOTAL,873702,2019-07-01
2019M07,Hostales y pensiones,Residentes en Espańa,588973,2019-07-01
2019M07,Hostales y pensiones,No residentes en Espańa,284729,2019-07-01
2019M08,TOTAL,TOTAL,7129249,2019-08-01
2019M08,TOTAL,Residentes en Espańa,5856551,2019-08-01
2019M08,TOTAL,No residentes en Espańa,1272699,2019-08-01
2019M08,4 y 5 estrellas,TOTAL,21376,2019-08-01
2019M08,4 y 5 estrellas,Residentes en Espańa,1724265,2019-08-01
2019M08,4 y 5 estrellas,No residentes en Espańa,413335,2019-08-01
2019M08,3 estrellas,TOTAL,34219,2019-08-01
2019M08,3 estrellas,Residentes en Espańa,2906869,2019-08-01
2019M08,3 estrellas,No residentes en Espańa,515031,2019-08-01
2019M08,1 y 2 estrellas,TOTAL,405071,2019-08-01
2019M08,1 y 2 estrellas,Residentes en Espańa,342529,2019-08-01
2019M08,1 y 2 estrellas,No residentes en Espańa,62543,2019-08-01
2019M08,Hostales y pensiones,TOTAL,1164678,2019-08-01
2019M08,Hostales y pensiones,Residentes en Espańa,882888,2019-08-01
2019M08,Hostales y pensiones,No residentes en Espańa,28179,2019-08-01
2019M09,TOTAL,TOTAL,6101429,2019-09-01
2019M09,TOTAL,Residentes en Espańa,3983124,2019-09-01
2019M09,TOTAL,No residentes en Espańa,2118305,2019-09-01
