Periodo,Categoría,Residencia viajero,DATA,Fecha
2015M07,3 estrellas,TOTAL,27390,2015-07-01
2015M07,3 estrellas,Residentes en Espańa,2193963,2015-07-01
2015M07,3 estrellas,No residentes en Espańa,545037,2015-07-01
2015M07,1 y 2 estrellas,TOTAL,248808,2015-07-01
2015M07,1 y 2 estrellas,Residentes en Espańa,211765,2015-07-01
2015M07,1 y 2 estrellas,No residentes en Espańa,37043,2015-07-01
2015M07,Hostales y pensiones,TOTAL,782073,2015-07-01
2015M07,Hostales y pensiones,Residentes en Espańa,579304,2015-07-01
2015M07,Hostales y pensiones,No residentes en Espańa,202769,2015-07-01
2015M08,TOTAL,TOTAL,6905211,2015-08-01
2015M08,TOTAL,Residentes en Espańa,58958,2015-08-01
2015M08,TOTAL,No residentes en Espańa,1009411,2015-08-01
2015M08,4 y 5 estrellas,TOTAL,18657,2015-08-01
2015M08,4 y 5 estrellas,Residentes en Espańa,1600728,2015-08-01
2015M08,4 y 5 estrellas,No residentes en Espańa,264972,2015-08-01
2015M08,3 estrellas,TOTAL,3754352,2015-08-01
2015M08,3 estrellas,Residentes en Espańa,3199127,2015-08-01
2015M08,3 estrellas,No residentes en Espańa,555226,2015-08-01
2015M08,1 y 2 estrellas,TOTAL,332143,2015-08-01
2015M08,1 y 2 estrellas,Residentes en Espańa,296271,2015-08-01
2015M08,1 y 2 estrellas,No residentes en Espańa,35871,2015-08-01
2015M08,Hostales y pensiones,TOTAL,953016,2015-08-01
2015M08,Hostales y pensiones,Residentes en Espańa,799674,2015-08-01
2015M08,Hostales y pensiones,No residentes en Espańa,153342,2015-08-01
2015M09,TOTAL,TOTAL,6614682,2015-09-01
2015M09,TOTAL,Residentes en Espańa,4653079,2015-09-01
2015M09,TOTAL,No residentes en Espańa,1961604,2015-09-01
2015M09,4 y 5 estrellas,TOTAL,18767,2015-09-01
2015M09,4 y 5 estrellas,Residentes en Espańa,1321588,2015-09-01
2015M09,4 y 5 estrellas,No residentes en Espańa,555112,2015-09-01
2015M09,3 estrellas,TOTAL,34056,2015-09-01
2015M09,3 estrellas,Residentes en Espańa,2430354,2015-09-01
2015M09,3 estrellas,No residentes en Espańa,975246,2015-09-01
2015M09,1 y 2 estrellas,TOTAL,309429,2015-09-01
2015M09,1 y 2 estrellas,Residentes en Espańa,248571,2015-09-01
2015M09,1 y 2 estrellas,No residentes en Espańa,60857,2015-09-01
2015M09,Hostales y pensiones,TOTAL,1022954,2015-09-01
2015M09,Hostales y pensiones,Residentes en Espańa,652565,2015-09-01
2015M09,Hostales y pensiones,No residentes en Espańa,370389,2015-09-01
2015M10,TOTAL,TOTAL,5665374,2015-10-01
2015M10,TOTAL,Residentes en Espańa,4523659,2015-10-01
2015M10,TOTAL,No residentes en Espańa,1141715,2015-10-01
2015M10,4 y 5 estrellas,TOTAL,16428,2015-10-01
2015M10,4 y 5 estrellas,Residentes en Espańa,1261429,2015-10-01
2015M10,4 y 5 estrellas,No residentes en Espańa,381371,2015-10-01
2015M10,3 estrellas,TOTAL,2963582,2015-10-01
2015M10,3 estrellas,Residentes en Espańa,2354025,2015-10-01
2015M10,3 estrellas,No residentes en Espańa,609557,2015-10-01
2015M10,1 y 2 estrellas,TOTAL,282986,2015-10-01
2015M10,1 y 2 estrellas,Residentes en Espańa,255971,2015-10-01
2015M10,1 y 2 estrellas,No residentes en Espańa,27014,2015-10-01
2015M10,Hostales y pensiones,TOTAL,776006,2015-10-01
2015M10,Hostales y pensiones,Residentes en Espańa,652233,2015-10-01
2015M10,Hostales y pensiones,No residentes en Espańa,123773,2015-10-01
2015M11,TOTAL,TOTAL,4314855,2015-11-01
2015M11,TOTAL,Residentes en Espańa,3845531,2015-11-01
2015M11,TOTAL,No residentes en Espańa,469324,2015-11-01
2015M11,4 y 5 estrellas,TOTAL,12772,2015-11-01
2015M11,4 y 5 estrellas,Residentes en Espańa,1106683,2015-11-01
2015M11,4 y 5 estrellas,No residentes en Espańa,170517,2015-11-01
2015M11,3 estrellas,TOTAL,2316046,2015-11-01
2015M11,3 estrellas,Residentes en Espańa,2097434,2015-11-01
2015M11,3 estrellas,No residentes en Espańa,218612,2015-11-01
2015M11,1 y 2 estrellas,TOTAL,181286,2015-11-01
2015M11,1 y 2 estrellas,Residentes en Espańa,170143,2015-11-01
2015M11,1 y 2 estrellas,No residentes en Espańa,11143,2015-11-01
2015M11,Hostales y pensiones,TOTAL,540324,2015-11-01
2015M11,Hostales y pensiones,Residentes en Espańa,471271,2015-11-01
2015M11,Hostales y pensiones,No residentes en Espańa,69053,2015-11-01
2015M12,TOTAL,TOTAL,3593301,2015-12-01
2015M12,TOTAL,Residentes en Espańa,3312719,2015-12-01
2015M12,TOTAL,No residentes en Espańa,280582,2015-12-01
2015M12,4 y 5 estrellas,TOTAL,11325,2015-12-01
2015M12,4 y 5 estrellas,Residentes en Espańa,1029765,2015-12-01
2015M12,4 y 5 estrellas,No residentes en Espańa,102735,2015-12-01
2015M12,3 estrellas,TOTAL,1873512,2015-12-01
2015M12,3 estrellas,Residentes en Espańa,1728215,2015-12-01
2015M12,3 estrellas,No residentes en Espańa,145297,2015-12-01
2015M12,1 y 2 estrellas,TOTAL,104071,2015-12-01
2015M12,1 y 2 estrellas,Residentes en Espańa,97871,2015-12-01
2015M12,1 y 2 estrellas,No residentes en Espańa,62,2015-12-01
