Periodo,Categoría,Residencia viajero,DATA
2015M07,Hostales y pensiones,TOTAL,7820.73
2015M07,Hostales y pensiones,Residentes en Espańa,5793.04
2015M07,Hostales y pensiones,No residentes en Espańa,2027.69
2015M08,TOTAL,TOTAL,69052.11
2015M08,TOTAL,Residentes en Espańa,58958
2015M08,TOTAL,No residentes en Espańa,10094.11
2015M08,4 y 5 estrellas,TOTAL,18657
2015M08,4 y 5 estrellas,Residentes en Espańa,16007.28
2015M08,4 y 5 estrellas,No residentes en Espańa,2649.72
2015M08,3 estrellas,TOTAL,37543.52
2015M08,3 estrellas,Residentes en Espańa,31991.27
2015M08,3 estrellas,No residentes en Espańa,5552.26
2015M08,1 y 2 estrellas,TOTAL,3321.43
2015M08,1 y 2 estrellas,Residentes en Espańa,2962.71
2015M08,1 y 2 estrellas,No residentes en Espańa,358.71
2015M08,Hostales y pensiones,TOTAL,9530.16
2015M08,Hostales y pensiones,Residentes en Espańa,7996.74
2015M08,Hostales y pensiones,No residentes en Espańa,1533.42
2015M09,TOTAL,TOTAL,66146.82
2015M09,TOTAL,Residentes en Espańa,46530.79
2015M09,TOTAL,No residentes en Espańa,19616.04
2015M09,4 y 5 estrellas,TOTAL,18767
2015M09,4 y 5 estrellas,Residentes en Espańa,13215.88
2015M09,4 y 5 estrellas,No residentes en Espańa,5551.12
2015M09,3 estrellas,TOTAL,34056
2015M09,3 estrellas,Residentes en Espańa,24303.54
2015M09,3 estrellas,No residentes en Espańa,9752.46
2015M09,1 y 2 estrellas,TOTAL,3094.29
2015M09,1 y 2 estrellas,Residentes en Espańa,2485.71
2015M09,1 y 2 estrellas,No residentes en Espańa,608.57
2015M09,Hostales y pensiones,TOTAL,10229.54
2015M09,Hostales y pensiones,Residentes en Espańa,6525.65
2015M09,Hostales y pensiones,No residentes en Espańa,3703.89
2015M10,TOTAL,TOTAL,56653.74
2015M10,TOTAL,Residentes en Espańa,45236.59
2015M10,TOTAL,No residentes en Espańa,11417.15
2015M10,4 y 5 estrellas,TOTAL,16428
2015M10,4 y 5 estrellas,Residentes en Espańa,12614.29
2015M10,4 y 5 estrellas,No residentes en Espańa,3813.71
2015M10,3 estrellas,TOTAL,29635.82
2015M10,3 estrellas,Residentes en Espańa,23540.25
2015M10,3 estrellas,No residentes en Espańa,6095.57
2015M10,1 y 2 estrellas,TOTAL,2829.86
2015M10,1 y 2 estrellas,Residentes en Espańa,2559.71
2015M10,1 y 2 estrellas,No residentes en Espańa,270.14
2015M10,Hostales y pensiones,TOTAL,7760.06
2015M10,Hostales y pensiones,Residentes en Espańa,6522.33
2015M10,Hostales y pensiones,No residentes en Espańa,1237.73
2015M11,TOTAL,TOTAL,43148.55
2015M11,TOTAL,Residentes en Espańa,38455.31
2015M11,TOTAL,No residentes en Espańa,4693.24
2015M11,4 y 5 estrellas,TOTAL,12772
2015M11,4 y 5 estrellas,Residentes en Espańa,11066.83
2015M11,4 y 5 estrellas,No residentes en Espańa,1705.17
2015M11,3 estrellas,TOTAL,23160.46
2015M11,3 estrellas,Residentes en Espańa,20974.34
2015M11,3 estrellas,No residentes en Espańa,2186.12
2015M11,1 y 2 estrellas,TOTAL,1812.86
2015M11,1 y 2 estrellas,Residentes en Espańa,1701.43
2015M11,1 y 2 estrellas,No residentes en Espańa,111.43
2015M11,Hostales y pensiones,TOTAL,5403.24
2015M11,Hostales y pensiones,Residentes en Espańa,4712.71
2015M11,Hostales y pensiones,No residentes en Espańa,690.53
2015M12,TOTAL,TOTAL,35933.01
2015M12,TOTAL,Residentes en Espańa,33127.19
2015M12,TOTAL,No residentes en Espańa,2805.82
2015M12,4 y 5 estrellas,TOTAL,11325
2015M12,4 y 5 estrellas,Residentes en Espańa,10297.65
2015M12,4 y 5 estrellas,No residentes en Espańa,1027.35
2015M12,3 estrellas,TOTAL,18735.12
2015M12,3 estrellas,Residentes en Espańa,17282.15
2015M12,3 estrellas,No residentes en Espańa,1452.97
2015M12,1 y 2 estrellas,TOTAL,1040.71
2015M12,1 y 2 estrellas,Residentes en Espańa,978.71
2015M12,1 y 2 estrellas,No residentes en Espańa,62
2015M12,Hostales y pensiones,TOTAL,4832.18
2015M12,Hostales y pensiones,Residentes en Espańa,4568.68
2015M12,Hostales y pensiones,No residentes en Espańa,263.5
2016M01,TOTAL,TOTAL,28819.66
2016M01,TOTAL,Residentes en Espańa,25983.27
2016M01,TOTAL,No residentes en Espańa,2836.38
2016M01,4 y 5 estrellas,TOTAL,9430
2016M01,4 y 5 estrellas,Residentes en Espańa,8584.5
2016M01,4 y 5 estrellas,No residentes en Espańa,845.5
2016M01,3 estrellas,TOTAL,15866
2016M01,3 estrellas,Residentes en Espańa,13993.64
2016M01,3 estrellas,No residentes en Espańa,1872.36
2016M01,1 y 2 estrellas,TOTAL,1253.29
2016M01,1 y 2 estrellas,Residentes en Espańa,1213.43
2016M01,1 y 2 estrellas,No residentes en Espańa,39.86
2016M01,Hostales y pensiones,TOTAL,2270.37
2016M01,Hostales y pensiones,Residentes en Espańa,2191.71
2016M01,Hostales y pensiones,No residentes en Espańa,78.66
2016M02,TOTAL,TOTAL,33920.67
2016M02,TOTAL,Residentes en Espańa,30716.99
2016M02,TOTAL,No residentes en Espańa,3203.68
2016M02,4 y 5 estrellas,TOTAL,10629
2016M02,4 y 5 estrellas,Residentes en Espańa,9650.49
2016M02,4 y 5 estrellas,No residentes en Espańa,978.51
2016M02,3 estrellas,TOTAL,18188.79
2016M02,3 estrellas,Residentes en Espańa,16214.2
2016M02,3 estrellas,No residentes en Espańa,1974.59
2016M02,1 y 2 estrellas,TOTAL,1412.71
2016M02,1 y 2 estrellas,Residentes en Espańa,1263.57
2016M02,1 y 2 estrellas,No residentes en Espańa,149.14
2016M02,Hostales y pensiones,TOTAL,3690.17
2016M02,Hostales y pensiones,Residentes en Espańa,3588.73
2016M02,Hostales y pensiones,No residentes en Espańa,101.43
2016M03,TOTAL,TOTAL,44409.95
2016M03,TOTAL,Residentes en Espańa,40108
2016M03,TOTAL,No residentes en Espańa,4301.95
2016M03,4 y 5 estrellas,TOTAL,12634
2016M03,4 y 5 estrellas,Residentes en Espańa,11165.16
2016M03,4 y 5 estrellas,No residentes en Espańa,1468.84
2016M03,3 estrellas,TOTAL,23391
2016M03,3 estrellas,Residentes en Espańa,20939.49
2016M03,3 estrellas,No residentes en Espańa,2451.51
2016M03,1 y 2 estrellas,TOTAL,2564.14
2016M03,1 y 2 estrellas,Residentes en Espańa,2409.14
2016M03,1 y 2 estrellas,No residentes en Espańa,155
2016M03,Hostales y pensiones,TOTAL,5820.81
2016M03,Hostales y pensiones,Residentes en Espańa,5594.2
2016M03,Hostales y pensiones,No residentes en Espańa,226.61
2016M04,TOTAL,TOTAL,44481.33
2016M04,TOTAL,Residentes en Espańa,35127.83
2016M04,TOTAL,No residentes en Espańa,9353.5
2016M04,4 y 5 estrellas,TOTAL,11801
2016M04,4 y 5 estrellas,Residentes en Espańa,9464.39
2016M04,4 y 5 estrellas,No residentes en Espańa,2336.61
2016M04,3 estrellas,TOTAL,24269.36
2016M04,3 estrellas,Residentes en Espańa,18766.81
2016M04,3 estrellas,No residentes en Espańa,5502.54
2016M04,1 y 2 estrellas,TOTAL,2198.57
2016M04,1 y 2 estrellas,Residentes en Espańa,1941.43
2016M04,1 y 2 estrellas,No residentes en Espańa,257.14
2016M04,Hostales y pensiones,TOTAL,6212.4
2016M04,Hostales y pensiones,Residentes en Espańa,4955.2
2016M04,Hostales y pensiones,No residentes en Espańa,1257.21
2016M05,TOTAL,TOTAL,57634.01
2016M05,TOTAL,Residentes en Espańa,40600.46
2016M05,TOTAL,No residentes en Espańa,17033.55
2016M05,4 y 5 estrellas,TOTAL,13911
2016M05,4 y 5 estrellas,Residentes en Espańa,10207.72
2016M05,4 y 5 estrellas,No residentes en Espańa,3703.28
2016M05,3 estrellas,TOTAL,29471
2016M05,3 estrellas,Residentes en Espańa,21301.72
2016M05,3 estrellas,No residentes en Espańa,8169.28
2016M05,1 y 2 estrellas,TOTAL,2807.71
2016M05,1 y 2 estrellas,Residentes en Espańa,2342.71
2016M05,1 y 2 estrellas,No residentes en Espańa,465
2016M05,Hostales y pensiones,TOTAL,11444.29
2016M05,Hostales y pensiones,Residentes en Espańa,6748.31
2016M05,Hostales y pensiones,No residentes en Espańa,4695.98
2016M06,TOTAL,TOTAL,50307.05
2016M06,TOTAL,Residentes en Espańa,36589.64
2016M06,TOTAL,No residentes en Espańa,13717.41
2016M06,4 y 5 estrellas,TOTAL,15786
2016M06,4 y 5 estrellas,Residentes en Espańa,11482.38
2016M06,4 y 5 estrellas,No residentes en Espańa,4303.62
2016M06,3 estrellas,TOTAL,25629
2016M06,3 estrellas,Residentes en Espańa,18641.27
2016M06,3 estrellas,No residentes en Espańa,6987.73
2016M06,1 y 2 estrellas,TOTAL,2503.87
2016M06,1 y 2 estrellas,Residentes en Espańa,2099.45
2016M06,1 y 2 estrellas,No residentes en Espańa,404.41
2016M06,Hostales y pensiones,TOTAL,6388.18
2016M06,Hostales y pensiones,Residentes en Espańa,4366.54
2016M06,Hostales y pensiones,No residentes en Espańa,2021.64
2016M07,TOTAL,TOTAL,57005.15
2016M07,TOTAL,Residentes en Espańa,43421.05
2016M07,TOTAL,No residentes en Espańa,13584.1
2016M07,4 y 5 estrellas,TOTAL,14897
2016M07,4 y 5 estrellas,Residentes en Espańa,11600.14
2016M07,4 y 5 estrellas,No residentes en Espańa,3296.86
2016M07,3 estrellas,TOTAL,30972.7
2016M07,3 estrellas,Residentes en Espańa,23066.6
2016M07,3 estrellas,No residentes en Espańa,7906.09
2016M07,1 y 2 estrellas,TOTAL,2931.71
2016M07,1 y 2 estrellas,Residentes en Espańa,2484.43
2016M07,1 y 2 estrellas,No residentes en Espańa,447.29
2016M07,Hostales y pensiones,TOTAL,8203.73
2016M07,Hostales y pensiones,Residentes en Espańa,6269.88
2016M07,Hostales y pensiones,No residentes en Espańa,1933.85
2016M08,TOTAL,TOTAL,68321.08
2016M08,TOTAL,Residentes en Espańa,56530.96
2016M08,TOTAL,No residentes en Espańa,11790.12
2016M08,4 y 5 estrellas,TOTAL,17420
2016M08,4 y 5 estrellas,Residentes en Espańa,14640.76
2016M08,4 y 5 estrellas,No residentes en Espańa,2779.24
2016M08,3 estrellas,TOTAL,36569
2016M08,3 estrellas,Residentes en Espańa,30171.29
2016M08,3 estrellas,No residentes en Espańa,6397.71
2016M08,1 y 2 estrellas,TOTAL,3963.57
2016M08,1 y 2 estrellas,Residentes en Espańa,3618.14
2016M08,1 y 2 estrellas,No residentes en Espańa,345.43
2016M08,Hostales y pensiones,TOTAL,10368.5
2016M08,Hostales y pensiones,Residentes en Espańa,8100.76
2016M08,Hostales y pensiones,No residentes en Espańa,2267.74
2016M09,TOTAL,TOTAL,61522.25
2016M09,TOTAL,Residentes en Espańa,41744.25
2016M09,TOTAL,No residentes en Espańa,19778
2016M09,4 y 5 estrellas,TOTAL,14664
2016M09,4 y 5 estrellas,Residentes en Espańa,10404.07
2016M09,4 y 5 estrellas,No residentes en Espańa,4259.93
2016M09,3 estrellas,TOTAL,31825
2016M09,3 estrellas,Residentes en Espańa,21558.36
2016M09,3 estrellas,No residentes en Espańa,10266.64
2016M09,1 y 2 estrellas,TOTAL,3557.14
2016M09,1 y 2 estrellas,Residentes en Espańa,2742.86
2016M09,1 y 2 estrellas,No residentes en Espańa,814.29
2016M09,Hostales y pensiones,TOTAL,11476.11
2016M09,Hostales y pensiones,Residentes en Espańa,7038.97
2016M09,Hostales y pensiones,No residentes en Espańa,4437.14
2016M10,TOTAL,TOTAL,56952.1
2016M10,TOTAL,Residentes en Espańa,45388.33
2016M10,TOTAL,No residentes en Espańa,11563.76
2016M10,4 y 5 estrellas,TOTAL,14664
2016M10,4 y 5 estrellas,Residentes en Espańa,11518.66
2016M10,4 y 5 estrellas,No residentes en Espańa,3145.34
2016M10,3 estrellas,TOTAL,29046
2016M10,3 estrellas,Residentes en Espańa,23222.4
2016M10,3 estrellas,No residentes en Espańa,5823.6
2016M10,1 y 2 estrellas,TOTAL,2900.71
