Periodo,País de residencia,Medida,DATA,Fecha
2015M04,Resto de America,Viajeros,90239,2015-04-01
2015M04,Resto de America,Pernoctaciones,120631,2015-04-01
2015M04,Resto de no residentes en Espańa,Viajeros,65357,2015-04-01
2015M04,Resto de no residentes en Espańa,Pernoctaciones,106849,2015-04-01
2015M04,Resto de Europa,Viajeros,100719,2015-04-01
2015M04,Resto de Europa,Pernoctaciones,184911,2015-04-01
2015M05,TOTAL,Viajeros,5735085,2015-05-01
2015M05,TOTAL,Pernoctaciones,9489948,2015-05-01
2015M05,RESIDENTES EN ESPAŃA,Viajeros,4130474,2015-05-01
2015M05,RESIDENTES EN ESPAŃA,Pernoctaciones,7310648,2015-05-01
2015M05,NO RESIDENTE EN ESPAŃA,Viajeros,1604612,2015-05-01
2015M05,NO RESIDENTE EN ESPAŃA,Pernoctaciones,21793,2015-05-01
2015M05,Alemania,Viajeros,2220,2015-05-01
2015M05,Alemania,Pernoctaciones,2636,2015-05-01
2015M05,Francia,Viajeros,2985,2015-05-01
2015M05,Francia,Pernoctaciones,3557,2015-05-01
2015M05,Italia,Viajeros,759,2015-05-01
2015M05,Italia,Pernoctaciones,1071,2015-05-01
2015M05,Paises Bajos,Viajeros,364,2015-05-01
2015M05,Paises Bajos,Pernoctaciones,468,2015-05-01
2015M05,Reino Unido,Viajeros,1457,2015-05-01
2015M05,Reino Unido,Pernoctaciones,2036,2015-05-01
2015M05,Paises Nordicos,Viajeros,10292,2015-05-01
2015M05,Paises Nordicos,Pernoctaciones,14569,2015-05-01
2015M05,Resto de UE,Viajeros,162028,2015-05-01
2015M05,Resto de UE,Pernoctaciones,211989,2015-05-01
2015M05,Estados Unidos,Viajeros,2345,2015-05-01
2015M05,Estados Unidos,Pernoctaciones,3075,2015-05-01
2015M05,Resto de America,Viajeros,104724,2015-05-01
2015M05,Resto de America,Pernoctaciones,129907,2015-05-01
2015M05,Resto de no residentes en Espańa,Viajeros,105089,2015-05-01
2015M05,Resto de no residentes en Espańa,Pernoctaciones,260174,2015-05-01
2015M05,Resto de Europa,Viajeros,116851,2015-05-01
2015M05,Resto de Europa,Pernoctaciones,147241,2015-05-01
2015M06,TOTAL,Viajeros,5253199,2015-06-01
2015M06,TOTAL,Pernoctaciones,8751288,2015-06-01
2015M06,RESIDENTES EN ESPAŃA,Viajeros,39060,2015-06-01
2015M06,RESIDENTES EN ESPAŃA,Pernoctaciones,6703875,2015-06-01
2015M06,NO RESIDENTE EN ESPAŃA,Viajeros,1347198,2015-06-01
2015M06,NO RESIDENTE EN ESPAŃA,Pernoctaciones,2047413,2015-06-01
2015M06,Alemania,Viajeros,1657,2015-06-01
2015M06,Alemania,Pernoctaciones,2480,2015-06-01
2015M06,Francia,Viajeros,2060,2015-06-01
2015M06,Francia,Pernoctaciones,2577,2015-06-01
2015M06,Italia,Viajeros,737,2015-06-01
2015M06,Italia,Pernoctaciones,1327,2015-06-01
2015M06,Paises Bajos,Viajeros,374,2015-06-01
2015M06,Paises Bajos,Pernoctaciones,579,2015-06-01
2015M06,Reino Unido,Viajeros,1588,2015-06-01
2015M06,Reino Unido,Pernoctaciones,2357,2015-06-01
2015M06,Paises Nordicos,Viajeros,46971,2015-06-01
2015M06,Paises Nordicos,Pernoctaciones,77024,2015-06-01
2015M06,Resto de UE,Viajeros,220398,2015-06-01
2015M06,Resto de UE,Pernoctaciones,321313,2015-06-01
2015M06,Estados Unidos,Viajeros,1900,2015-06-01
2015M06,Estados Unidos,Pernoctaciones,2843,2015-06-01
2015M06,Resto de America,Viajeros,124722,2015-06-01
2015M06,Resto de America,Pernoctaciones,171637,2015-06-01
2015M06,Resto de no residentes en Espańa,Viajeros,72012,2015-06-01
2015M06,Resto de no residentes en Espańa,Pernoctaciones,186028,2015-06-01
2015M06,Resto de Europa,Viajeros,51495,2015-06-01
2015M06,Resto de Europa,Pernoctaciones,75111,2015-06-01
2015M07,TOTAL,Viajeros,5395881,2015-07-01
2015M07,TOTAL,Pernoctaciones,8898189,2015-07-01
2015M07,RESIDENTES EN ESPAŃA,Viajeros,425536,2015-07-01
2015M07,RESIDENTES EN ESPAŃA,Pernoctaciones,7173094,2015-07-01
2015M07,NO RESIDENTE EN ESPAŃA,Viajeros,1140521,2015-07-01
2015M07,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1725095,2015-07-01
2015M07,Alemania,Viajeros,733,2015-07-01
2015M07,Alemania,Pernoctaciones,1189,2015-07-01
2015M07,Francia,Viajeros,1815,2015-07-01
2015M07,Francia,Pernoctaciones,2503,2015-07-01
2015M07,Italia,Viajeros,645,2015-07-01
2015M07,Italia,Pernoctaciones,902,2015-07-01
2015M07,Paises Bajos,Viajeros,508,2015-07-01
2015M07,Paises Bajos,Pernoctaciones,822,2015-07-01
2015M07,Reino Unido,Viajeros,1795,2015-07-01
2015M07,Reino Unido,Pernoctaciones,2762,2015-07-01
2015M07,Paises Nordicos,Viajeros,43764,2015-07-01
2015M07,Paises Nordicos,Pernoctaciones,61347,2015-07-01
2015M07,Resto de UE,Viajeros,293925,2015-07-01
2015M07,Resto de UE,Pernoctaciones,425803,2015-07-01
2015M07,Estados Unidos,Viajeros,1085,2015-07-01
2015M07,Estados Unidos,Pernoctaciones,1743,2015-07-01
2015M07,Resto de America,Viajeros,39076,2015-07-01
2015M07,Resto de America,Pernoctaciones,76919,2015-07-01
2015M07,Resto de no residentes en Espańa,Viajeros,67104,2015-07-01
2015M07,Resto de no residentes en Espańa,Pernoctaciones,111148,2015-07-01
2015M07,Resto de Europa,Viajeros,38552,2015-07-01
2015M07,Resto de Europa,Pernoctaciones,57779,2015-07-01
2015M08,TOTAL,Viajeros,6905211,2015-08-01
2015M08,TOTAL,Pernoctaciones,12150323,2015-08-01
2015M08,RESIDENTES EN ESPAŃA,Viajeros,58958,2015-08-01
2015M08,RESIDENTES EN ESPAŃA,Pernoctaciones,10623775,2015-08-01
2015M08,NO RESIDENTE EN ESPAŃA,Viajeros,1009411,2015-08-01
2015M08,NO RESIDENTE EN ESPAŃA,Pernoctaciones,1526548,2015-08-01
2015M08,Alemania,Viajeros,1051,2015-08-01
2015M08,Alemania,Pernoctaciones,1702,2015-08-01
2015M08,Francia,Viajeros,2456,2015-08-01
2015M08,Francia,Pernoctaciones,3380,2015-08-01
2015M08,Italia,Viajeros,904,2015-08-01
2015M08,Italia,Pernoctaciones,1195,2015-08-01
2015M08,Paises Bajos,Viajeros,468,2015-08-01
2015M08,Paises Bajos,Pernoctaciones,784,2015-08-01
2015M08,Reino Unido,Viajeros,1167,2015-08-01
2015M08,Reino Unido,Pernoctaciones,1793,2015-08-01
2015M08,Paises Nordicos,Viajeros,25502,2015-08-01
2015M08,Paises Nordicos,Pernoctaciones,35894,2015-08-01
2015M08,Resto de UE,Viajeros,123009,2015-08-01
