Periodo,Categoría,Residencia viajero,DATA
2015M07,Hostales y pensiones,TOTAL,11952.17
2015M07,Hostales y pensiones,Residentes en Espańa,9474.82
2015M07,Hostales y pensiones,No residentes en Espańa,2477.35
2015M08,TOTAL,TOTAL,122096.23
2015M08,TOTAL,Residentes en Espańa,106238.1
2015M08,TOTAL,No residentes en Espańa,15858.13
2015M08,4 y 5 estrellas,TOTAL,39491
2015M08,4 y 5 estrellas,Residentes en Espańa,34924.17
2015M08,4 y 5 estrellas,No residentes en Espańa,4566.83
2015M08,3 estrellas,TOTAL,60130.72
2015M08,3 estrellas,Residentes en Espańa,51177.52
2015M08,3 estrellas,No residentes en Espańa,8953.21
2015M08,1 y 2 estrellas,TOTAL,6288.57
2015M08,1 y 2 estrellas,Residentes en Espańa,5810.29
2015M08,1 y 2 estrellas,No residentes en Espańa,478.29
2015M08,Hostales y pensiones,TOTAL,16185.94
2015M08,Hostales y pensiones,Residentes en Espańa,14326.13
2015M08,Hostales y pensiones,No residentes en Espańa,1859.81
2015M09,TOTAL,TOTAL,112172.03
2015M09,TOTAL,Residentes en Espańa,82325.58
2015M09,TOTAL,No residentes en Espańa,29846.45
2015M09,4 y 5 estrellas,TOTAL,32841
2015M09,4 y 5 estrellas,Residentes en Espańa,24438.78
2015M09,4 y 5 estrellas,No residentes en Espańa,8402.22
2015M09,3 estrellas,TOTAL,55748
2015M09,3 estrellas,Residentes en Espańa,40335.71
2015M09,3 estrellas,No residentes en Espańa,15412.29
2015M09,1 y 2 estrellas,TOTAL,4945.71
2015M09,1 y 2 estrellas,Residentes en Espańa,3994.29
2015M09,1 y 2 estrellas,No residentes en Espańa,951.43
2015M09,Hostales y pensiones,TOTAL,18637.32
2015M09,Hostales y pensiones,Residentes en Espańa,13556.8
2015M09,Hostales y pensiones,No residentes en Espańa,5080.51
2015M10,TOTAL,TOTAL,100690.47
2015M10,TOTAL,Residentes en Espańa,81495.04
2015M10,TOTAL,No residentes en Espańa,19195.44
2015M10,4 y 5 estrellas,TOTAL,31224
2015M10,4 y 5 estrellas,Residentes en Espańa,24001.1
2015M10,4 y 5 estrellas,No residentes en Espańa,7222.9
2015M10,3 estrellas,TOTAL,49653.67
2015M10,3 estrellas,Residentes en Espańa,39979.71
2015M10,3 estrellas,No residentes en Espańa,9673.96
2015M10,1 y 2 estrellas,TOTAL,4167.29
2015M10,1 y 2 estrellas,Residentes en Espańa,3799.71
2015M10,1 y 2 estrellas,No residentes en Espańa,367.57
2015M10,Hostales y pensiones,TOTAL,15645.52
2015M10,Hostales y pensiones,Residentes en Espańa,13714.52
2015M10,Hostales y pensiones,No residentes en Espańa,1931
2015M11,TOTAL,TOTAL,77097.06
2015M11,TOTAL,Residentes en Espańa,68962.01
2015M11,TOTAL,No residentes en Espańa,8135.05
2015M11,4 y 5 estrellas,TOTAL,24580
2015M11,4 y 5 estrellas,Residentes en Espańa,21429.38
2015M11,4 y 5 estrellas,No residentes en Espańa,3150.62
2015M11,3 estrellas,TOTAL,37516.86
2015M11,3 estrellas,Residentes en Espańa,33944.14
2015M11,3 estrellas,No residentes en Espańa,3572.72
2015M11,1 y 2 estrellas,TOTAL,3745.71
2015M11,1 y 2 estrellas,Residentes en Espańa,3454.29
2015M11,1 y 2 estrellas,No residentes en Espańa,291.43
2015M11,Hostales y pensiones,TOTAL,11254.49
2015M11,Hostales y pensiones,Residentes en Espańa,10134.21
2015M11,Hostales y pensiones,No residentes en Espańa,1120.28
2015M12,TOTAL,TOTAL,61911.25
2015M12,TOTAL,Residentes en Espańa,57134.2
2015M12,TOTAL,No residentes en Espańa,4777.05
2015M12,4 y 5 estrellas,TOTAL,20571
2015M12,4 y 5 estrellas,Residentes en Espańa,18749.48
2015M12,4 y 5 estrellas,No residentes en Espańa,1821.52
2015M12,3 estrellas,TOTAL,29609.4
2015M12,3 estrellas,Residentes en Espańa,27225.52
2015M12,3 estrellas,No residentes en Espańa,2383.89
2015M12,1 y 2 estrellas,TOTAL,2015
2015M12,1 y 2 estrellas,Residentes en Espańa,1895.43
2015M12,1 y 2 estrellas,No residentes en Espańa,119.57
2015M12,Hostales y pensiones,TOTAL,9715.85
2015M12,Hostales y pensiones,Residentes en Espańa,9263.77
2015M12,Hostales y pensiones,No residentes en Espańa,452.08
2016M01,TOTAL,TOTAL,50490.91
2016M01,TOTAL,Residentes en Espańa,44337.81
2016M01,TOTAL,No residentes en Espańa,6153.1
2016M01,4 y 5 estrellas,TOTAL,15517
2016M01,4 y 5 estrellas,Residentes en Espańa,13914.03
2016M01,4 y 5 estrellas,No residentes en Espańa,1602.97
2016M01,3 estrellas,TOTAL,26715
2016M01,3 estrellas,Residentes en Espańa,23118.92
2016M01,3 estrellas,No residentes en Espańa,3596.08
2016M01,1 y 2 estrellas,TOTAL,2519.86
2016M01,1 y 2 estrellas,Residentes en Espańa,1820.14
2016M01,1 y 2 estrellas,No residentes en Espańa,699.71
2016M01,Hostales y pensiones,TOTAL,5739.05
2016M01,Hostales y pensiones,Residentes en Espańa,5484.72
2016M01,Hostales y pensiones,No residentes en Espańa,254.33
2016M02,TOTAL,TOTAL,59288.73
2016M02,TOTAL,Residentes en Espańa,53938.8
2016M02,TOTAL,No residentes en Espańa,5349.93
2016M02,4 y 5 estrellas,TOTAL,18411
2016M02,4 y 5 estrellas,Residentes en Espańa,16834.02
2016M02,4 y 5 estrellas,No residentes en Espańa,1576.98
2016M02,3 estrellas,TOTAL,30808.81
2016M02,3 estrellas,Residentes en Espańa,27551.58
2016M02,3 estrellas,No residentes en Espańa,3257.24
2016M02,1 y 2 estrellas,TOTAL,2286.86
2016M02,1 y 2 estrellas,Residentes en Espańa,2083.86
2016M02,1 y 2 estrellas,No residentes en Espańa,203
2016M02,Hostales y pensiones,TOTAL,7782.06
2016M02,Hostales y pensiones,Residentes en Espańa,7469.34
2016M02,Hostales y pensiones,No residentes en Espańa,312.72
2016M03,TOTAL,TOTAL,82912.6
2016M03,TOTAL,Residentes en Espańa,75680.43
2016M03,TOTAL,No residentes en Espańa,7232.17
2016M03,4 y 5 estrellas,TOTAL,24722
2016M03,4 y 5 estrellas,Residentes en Espańa,22482.39
2016M03,4 y 5 estrellas,No residentes en Espańa,2239.61
2016M03,3 estrellas,TOTAL,41995
2016M03,3 estrellas,Residentes en Espańa,37706.9
2016M03,3 estrellas,No residentes en Espańa,4288.1
2016M03,1 y 2 estrellas,TOTAL,4729.71
2016M03,1 y 2 estrellas,Residentes en Espańa,4459.57
2016M03,1 y 2 estrellas,No residentes en Espańa,270.14
2016M03,Hostales y pensiones,TOTAL,11465.89
2016M03,Hostales y pensiones,Residentes en Espańa,11031.57
2016M03,Hostales y pensiones,No residentes en Espańa,434.32
2016M04,TOTAL,TOTAL,73738.67
