Periodo,Ubicación establecimiento,DATA
2020M02,TOTAL,65220.91
2020M02,Logrońo y Alrededores,33934.6
2020M02,Resto,31286.31
2020M03,TOTAL,17753.07
2020M03,Logrońo y Alrededores,10464.42
2020M03,Resto,7288.65
2020M05,TOTAL,1594.8
2020M05,Logrońo y Alrededores,788.43
2020M05,Resto,806.37
2020M06,TOTAL,10167.94
2020M06,Logrońo y Alrededores,4198.75
2020M06,Resto,5969.19
2020M07,TOTAL,49321.13
2020M07,Logrońo y Alrededores,20073.29
2020M07,Resto,29247.84
2020M08,TOTAL,65449.45
2020M08,Logrońo y Alrededores,26384.53
2020M08,Resto,39064.92
2020M09,TOTAL,39125.9
2020M09,Logrońo y Alrededores,17463.57
2020M09,Resto,21662.32
2020M10,TOTAL,29564.07
2020M10,Logrońo y Alrededores,15043.33
2020M10,Resto,14520.74
2020M11,TOTAL,10929.41
2020M11,Logrońo y Alrededores,5533.46
2020M11,Resto,5395.95
2020M12,TOTAL,11377.16
2020M12,Logrońo y Alrededores,6248.43
2020M12,Resto,5128.73
2021M01,TOTAL,8419.56
2021M01,Logrońo y Alrededores,5054.51
2021M01,Resto,3365.05
2021M02,TOTAL,9235.93
2021M02,Logrońo y Alrededores,5267.16
2021M02,Resto,3968.78
2021M03,TOTAL,17404.43
2021M03,Logrońo y Alrededores,8979.93
2021M03,Resto,8424.5
2021M04,TOTAL,16796.85
2021M04,Logrońo y Alrededores,7791.73
2021M04,Resto,9005.12
2021M05,TOTAL,32079.81
2021M05,Logrońo y Alrededores,16754.59
2021M05,Resto,15325.22
2021M06,TOTAL,46972.7
2021M06,Logrońo y Alrededores,22172.54
2021M06,Resto,24800.16
2021M07,TOTAL,74048.84
2021M07,Logrońo y Alrededores,32384.62
2021M07,Resto,41664.21
2021M08,TOTAL,122226.11
2021M08,Logrońo y Alrededores,55628.14
2021M08,Resto,66597.97
2021M09,TOTAL,85262.49
2021M09,Logrońo y Alrededores,44342.58
2021M09,Resto,40919.91
2021M10,TOTAL,93656.04
2021M10,Logrońo y Alrededores,46118.89
2021M10,Resto,47537.15
2021M11,TOTAL,63772.6
2021M11,Logrońo y Alrededores,33803.03
2021M11,Resto,29969.57
2021M12,TOTAL,50979.74
2021M12,Logrońo y Alrededores,25371.42
2021M12,Resto,25608.32
2022M01,TOTAL,31064.94
2022M01,Logrońo y Alrededores,18729.18
2022M01,Resto,12335.76
2022M02,TOTAL,46287.86
2022M02,Logrońo y Alrededores,25896.35
2022M02,Resto,20391.51
2022M03,TOTAL,55306.85
2022M03,Logrońo y Alrededores,29452.16
2022M03,Resto,25854.69
2022M04,TOTAL,86260.23
2022M04,Logrońo y Alrededores,44119.02
2022M04,Resto,42141.21
2022M05,TOTAL,84224.64
2022M05,Logrońo y Alrededores,43475.1
2022M05,Resto,40749.54
2022M06,TOTAL,82620.76
2022M06,Logrońo y Alrededores,43000.34
2022M06,Resto,39620.42
2022M07,TOTAL,89567.78
2022M07,Logrońo y Alrededores,46127.32
2022M07,Resto,43440.46
2022M08,TOTAL,122344.14
2022M08,Logrońo y Alrededores,56601.37
2022M08,Resto,65742.77
2022M09,TOTAL,99355.91
2022M09,Logrońo y Alrededores,49792.39
2022M09,Resto,49563.53
2022M10,TOTAL,95703.29
2022M10,Logrońo y Alrededores,48711.86
2022M10,Resto,46991.43
2022M11,TOTAL,66514.32
2022M11,Logrońo y Alrededores,35815.31
2022M11,Resto,30699.01
2022M12,TOTAL,57509.66
2022M12,Logrońo y Alrededores,34410.8
2022M12,Resto,23098.86
2023M01,TOTAL,39939.01
2023M01,Logrońo y Alrededores,26180.94
2023M01,Resto,13758.08
2023M02,TOTAL,55475.75
2023M02,Logrońo y Alrededores,33335.19
2023M02,Resto,22140.57
2023M03,TOTAL,66497.53
2023M03,Logrońo y Alrededores,38815.01
2023M03,Resto,27682.53
2023M04,TOTAL,93733.52
2023M04,Logrońo y Alrededores,48634.6
2023M04,Resto,45098.92
2023M05,TOTAL,95388.99
2023M05,Logrońo y Alrededores,50349.95
2023M05,Resto,45039.04
2023M06,TOTAL,91983.32
2023M06,Logrońo y Alrededores,46021.76
2023M06,Resto,45961.56
