Periodo,Tipo de establecimiento,CCAA,DATA
2001M08,Camping,La Rioja,633.0
2001M08,Camping,Espańa,586.0
2001M08,Turismo Rural,La Rioja,394.0
2001M08,Turismo Rural,Espańa,477.0
2001M08,Apartamentos,Espańa,1111.0
2001M09,Hoteles,La Rioja,179.0
2001M09,Hoteles,Espańa,422.0
2001M09,Camping,La Rioja,261.0
2001M09,Camping,Espańa,469.0
2001M09,Turismo Rural,La Rioja,175.0
2001M09,Turismo Rural,Espańa,295.0
2001M09,Apartamentos,Espańa,982.0
2001M10,Hoteles,La Rioja,179.0
2001M10,Hoteles,Espańa,377.0
2001M10,Camping,La Rioja,24.0
2001M10,Camping,Espańa,442.0
2001M10,Turismo Rural,La Rioja,205.0
2001M10,Turismo Rural,Espańa,251.0
2001M10,Apartamentos,Espańa,94.0
2001M11,Hoteles,La Rioja,188.0
2001M11,Hoteles,Espańa,326.0
2001M11,Camping,La Rioja,286.0
2001M11,Camping,Espańa,624.0
2001M11,Turismo Rural,La Rioja,239.0
2001M11,Turismo Rural,Espańa,256.0
2001M11,Apartamentos,Espańa,885.0
2001M12,Hoteles,La Rioja,194.0
2001M12,Hoteles,Espańa,313.0
2001M12,Camping,La Rioja,296.0
2001M12,Camping,Espańa,723.0
2001M12,Turismo Rural,La Rioja,291.0
2001M12,Turismo Rural,Espańa,281.0
2001M12,Apartamentos,Espańa,879.0
2002M01,Hoteles,La Rioja,181.0
2002M01,Hoteles,Espańa,341.0
2002M01,Camping,La Rioja,155.0
2002M01,Camping,Espańa,851.0
2002M01,Turismo Rural,La Rioja,206.0
2002M01,Turismo Rural,Espańa,248.0
2002M01,Apartamentos,La Rioja,277.0
2002M01,Apartamentos,Espańa,898.0
2002M02,Hoteles,La Rioja,185.0
2002M02,Hoteles,Espańa,328.0
2002M02,Camping,La Rioja,163.0
2002M02,Camping,Espańa,71.0
2002M02,Turismo Rural,La Rioja,189.0
2002M02,Turismo Rural,Espańa,217.0
2002M02,Apartamentos,La Rioja,178.0
2002M02,Apartamentos,Espańa,818.0
2002M03,Hoteles,La Rioja,191.0
2002M03,Hoteles,Espańa,331.0
2002M03,Camping,La Rioja,291.0
2002M03,Camping,Espańa,455.0
2002M03,Turismo Rural,La Rioja,241.0
2002M03,Turismo Rural,Espańa,288.0
2002M03,Apartamentos,La Rioja,247.0
2002M03,Apartamentos,Espańa,807.0
2002M04,Hoteles,La Rioja,181.0
