Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA
1999M02,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,34545.0
1999M02,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,2666.0
1999M02,HOTELES,Pernoctaciones,Espańa,TOTAL,11451100.0
1999M02,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,4520079.0
1999M02,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,6931021.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,1772.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,1676.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,96.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,73069.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,55390.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,17679.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,2900.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,2756.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,144.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,439754.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,124247.0
1999M02,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,315507.0
1999M02,Camping,Viajeros,La Rioja,TOTAL,1772.0
1999M02,Camping,Viajeros,La Rioja,Residentes en Espańa,1676.0
1999M02,Camping,Viajeros,La Rioja,No residentes en Espańa,96.0
1999M02,Camping,Viajeros,Espańa,TOTAL,73069.0
1999M02,Camping,Viajeros,Espańa,Residentes en Espańa,55390.0
1999M02,Camping,Viajeros,Espańa,No residentes en Espańa,17679.0
1999M02,Camping,Pernoctaciones,La Rioja,TOTAL,2900.0
1999M02,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,2756.0
1999M02,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,144.0
1999M02,Camping,Pernoctaciones,Espańa,TOTAL,439754.0
