Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
2007M07,Turismo Rural,Pernoctaciones,Espańa,TOTAL,986486,2007-07-01
2007M07,Turismo Rural,Pernoctaciones,Espańa,Residentes en Espańa,779978,2007-07-01
2007M07,Turismo Rural,Pernoctaciones,Espańa,No residentes en Espańa,206508,2007-07-01
2007M07,Apartamentos,Viajeros,La Rioja,TOTAL,679,2007-07-01
2007M07,Apartamentos,Viajeros,La Rioja,Residentes en Espańa,654,2007-07-01
2007M07,Apartamentos,Viajeros,La Rioja,No residentes en Espańa,25,2007-07-01
2007M07,Apartamentos,Viajeros,Espańa,TOTAL,1072912,2007-07-01
2007M07,Apartamentos,Viajeros,Espańa,Residentes en Espańa,406593,2007-07-01
2007M07,Apartamentos,Viajeros,Espańa,No residentes en Espańa,666319,2007-07-01
2007M07,Apartamentos,Pernoctaciones,La Rioja,TOTAL,2444,2007-07-01
2007M07,Apartamentos,Pernoctaciones,La Rioja,Residentes en Espańa,2357,2007-07-01
2007M07,Apartamentos,Pernoctaciones,La Rioja,No residentes en Espańa,87,2007-07-01
2007M07,Apartamentos,Pernoctaciones,Espańa,TOTAL,9505891,2007-07-01
2007M07,Apartamentos,Pernoctaciones,Espańa,Residentes en Espańa,2965577,2007-07-01
2007M07,Apartamentos,Pernoctaciones,Espańa,No residentes en Espańa,6540314,2007-07-01
2007M08,TOTAL,Viajeros,La Rioja,TOTAL,78397,2007-08-01
2007M08,TOTAL,Viajeros,La Rioja,Residentes en Espańa,68900,2007-08-01
2007M08,TOTAL,Viajeros,La Rioja,No residentes en Espańa,9497,2007-08-01
2007M08,TOTAL,Viajeros,Espańa,TOTAL,13430866,2007-08-01
2007M08,TOTAL,Viajeros,Espańa,Residentes en Espańa,7692256,2007-08-01
2007M08,TOTAL,Viajeros,Espańa,No residentes en Espańa,5738610,2007-08-01
2007M08,TOTAL,Pernoctaciones,La Rioja,TOTAL,225141,2007-08-01
2007M08,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,208209,2007-08-01
2007M08,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,16932,2007-08-01
2007M08,TOTAL,Pernoctaciones,Espańa,TOTAL,60834754,2007-08-01
2007M08,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,29172432,2007-08-01
2007M08,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,31662322,2007-08-01
2007M08,HOTELES,Viajeros,La Rioja,TOTAL,54054,2007-08-01
2007M08,HOTELES,Viajeros,La Rioja,Residentes en Espańa,47140,2007-08-01
2007M08,HOTELES,Viajeros,La Rioja,No residentes en Espańa,6914,2007-08-01
2007M08,HOTELES,Viajeros,Espańa,TOTAL,10025687,2007-08-01
2007M08,HOTELES,Viajeros,Espańa,Residentes en Espańa,5654061,2007-08-01
2007M08,HOTELES,Viajeros,Espańa,No residentes en Espańa,4371626,2007-08-01
2007M08,HOTELES,Pernoctaciones,La Rioja,TOTAL,108528,2007-08-01
2007M08,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,96955,2007-08-01
2007M08,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,11573,2007-08-01
2007M08,HOTELES,Pernoctaciones,Espańa,TOTAL,38132493,2007-08-01
2007M08,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,17249956,2007-08-01
2007M08,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,20882537,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,24343,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,21760,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,2583,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,3405179,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,2038195,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,1366984,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,116613,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,111254,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,5359,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,22702261,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,11922476,2007-08-01
2007M08,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,10779785,2007-08-01
2007M08,Camping,Viajeros,La Rioja,TOTAL,20492,2007-08-01
2007M08,Camping,Viajeros,La Rioja,Residentes en Espańa,18180,2007-08-01
2007M08,Camping,Viajeros,La Rioja,No residentes en Espańa,2312,2007-08-01
2007M08,Camping,Viajeros,Espańa,TOTAL,1824566,2007-08-01
2007M08,Camping,Viajeros,Espańa,Residentes en Espańa,1186710,2007-08-01
2007M08,Camping,Viajeros,Espańa,No residentes en Espańa,637856,2007-08-01
2007M08,Camping,Pernoctaciones,La Rioja,TOTAL,99747,2007-08-01
2007M08,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,94931,2007-08-01
2007M08,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,4816,2007-08-01
2007M08,Camping,Pernoctaciones,Espańa,TOTAL,9732542,2007-08-01
2007M08,Camping,Pernoctaciones,Espańa,Residentes en Espańa,6234434,2007-08-01
2007M08,Camping,Pernoctaciones,Espańa,No residentes en Espańa,3498108,2007-08-01
2007M08,Turismo Rural,Viajeros,La Rioja,TOTAL,3096,2007-08-01
2007M08,Turismo Rural,Viajeros,La Rioja,Residentes en Espańa,2833,2007-08-01
2007M08,Turismo Rural,Viajeros,La Rioja,No residentes en Espańa,263,2007-08-01
2007M08,Turismo Rural,Viajeros,Espańa,TOTAL,363130,2007-08-01
2007M08,Turismo Rural,Viajeros,Espańa,Residentes en Espańa,323574,2007-08-01
2007M08,Turismo Rural,Viajeros,Espańa,No residentes en Espańa,39556,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,La Rioja,TOTAL,12366,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,La Rioja,Residentes en Espańa,11910,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,La Rioja,No residentes en Espańa,456,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,Espańa,TOTAL,1663148,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,Espańa,Residentes en Espańa,1443893,2007-08-01
2007M08,Turismo Rural,Pernoctaciones,Espańa,No residentes en Espańa,219255,2007-08-01
2007M08,Apartamentos,Viajeros,La Rioja,TOTAL,755,2007-08-01
2007M08,Apartamentos,Viajeros,La Rioja,Residentes en Espańa,747,2007-08-01
2007M08,Apartamentos,Viajeros,La Rioja,No residentes en Espańa,8,2007-08-01
2007M08,Apartamentos,Viajeros,Espańa,TOTAL,1217483,2007-08-01
2007M08,Apartamentos,Viajeros,Espańa,Residentes en Espańa,527911,2007-08-01
2007M08,Apartamentos,Viajeros,Espańa,No residentes en Espańa,689572,2007-08-01
2007M08,Apartamentos,Pernoctaciones,La Rioja,TOTAL,4500,2007-08-01
2007M08,Apartamentos,Pernoctaciones,La Rioja,Residentes en Espańa,4413,2007-08-01
2007M08,Apartamentos,Pernoctaciones,La Rioja,No residentes en Espańa,87,2007-08-01
2007M08,Apartamentos,Pernoctaciones,Espańa,TOTAL,11306571,2007-08-01
2007M08,Apartamentos,Pernoctaciones,Espańa,Residentes en Espańa,4244149,2007-08-01
2007M08,Apartamentos,Pernoctaciones,Espańa,No residentes en Espańa,7062422,2007-08-01
2007M09,TOTAL,Viajeros,La Rioja,TOTAL,66585,2007-09-01
2007M09,TOTAL,Viajeros,La Rioja,Residentes en Espańa,53270,2007-09-01
2007M09,TOTAL,Viajeros,La Rioja,No residentes en Espańa,13315,2007-09-01
2007M09,TOTAL,Viajeros,Espańa,TOTAL,10276026,2007-09-01
2007M09,TOTAL,Viajeros,Espańa,Residentes en Espańa,5455487,2007-09-01
2007M09,TOTAL,Viajeros,Espańa,No residentes en Espańa,4820539,2007-09-01
2007M09,TOTAL,Pernoctaciones,La Rioja,TOTAL,118766,2007-09-01
2007M09,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,96831,2007-09-01
2007M09,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,21935,2007-09-01
2007M09,TOTAL,Pernoctaciones,Espańa,TOTAL,40242595,2007-09-01
2007M09,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,15301296,2007-09-01
2007M09,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,24941299,2007-09-01
2007M09,HOTELES,Viajeros,La Rioja,TOTAL,54825,2007-09-01
2007M09,HOTELES,Viajeros,La Rioja,Residentes en Espańa,42565,2007-09-01
2007M09,HOTELES,Viajeros,La Rioja,No residentes en Espańa,12260,2007-09-01
2007M09,HOTELES,Viajeros,Espańa,TOTAL,8621799,2007-09-01
2007M09,HOTELES,Viajeros,Espańa,Residentes en Espańa,4604220,2007-09-01
2007M09,HOTELES,Viajeros,Espańa,No residentes en Espańa,4017579,2007-09-01
2007M09,HOTELES,Pernoctaciones,La Rioja,TOTAL,92077,2007-09-01
2007M09,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,72026,2007-09-01
2007M09,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,20051,2007-09-01
2007M09,HOTELES,Pernoctaciones,Espańa,TOTAL,30142241,2007-09-01
2007M09,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,11609665,2007-09-01
2007M09,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,18532576,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,11760,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,10705,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,1055,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,1654227,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,851267,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,802960,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,26689,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,24805,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,1884,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,10100354,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,3691631,2007-09-01
2007M09,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,6408723,2007-09-01
2007M09,Camping,Viajeros,La Rioja,TOTAL,8809,2007-09-01
2007M09,Camping,Viajeros,La Rioja,Residentes en Espańa,7864,2007-09-01
2007M09,Camping,Viajeros,La Rioja,No residentes en Espańa,945,2007-09-01
2007M09,Camping,Viajeros,Espańa,TOTAL,559357,2007-09-01
2007M09,Camping,Viajeros,Espańa,Residentes en Espańa,360652,2007-09-01
2007M09,Camping,Viajeros,Espańa,No residentes en Espańa,198705,2007-09-01
2007M09,Camping,Pernoctaciones,La Rioja,TOTAL,19694,2007-09-01
2007M09,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,18113,2007-09-01
2007M09,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,1581,2007-09-01
2007M09,Camping,Pernoctaciones,Espańa,TOTAL,2484234,2007-09-01
2007M09,Camping,Pernoctaciones,Espańa,Residentes en Espańa,1301592,2007-09-01
2007M09,Camping,Pernoctaciones,Espańa,No residentes en Espańa,1182642,2007-09-01
2007M09,Turismo Rural,Viajeros,La Rioja,TOTAL,2179,2007-09-01
2007M09,Turismo Rural,Viajeros,La Rioja,Residentes en Espańa,2099,2007-09-01
2007M09,Turismo Rural,Viajeros,La Rioja,No residentes en Espańa,80,2007-09-01
2007M09,Turismo Rural,Viajeros,Espańa,TOTAL,217051,2007-09-01
2007M09,Turismo Rural,Viajeros,Espańa,Residentes en Espańa,187274,2007-09-01
2007M09,Turismo Rural,Viajeros,Espańa,No residentes en Espańa,29777,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,La Rioja,TOTAL,5075,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,La Rioja,Residentes en Espańa,4874,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,La Rioja,No residentes en Espańa,201,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,Espańa,TOTAL,618424,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,Espańa,Residentes en Espańa,484586,2007-09-01
2007M09,Turismo Rural,Pernoctaciones,Espańa,No residentes en Espańa,133838,2007-09-01
2007M09,Apartamentos,Viajeros,La Rioja,TOTAL,772,2007-09-01
2007M09,Apartamentos,Viajeros,La Rioja,Residentes en Espańa,742,2007-09-01
2007M09,Apartamentos,Viajeros,La Rioja,No residentes en Espańa,30,2007-09-01
2007M09,Apartamentos,Viajeros,Espańa,TOTAL,877819,2007-09-01
2007M09,Apartamentos,Viajeros,Espańa,Residentes en Espańa,303341,2007-09-01
2007M09,Apartamentos,Viajeros,Espańa,No residentes en Espańa,574478,2007-09-01
2007M09,Apartamentos,Pernoctaciones,La Rioja,TOTAL,1920,2007-09-01
2007M09,Apartamentos,Pernoctaciones,La Rioja,Residentes en Espańa,1818,2007-09-01
2007M09,Apartamentos,Pernoctaciones,La Rioja,No residentes en Espańa,102,2007-09-01
2007M09,Apartamentos,Pernoctaciones,Espańa,TOTAL,6997696,2007-09-01
2007M09,Apartamentos,Pernoctaciones,Espańa,Residentes en Espańa,1905453,2007-09-01
2007M09,Apartamentos,Pernoctaciones,Espańa,No residentes en Espańa,5092243,2007-09-01
2007M10,TOTAL,Viajeros,La Rioja,TOTAL,63338,2007-10-01
2007M10,TOTAL,Viajeros,La Rioja,Residentes en Espańa,54308,2007-10-01
2007M10,TOTAL,Viajeros,La Rioja,No residentes en Espańa,9030,2007-10-01
2007M10,TOTAL,Viajeros,Espańa,TOTAL,8726849,2007-10-01
2007M10,TOTAL,Viajeros,Espańa,Residentes en Espańa,4804428,2007-10-01
2007M10,TOTAL,Viajeros,Espańa,No residentes en Espańa,3922421,2007-10-01
2007M10,TOTAL,Pernoctaciones,La Rioja,TOTAL,114278,2007-10-01
2007M10,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,97884,2007-10-01
2007M10,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,16394,2007-10-01
2007M10,TOTAL,Pernoctaciones,Espańa,TOTAL,30647592,2007-10-01
2007M10,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,11059986,2007-10-01
2007M10,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,19587606,2007-10-01
2007M10,HOTELES,Viajeros,La Rioja,TOTAL,53892,2007-10-01
2007M10,HOTELES,Viajeros,La Rioja,Residentes en Espańa,45932,2007-10-01
2007M10,HOTELES,Viajeros,La Rioja,No residentes en Espańa,7960,2007-10-01
2007M10,HOTELES,Viajeros,Espańa,TOTAL,7540505,2007-10-01
2007M10,HOTELES,Viajeros,Espańa,Residentes en Espańa,4224929,2007-10-01
2007M10,HOTELES,Viajeros,Espańa,No residentes en Espańa,3315576,2007-10-01
2007M10,HOTELES,Pernoctaciones,La Rioja,TOTAL,91810,2007-10-01
2007M10,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,77598,2007-10-01
2007M10,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,14212,2007-10-01
2007M10,HOTELES,Pernoctaciones,Espańa,TOTAL,23476804,2007-10-01
2007M10,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,9206010,2007-10-01
2007M10,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,14270794,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,9446,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,8376,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,1070,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,1186344,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,579499,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,606845,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,22468,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,20286,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,2182,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,7170788,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,1853976,2007-10-01
2007M10,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,5316812,2007-10-01
2007M10,Camping,Viajeros,La Rioja,TOTAL,5583,2007-10-01
2007M10,Camping,Viajeros,La Rioja,Residentes en Espańa,4768,2007-10-01
2007M10,Camping,Viajeros,La Rioja,No residentes en Espańa,815,2007-10-01
2007M10,Camping,Viajeros,Espańa,TOTAL,239627,2007-10-01
2007M10,Camping,Viajeros,Espańa,Residentes en Espańa,173625,2007-10-01
2007M10,Camping,Viajeros,Espańa,No residentes en Espańa,66002,2007-10-01
2007M10,Camping,Pernoctaciones,La Rioja,TOTAL,13506,2007-10-01
2007M10,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,12019,2007-10-01
2007M10,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,1487,2007-10-01
2007M10,Camping,Pernoctaciones,Espańa,TOTAL,1103142,2007-10-01
2007M10,Camping,Pernoctaciones,Espańa,Residentes en Espańa,448861,2007-10-01
2007M10,Camping,Pernoctaciones,Espańa,No residentes en Espańa,654281,2007-10-01
2007M10,Turismo Rural,Viajeros,La Rioja,TOTAL,3052,2007-10-01
2007M10,Turismo Rural,Viajeros,La Rioja,Residentes en Espańa,2811,2007-10-01
2007M10,Turismo Rural,Viajeros,La Rioja,No residentes en Espańa,241,2007-10-01
2007M10,Turismo Rural,Viajeros,Espańa,TOTAL,243478,2007-10-01
2007M10,Turismo Rural,Viajeros,Espańa,Residentes en Espańa,221486,2007-10-01
2007M10,Turismo Rural,Viajeros,Espańa,No residentes en Espańa,21992,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,La Rioja,TOTAL,6944,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,La Rioja,Residentes en Espańa,6283,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,La Rioja,No residentes en Espańa,661,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,Espańa,TOTAL,628529,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,Espańa,Residentes en Espańa,521327,2007-10-01
2007M10,Turismo Rural,Pernoctaciones,Espańa,No residentes en Espańa,107202,2007-10-01
2007M10,Apartamentos,Viajeros,La Rioja,TOTAL,811,2007-10-01
2007M10,Apartamentos,Viajeros,La Rioja,Residentes en Espańa,797,2007-10-01
2007M10,Apartamentos,Viajeros,La Rioja,No residentes en Espańa,14,2007-10-01
2007M10,Apartamentos,Viajeros,Espańa,TOTAL,703239,2007-10-01
2007M10,Apartamentos,Viajeros,Espańa,Residentes en Espańa,184388,2007-10-01
2007M10,Apartamentos,Viajeros,Espańa,No residentes en Espańa,518851,2007-10-01
2007M10,Apartamentos,Pernoctaciones,La Rioja,TOTAL,2018,2007-10-01
2007M10,Apartamentos,Pernoctaciones,La Rioja,Residentes en Espańa,1984,2007-10-01
2007M10,Apartamentos,Pernoctaciones,La Rioja,No residentes en Espańa,34,2007-10-01
2007M10,Apartamentos,Pernoctaciones,Espańa,TOTAL,5439117,2007-10-01
2007M10,Apartamentos,Pernoctaciones,Espańa,Residentes en Espańa,883788,2007-10-01
2007M10,Apartamentos,Pernoctaciones,Espańa,No residentes en Espańa,4555329,2007-10-01
2007M11,TOTAL,Viajeros,La Rioja,TOTAL,48538,2007-11-01
2007M11,TOTAL,Viajeros,La Rioja,Residentes en Espańa,43998,2007-11-01
2007M11,TOTAL,Viajeros,La Rioja,No residentes en Espańa,4540,2007-11-01
2007M11,TOTAL,Viajeros,Espańa,TOTAL,6369758,2007-11-01
2007M11,TOTAL,Viajeros,Espańa,Residentes en Espańa,3909473,2007-11-01
2007M11,TOTAL,Viajeros,Espańa,No residentes en Espańa,2460285,2007-11-01
2007M11,TOTAL,Pernoctaciones,La Rioja,TOTAL,94100,2007-11-01
2007M11,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,83983,2007-11-01
2007M11,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,10117,2007-11-01
2007M11,TOTAL,Pernoctaciones,Espańa,TOTAL,20589650,2007-11-01
2007M11,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8824480,2007-11-01
2007M11,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,11765170,2007-11-01
2007M11,HOTELES,Viajeros,La Rioja,TOTAL,41893,2007-11-01
2007M11,HOTELES,Viajeros,La Rioja,Residentes en Espańa,37769,2007-11-01
2007M11,HOTELES,Viajeros,La Rioja,No residentes en Espańa,4124,2007-11-01
2007M11,HOTELES,Viajeros,Espańa,TOTAL,5534255,2007-11-01
2007M11,HOTELES,Viajeros,Espańa,Residentes en Espańa,3502020,2007-11-01
2007M11,HOTELES,Viajeros,Espańa,No residentes en Espańa,2032235,2007-11-01
2007M11,HOTELES,Pernoctaciones,La Rioja,TOTAL,76365,2007-11-01
2007M11,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,66911,2007-11-01
2007M11,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,9454,2007-11-01
2007M11,HOTELES,Pernoctaciones,Espańa,TOTAL,15289839,2007-11-01
2007M11,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,7527475,2007-11-01
2007M11,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,7762364,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,6645,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,6229,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,416,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,835503,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,407453,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,428050,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,17735,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,17072,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,663,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,5299811,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,1297005,2007-11-01
2007M11,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,4002806,2007-11-01
2007M11,Camping,Viajeros,La Rioja,TOTAL,4015,2007-11-01
2007M11,Camping,Viajeros,La Rioja,Residentes en Espańa,3659,2007-11-01
2007M11,Camping,Viajeros,La Rioja,No residentes en Espańa,356,2007-11-01
2007M11,Camping,Viajeros,Espańa,TOTAL,149208,2007-11-01
2007M11,Camping,Viajeros,Espańa,Residentes en Espańa,116868,2007-11-01
2007M11,Camping,Viajeros,Espańa,No residentes en Espańa,32340,2007-11-01
2007M11,Camping,Pernoctaciones,La Rioja,TOTAL,10742,2007-11-01
2007M11,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,10245,2007-11-01
2007M11,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,497,2007-11-01
2007M11,Camping,Pernoctaciones,Espańa,TOTAL,803165,2007-11-01
2007M11,Camping,Pernoctaciones,Espańa,Residentes en Espańa,286926,2007-11-01
2007M11,Camping,Pernoctaciones,Espańa,No residentes en Espańa,516239,2007-11-01
2007M11,Turismo Rural,Viajeros,La Rioja,TOTAL,1902,2007-11-01
2007M11,Turismo Rural,Viajeros,La Rioja,Residentes en Espańa,1862,2007-11-01
2007M11,Turismo Rural,Viajeros,La Rioja,No residentes en Espańa,40,2007-11-01
2007M11,Turismo Rural,Viajeros,Espańa,TOTAL,185088,2007-11-01
2007M11,Turismo Rural,Viajeros,Espańa,Residentes en Espańa,175376,2007-11-01
2007M11,Turismo Rural,Viajeros,Espańa,No residentes en Espańa,9712,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,La Rioja,TOTAL,5101,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,La Rioja,Residentes en Espańa,4981,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,La Rioja,No residentes en Espańa,120,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,Espańa,TOTAL,486108,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,Espańa,Residentes en Espańa,428421,2007-11-01
2007M11,Turismo Rural,Pernoctaciones,Espańa,No residentes en Espańa,57687,2007-11-01
2007M11,Apartamentos,Viajeros,La Rioja,TOTAL,728,2007-11-01
2007M11,Apartamentos,Viajeros,La Rioja,Residentes en Espańa,708,2007-11-01
2007M11,Apartamentos,Viajeros,La Rioja,No residentes en Espańa,20,2007-11-01
2007M11,Apartamentos,Viajeros,Espańa,TOTAL,501207,2007-11-01
2007M11,Apartamentos,Viajeros,Espańa,Residentes en Espańa,115209,2007-11-01
2007M11,Apartamentos,Viajeros,Espańa,No residentes en Espańa,385998,2007-11-01
2007M11,Apartamentos,Pernoctaciones,La Rioja,TOTAL,1892,2007-11-01
2007M11,Apartamentos,Pernoctaciones,La Rioja,Residentes en Espańa,1846,2007-11-01
2007M11,Apartamentos,Pernoctaciones,La Rioja,No residentes en Espańa,46,2007-11-01
