Periodo,Tipo de establecimiento,CCAA,DATA,Fecha
2001M02,Camping,Espańa,70.30,2001-02-01
2001M02,Turismo Rural,La Rioja,17.20,2001-02-01
2001M02,Turismo Rural,Espańa,22.20,2001-02-01
2001M02,Apartamentos,Espańa,90.40,2001-02-01
2001M03,Hoteles,La Rioja,18.60,2001-03-01
2001M03,Hoteles,Espańa,33.50,2001-03-01
2001M03,Camping,La Rioja,16.80,2001-03-01
2001M03,Camping,Espańa,50.10,2001-03-01
2001M03,Turismo Rural,La Rioja,18.10,2001-03-01
2001M03,Turismo Rural,Espańa,21.30,2001-03-01
2001M03,Apartamentos,Espańa,88.70,2001-03-01
2001M04,Hoteles,La Rioja,19.40,2001-04-01
2001M04,Hoteles,Espańa,33.60,2001-04-01
2001M04,Camping,La Rioja,40.80,2001-04-01
2001M04,Camping,Espańa,3.60,2001-04-01
2001M04,Turismo Rural,La Rioja,28.10,2001-04-01
2001M04,Turismo Rural,Espańa,29.70,2001-04-01
2001M04,Apartamentos,Espańa,0.80,2001-04-01
2001M05,Hoteles,La Rioja,17.20,2001-05-01
2001M05,Hoteles,Espańa,37.10,2001-05-01
2001M05,Camping,La Rioja,15.70,2001-05-01
2001M05,Camping,Espańa,36.90,2001-05-01
2001M05,Turismo Rural,La Rioja,19.10,2001-05-01
2001M05,Turismo Rural,Espańa,22.70,2001-05-01
2001M05,Apartamentos,Espańa,92.10,2001-05-01
2001M06,Hoteles,La Rioja,18.40,2001-06-01
2001M06,Hoteles,Espańa,40.40,2001-06-01
2001M06,Camping,La Rioja,20.10,2001-06-01
2001M06,Camping,Espańa,37.10,2001-06-01
2001M06,Turismo Rural,La Rioja,18.50,2001-06-01
2001M06,Turismo Rural,Espańa,23.20,2001-06-01
2001M06,Apartamentos,Espańa,93.10,2001-06-01
2001M07,Hoteles,La Rioja,17.90,2001-07-01
2001M07,Hoteles,Espańa,44.70,2001-07-01
2001M07,Camping,La Rioja,38.40,2001-07-01
2001M07,Camping,Espańa,51.60,2001-07-01
2001M07,Turismo Rural,La Rioja,23.70,2001-07-01
2001M07,Turismo Rural,Espańa,37.20,2001-07-01
2001M07,Apartamentos,Espańa,105.60,2001-07-01
2001M08,Hoteles,La Rioja,0.20,2001-08-01
2001M08,Hoteles,Espańa,44.60,2001-08-01
2001M08,Camping,La Rioja,63.30,2001-08-01
2001M08,Camping,Espańa,58.60,2001-08-01
2001M08,Turismo Rural,La Rioja,39.40,2001-08-01
2001M08,Turismo Rural,Espańa,47.70,2001-08-01
2001M08,Apartamentos,Espańa,111.10,2001-08-01
2001M09,Hoteles,La Rioja,17.90,2001-09-01
2001M09,Hoteles,Espańa,42.20,2001-09-01
2001M09,Camping,La Rioja,26.10,2001-09-01
2001M09,Camping,Espańa,46.90,2001-09-01
2001M09,Turismo Rural,La Rioja,17.50,2001-09-01
2001M09,Turismo Rural,Espańa,29.50,2001-09-01
2001M09,Apartamentos,Espańa,98.20,2001-09-01
2001M10,Hoteles,La Rioja,17.90,2001-10-01
2001M10,Hoteles,Espańa,37.70,2001-10-01
2001M10,Camping,La Rioja,2.40,2001-10-01
2001M10,Camping,Espańa,44.20,2001-10-01
2001M10,Turismo Rural,La Rioja,20.50,2001-10-01
2001M10,Turismo Rural,Espańa,25.10,2001-10-01
2001M10,Apartamentos,Espańa,9.40,2001-10-01
2001M11,Hoteles,La Rioja,18.80,2001-11-01
2001M11,Hoteles,Espańa,32.60,2001-11-01
2001M11,Camping,La Rioja,28.60,2001-11-01
2001M11,Camping,Espańa,62.40,2001-11-01
2001M11,Turismo Rural,La Rioja,23.90,2001-11-01
2001M11,Turismo Rural,Espańa,25.60,2001-11-01
2001M11,Apartamentos,Espańa,88.50,2001-11-01
2001M12,Hoteles,La Rioja,19.40,2001-12-01
2001M12,Hoteles,Espańa,31.30,2001-12-01
2001M12,Camping,La Rioja,29.60,2001-12-01
2001M12,Camping,Espańa,72.30,2001-12-01
2001M12,Turismo Rural,La Rioja,29.10,2001-12-01
2001M12,Turismo Rural,Espańa,28.10,2001-12-01
2001M12,Apartamentos,Espańa,87.90,2001-12-01
2002M01,Hoteles,La Rioja,18.10,2002-01-01
2002M01,Hoteles,Espańa,34.10,2002-01-01
2002M01,Camping,La Rioja,15.50,2002-01-01
2002M01,Camping,Espańa,85.10,2002-01-01
2002M01,Turismo Rural,La Rioja,20.60,2002-01-01
2002M01,Turismo Rural,Espańa,24.80,2002-01-01
2002M01,Apartamentos,La Rioja,27.70,2002-01-01
2002M01,Apartamentos,Espańa,89.80,2002-01-01
2002M02,Hoteles,La Rioja,18.50,2002-02-01
2002M02,Hoteles,Espańa,32.80,2002-02-01
2002M02,Camping,La Rioja,16.30,2002-02-01
2002M02,Camping,Espańa,7.10,2002-02-01
2002M02,Turismo Rural,La Rioja,18.90,2002-02-01
2002M02,Turismo Rural,Espańa,21.70,2002-02-01
2002M02,Apartamentos,La Rioja,17.80,2002-02-01
2002M02,Apartamentos,Espańa,81.80,2002-02-01
2002M03,Hoteles,La Rioja,19.10,2002-03-01
2002M03,Hoteles,Espańa,33.10,2002-03-01
2002M03,Camping,La Rioja,29.10,2002-03-01
2002M03,Camping,Espańa,45.50,2002-03-01
2002M03,Turismo Rural,La Rioja,24.10,2002-03-01
2002M03,Turismo Rural,Espańa,28.80,2002-03-01
2002M03,Apartamentos,La Rioja,24.70,2002-03-01
2002M03,Apartamentos,Espańa,80.70,2002-03-01
2002M04,Hoteles,La Rioja,18.10,2002-04-01
2002M04,Hoteles,Espańa,32.50,2002-04-01
2002M04,Camping,La Rioja,23.30,2002-04-01
2002M04,Camping,Espańa,37.20,2002-04-01
2002M04,Turismo Rural,La Rioja,20.40,2002-04-01
