Periodo,Ubicación establecimiento,Grado de ocupación,DATA
2021M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,33.53
2021M12,Resto,Grado de ocupación por plazas,23.55
2021M12,Resto,Grado de ocupacion por plazas fin de semana,37.46
2022M01,TOTAL,Grado de ocupación por plazas,7.43
2022M01,TOTAL,Grado de ocupacion por plazas fin de semana,16.62
2022M01,Logrońo y Alrededores,Grado de ocupación por plazas,9.29
2022M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,18.76
2022M01,Resto,Grado de ocupación por plazas,7.19
2022M01,Resto,Grado de ocupacion por plazas fin de semana,16.33
2022M02,TOTAL,Grado de ocupación por plazas,10.07
2022M02,TOTAL,Grado de ocupacion por plazas fin de semana,28
2022M02,Logrońo y Alrededores,Grado de ocupación por plazas,16.14
2022M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,47.85
2022M02,Resto,Grado de ocupación por plazas,9.33
2022M02,Resto,Grado de ocupacion por plazas fin de semana,25.54
2022M03,TOTAL,Grado de ocupación por plazas,11.22
2022M03,TOTAL,Grado de ocupacion por plazas fin de semana,33.17
2022M03,Logrońo y Alrededores,Grado de ocupación por plazas,15.91
2022M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,53.16
2022M03,Resto,Grado de ocupación por plazas,10.79
2022M03,Resto,Grado de ocupacion por plazas fin de semana,31.23
2022M04,TOTAL,Grado de ocupación por plazas,23.32
2022M04,TOTAL,Grado de ocupacion por plazas fin de semana,48.1
2022M04,Logrońo y Alrededores,Grado de ocupación por plazas,29.03
2022M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,73.7
2022M04,Resto,Grado de ocupación por plazas,22.65
2022M04,Resto,Grado de ocupacion por plazas fin de semana,45.06
2022M05,TOTAL,Grado de ocupación por plazas,17.74
2022M05,TOTAL,Grado de ocupacion por plazas fin de semana,41.03
2022M05,Logrońo y Alrededores,Grado de ocupación por plazas,25.65
2022M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,76.25
2022M05,Resto,Grado de ocupación por plazas,16.92
2022M05,Resto,Grado de ocupacion por plazas fin de semana,37.35
2022M06,TOTAL,Grado de ocupación por plazas,19.6
2022M06,TOTAL,Grado de ocupacion por plazas fin de semana,44.52
2022M06,Logrońo y Alrededores,Grado de ocupación por plazas,21.45
2022M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,47.48
2022M06,Resto,Grado de ocupación por plazas,19.39
2022M06,Resto,Grado de ocupacion por plazas fin de semana,44.18
2022M07,TOTAL,Grado de ocupación por plazas,23.77
2022M07,TOTAL,Grado de ocupacion por plazas fin de semana,40.92
2022M07,Logrońo y Alrededores,Grado de ocupación por plazas,15.62
2022M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,34.54
2022M07,Resto,Grado de ocupación por plazas,24.7
2022M07,Resto,Grado de ocupacion por plazas fin de semana,41.65
2022M08,TOTAL,Grado de ocupación por plazas,31.8
2022M08,TOTAL,Grado de ocupacion por plazas fin de semana,42.99
2022M08,Logrońo y Alrededores,Grado de ocupación por plazas,40.4
2022M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,63.57
2022M08,Resto,Grado de ocupación por plazas,30.87
2022M08,Resto,Grado de ocupacion por plazas fin de semana,40.7
2022M09,TOTAL,Grado de ocupación por plazas,21.8
2022M09,TOTAL,Grado de ocupacion por plazas fin de semana,42.53
2022M09,Logrońo y Alrededores,Grado de ocupación por plazas,22.49
2022M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,59.95
2022M09,Resto,Grado de ocupación por plazas,21.71
2022M09,Resto,Grado de ocupacion por plazas fin de semana,40.52
2022M10,TOTAL,Grado de ocupación por plazas,21.08
2022M10,TOTAL,Grado de ocupacion por plazas fin de semana,43.41
2022M10,Logrońo y Alrededores,Grado de ocupación por plazas,27.65
2022M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,71.66
2022M10,Resto,Grado de ocupación por plazas,20.53
2022M10,Resto,Grado de ocupacion por plazas fin de semana,40.9
2022M11,TOTAL,Grado de ocupación por plazas,14.46
2022M11,TOTAL,Grado de ocupacion por plazas fin de semana,36.33
2022M11,Logrońo y Alrededores,Grado de ocupación por plazas,13.06
2022M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,46.99
2022M11,Resto,Grado de ocupación por plazas,14.66
2022M11,Resto,Grado de ocupacion por plazas fin de semana,35.46
2022M12,TOTAL,Grado de ocupación por plazas,22.08
2022M12,TOTAL,Grado de ocupacion por plazas fin de semana,39.91
2022M12,Logrońo y Alrededores,Grado de ocupación por plazas,32.46
2022M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,73.97
2022M12,Resto,Grado de ocupación por plazas,21.06
2022M12,Resto,Grado de ocupacion por plazas fin de semana,36.45
2023M01,TOTAL,Grado de ocupación por plazas,7.98
2023M01,TOTAL,Grado de ocupacion por plazas fin de semana,18.06
2023M01,Logrońo y Alrededores,Grado de ocupación por plazas,7.04
2023M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,20.35
2023M01,Resto,Grado de ocupación por plazas,8.1
2023M01,Resto,Grado de ocupacion por plazas fin de semana,17.79
2023M02,TOTAL,Grado de ocupación por plazas,12.43
2023M02,TOTAL,Grado de ocupacion por plazas fin de semana,35.36
2023M02,Logrońo y Alrededores,Grado de ocupación por plazas,16.64
2023M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,55.39
2023M02,Resto,Grado de ocupación por plazas,11.94
2023M02,Resto,Grado de ocupacion por plazas fin de semana,32.96
2023M03,TOTAL,Grado de ocupación por plazas,12.73
2023M03,TOTAL,Grado de ocupacion por plazas fin de semana,33.75
2023M03,Logrońo y Alrededores,Grado de ocupación por plazas,13.33
2023M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,41.5
2023M03,Resto,Grado de ocupación por plazas,12.76
2023M03,Resto,Grado de ocupacion por plazas fin de semana,33.25
2023M04,TOTAL,Grado de ocupación por plazas,24.02
2023M04,TOTAL,Grado de ocupacion por plazas fin de semana,44.03
2023M04,Logrońo y Alrededores,Grado de ocupación por plazas,25.99
2023M04,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,56.42
2023M04,Resto,Grado de ocupación por plazas,23.84
2023M04,Resto,Grado de ocupacion por plazas fin de semana,42.97
2023M05,TOTAL,Grado de ocupación por plazas,16.37
2023M05,TOTAL,Grado de ocupacion por plazas fin de semana,42.7
2023M05,Logrońo y Alrededores,Grado de ocupación por plazas,20.38
2023M05,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,63.09
2023M05,Resto,Grado de ocupación por plazas,16.01
2023M05,Resto,Grado de ocupacion por plazas fin de semana,40.91
2023M06,TOTAL,Grado de ocupación por plazas,16.78
2023M06,TOTAL,Grado de ocupacion por plazas fin de semana,37.4
2023M06,Logrońo y Alrededores,Grado de ocupación por plazas,22.33
2023M06,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,64.26
2023M06,Resto,Grado de ocupación por plazas,16.34
2023M06,Resto,Grado de ocupacion por plazas fin de semana,35.25
2023M07,TOTAL,Grado de ocupación por plazas,21.76
2023M07,TOTAL,Grado de ocupacion por plazas fin de semana,32.48
2023M07,Logrońo y Alrededores,Grado de ocupación por plazas,24.65
2023M07,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,48.99
2023M07,Resto,Grado de ocupación por plazas,21.43
2023M07,Resto,Grado de ocupacion por plazas fin de semana,31.03
2023M08,TOTAL,Grado de ocupación por plazas,29.96
2023M08,TOTAL,Grado de ocupacion por plazas fin de semana,42.27
2023M08,Logrońo y Alrededores,Grado de ocupación por plazas,24.45
2023M08,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,55.99
2023M08,Resto,Grado de ocupación por plazas,30.41
2023M08,Resto,Grado de ocupacion por plazas fin de semana,40.87
2023M09,TOTAL,Grado de ocupación por plazas,20.34
2023M09,TOTAL,Grado de ocupacion por plazas fin de semana,36.09
2023M09,Logrońo y Alrededores,Grado de ocupación por plazas,28.94
2023M09,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,61.59
2023M09,Resto,Grado de ocupación por plazas,19.54
2023M09,Resto,Grado de ocupacion por plazas fin de semana,33.79
2023M10,TOTAL,Grado de ocupación por plazas,22.2
2023M10,TOTAL,Grado de ocupacion por plazas fin de semana,50.89
2023M10,Logrońo y Alrededores,Grado de ocupación por plazas,24.1
2023M10,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,78.79
2023M10,Resto,Grado de ocupación por plazas,22
2023M10,Resto,Grado de ocupacion por plazas fin de semana,48.46
2023M11,TOTAL,Grado de ocupación por plazas,14.3
2023M11,TOTAL,Grado de ocupacion por plazas fin de semana,44.4
2023M11,Logrońo y Alrededores,Grado de ocupación por plazas,12.78
2023M11,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,44.3
2023M11,Resto,Grado de ocupación por plazas,14.47
2023M11,Resto,Grado de ocupacion por plazas fin de semana,44.42
2023M12,TOTAL,Grado de ocupación por plazas,24.52
2023M12,TOTAL,Grado de ocupacion por plazas fin de semana,38.5
2023M12,Logrońo y Alrededores,Grado de ocupación por plazas,13.71
2023M12,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,19.16
2023M12,Resto,Grado de ocupación por plazas,25.69
2023M12,Resto,Grado de ocupacion por plazas fin de semana,40.65
2024M01,TOTAL,Grado de ocupación por plazas,5.54
2024M01,TOTAL,Grado de ocupacion por plazas fin de semana,15.12
2024M01,Logrońo y Alrededores,Grado de ocupación por plazas,5.83
2024M01,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,22.58
2024M01,Resto,Grado de ocupación por plazas,5.52
2024M01,Resto,Grado de ocupacion por plazas fin de semana,14.28
2024M02,TOTAL,Grado de ocupación por plazas,9.02
2024M02,TOTAL,Grado de ocupacion por plazas fin de semana,23.83
2024M02,Logrońo y Alrededores,Grado de ocupación por plazas,1.95
2024M02,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,7.08
2024M02,Resto,Grado de ocupación por plazas,9.73
2024M02,Resto,Grado de ocupacion por plazas fin de semana,25.51
2024M03,TOTAL,Grado de ocupación por plazas,18.98
2024M03,TOTAL,Grado de ocupacion por plazas fin de semana,40.06
2024M03,Logrońo y Alrededores,Grado de ocupación por plazas,11.74
2024M03,Logrońo y Alrededores,Grado de ocupacion por plazas fin de semana,24.27
2024M03,Resto,Grado de ocupación por plazas,19.71
2024M03,Resto,Grado de ocupacion por plazas fin de semana,41.63
