Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2010,181.837
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2011,178.516
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2012,178.291
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2013,184.301
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal no remunerado,2014,212.441
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2008,900.736
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2009,1063.776
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2010,1100.733
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2011,1234.15
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2012,1053.043
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2013,1032.009
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2014,1073.552
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2008,750.595
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2009,876.224
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2010,918.896
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2011,1055.635
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2012,874.752
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2013,847.708
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2014,861.114
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2008,140.267
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2009,85.913
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2010,96.652
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2011,92.943
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2012,95.344
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2013,81.578
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2014,65.844
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2008,567.542
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2009,432.462
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2010,402.8
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2011,418.381
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2012,362.267
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2013,287.317
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2014,253.325
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2008,427.277
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2009,346.549
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2010,306.147
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2011,325.438
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2012,266.924
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2013,205.739
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2014,187.481
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2008,9985.309
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2009,9912.385
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2010,9484.433
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2011,8933.892
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2012,8822.681
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2013,9242.406
RESTO DE SECTOR SERVICIOS,Personal no remunerado,2014,9064.656
RESTO DE SECTOR SERVICIOS,Personal ocupado,2008,38511.251
RESTO DE SECTOR SERVICIOS,Personal ocupado,2009,34907.845
RESTO DE SECTOR SERVICIOS,Personal ocupado,2010,34877.421
RESTO DE SECTOR SERVICIOS,Personal ocupado,2011,34651.529
