Grupo actividad sector turístico,Indicador,Periodo,DATA
56 Servicios de comidas y bebidas,Sueldos y salarios,2012,63917.79
56 Servicios de comidas y bebidas,Sueldos y salarios,2013,65883.204
56 Servicios de comidas y bebidas,Sueldos y salarios,2014,62329.379
56 Servicios de comidas y bebidas,Productividad por persona,2008,17289.047
56 Servicios de comidas y bebidas,Productividad por persona,2009,15882.699
56 Servicios de comidas y bebidas,Productividad por persona,2010,15689.718
56 Servicios de comidas y bebidas,Productividad por persona,2011,13617.897
56 Servicios de comidas y bebidas,Productividad por persona,2012,13067.301
56 Servicios de comidas y bebidas,Productividad por persona,2013,12652.531
56 Servicios de comidas y bebidas,Productividad por persona,2014,11991.679
56 Servicios de comidas y bebidas,Salario medio,2008,12969.168
56 Servicios de comidas y bebidas,Salario medio,2009,12084.203
56 Servicios de comidas y bebidas,Salario medio,2010,11562.601
56 Servicios de comidas y bebidas,Salario medio,2011,10850.097
56 Servicios de comidas y bebidas,Salario medio,2012,11366.907
56 Servicios de comidas y bebidas,Salario medio,2013,10101.692
56 Servicios de comidas y bebidas,Salario medio,2014,9922.009
56 Servicios de comidas y bebidas,Gastos de personal,2008,89862.969
56 Servicios de comidas y bebidas,Gastos de personal,2009,72156.118
56 Servicios de comidas y bebidas,Gastos de personal,2010,71689.385
56 Servicios de comidas y bebidas,Gastos de personal,2011,71916.653
56 Servicios de comidas y bebidas,Gastos de personal,2012,82202.416
56 Servicios de comidas y bebidas,Gastos de personal,2013,84204.047
56 Servicios de comidas y bebidas,Gastos de personal,2014,78945.379
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2008,19881.256
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2009,25574.654
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2010,23838.512
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2011,27429.271
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2012,22836.558
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2013,22461.508
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Sueldos y salarios,2014,21406.159
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2008,63277.42
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2009,66186.541
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2010,61940.293
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2011,57548.246
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2012,71195.938
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2013,67304.889
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2014,55751.24
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2008,26487.328
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2009,29187.347
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2010,25942.557
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2011,25983.67
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2012,26106.323
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2013,26496.751
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2014,24858.682
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2008,25956.676
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2009,32959.492
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2010,31156.299
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2011,36126.193
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2012,35113.28
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2013,28987.44
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gastos de personal,2014,28515.639
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2008,8882.492
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Sueldos y salarios,2009,6525.579
