Grupo actividad sector turístico,Indicador,Periodo,DATA
SECTOR TURÍSTICOS,Tasa de inversión,2018,17.061
SECTOR TURÍSTICOS,Tasa de inversión,2019,12.758
SECTOR TURÍSTICOS,Tasa de inversión,2020,13.425
SECTOR TURÍSTICOS,Productividad por persona,2015,23293.078
SECTOR TURÍSTICOS,Productividad por persona,2016,21176.671
SECTOR TURÍSTICOS,Productividad por persona,2017,21099.022
SECTOR TURÍSTICOS,Productividad por persona,2018,24110.708
SECTOR TURÍSTICOS,Productividad por persona,2019,26935.01
SECTOR TURÍSTICOS,Productividad por persona,2020,14845.232
SECTOR TURÍSTICOS,Tasa de gastos de personal,2015,60.773
SECTOR TURÍSTICOS,Tasa de gastos de personal,2016,63.264
SECTOR TURÍSTICOS,Tasa de gastos de personal,2017,63.762
SECTOR TURÍSTICOS,Tasa de gastos de personal,2018,63.013
SECTOR TURÍSTICOS,Tasa de gastos de personal,2019,63.077
SECTOR TURÍSTICOS,Tasa de gastos de personal,2020,83.064
SECTOR TURÍSTICOS,Sueldos y salarios,2015,96730.2
SECTOR TURÍSTICOS,Sueldos y salarios,2016,113906.918
SECTOR TURÍSTICOS,Sueldos y salarios,2017,114497.766
SECTOR TURÍSTICOS,Sueldos y salarios,2018,122532.444
SECTOR TURÍSTICOS,Sueldos y salarios,2019,137285.546
SECTOR TURÍSTICOS,Sueldos y salarios,2020,93200.154
SECTOR TURÍSTICOS,Tasa de remunerados,2015,73.395
SECTOR TURÍSTICOS,Tasa de remunerados,2016,72.46
SECTOR TURÍSTICOS,Tasa de remunerados,2017,77.079
SECTOR TURÍSTICOS,Tasa de remunerados,2018,77.995
SECTOR TURÍSTICOS,Tasa de remunerados,2019,79.601
SECTOR TURÍSTICOS,Tasa de remunerados,2020,76.596
55 Servicios de alojamiento,Salario medio,2015,19861.587
55 Servicios de alojamiento,Salario medio,2016,19351.114
55 Servicios de alojamiento,Salario medio,2017,16400.885
55 Servicios de alojamiento,Salario medio,2018,18850.071
55 Servicios de alojamiento,Salario medio,2019,19757.088
55 Servicios de alojamiento,Salario medio,2020,13728.637
55 Servicios de alojamiento,Gasto de personal,2015,25421.792
55 Servicios de alojamiento,Gasto de personal,2016,24638.834
55 Servicios de alojamiento,Gasto de personal,2017,21193.782
55 Servicios de alojamiento,Gasto de personal,2018,24011.794
55 Servicios de alojamiento,Gasto de personal,2019,25082.143
55 Servicios de alojamiento,Gasto de personal,2020,17929.119
55 Servicios de alojamiento,Tasa de valor ańadido,2015,52.026
55 Servicios de alojamiento,Tasa de valor ańadido,2016,52.622
55 Servicios de alojamiento,Tasa de valor ańadido,2017,52.415
55 Servicios de alojamiento,Tasa de valor ańadido,2018,49.885
55 Servicios de alojamiento,Tasa de valor ańadido,2019,49.617
55 Servicios de alojamiento,Tasa de valor ańadido,2020,32.998
55 Servicios de alojamiento,Tasa bruta de explotación,2015,11.106
55 Servicios de alojamiento,Tasa bruta de explotación,2016,11.307
55 Servicios de alojamiento,Tasa bruta de explotación,2017,14.587
55 Servicios de alojamiento,Tasa bruta de explotación,2018,11.708
55 Servicios de alojamiento,Tasa bruta de explotación,2019,15.533
55 Servicios de alojamiento,Tasa bruta de explotación,2020,-17.515
55 Servicios de alojamiento,Tasa de inversión,2015,8.204
55 Servicios de alojamiento,Tasa de inversión,2016,16.089
55 Servicios de alojamiento,Tasa de inversión,2017,31.833
55 Servicios de alojamiento,Tasa de inversión,2018,48.242
55 Servicios de alojamiento,Tasa de inversión,2019,17.091
55 Servicios de alojamiento,Tasa de inversión,2020,16.831
55 Servicios de alojamiento,Productividad por persona,2015,26767.244
55 Servicios de alojamiento,Productividad por persona,2016,27175.806
55 Servicios de alojamiento,Productividad por persona,2017,24701.408
55 Servicios de alojamiento,Productividad por persona,2018,28150.128
55 Servicios de alojamiento,Productividad por persona,2019,31582.634
55 Servicios de alojamiento,Productividad por persona,2020,9851.247
55 Servicios de alojamiento,Tasa de gastos de personal,2015,77.565
55 Servicios de alojamiento,Tasa de gastos de personal,2016,77.657
55 Servicios de alojamiento,Tasa de gastos de personal,2017,71.409
55 Servicios de alojamiento,Tasa de gastos de personal,2018,75.891
55 Servicios de alojamiento,Tasa de gastos de personal,2019,68.11
55 Servicios de alojamiento,Tasa de gastos de personal,2020,156.569
55 Servicios de alojamiento,Sueldos y salarios,2015,14818.154
55 Servicios de alojamiento,Sueldos y salarios,2016,17861.581
55 Servicios de alojamiento,Sueldos y salarios,2017,14581.42
55 Servicios de alojamiento,Sueldos y salarios,2018,18261.534
55 Servicios de alojamiento,Sueldos y salarios,2019,18807.898
55 Servicios de alojamiento,Sueldos y salarios,2020,11472.775
55 Servicios de alojamiento,Tasa de remunerados,2015,81.67
55 Servicios de alojamiento,Tasa de remunerados,2016,85.653
55 Servicios de alojamiento,Tasa de remunerados,2017,83.228
55 Servicios de alojamiento,Tasa de remunerados,2018,88.97
55 Servicios de alojamiento,Tasa de remunerados,2019,85.762
55 Servicios de alojamiento,Tasa de remunerados,2020,86.028
56 Servicios de comidas y bebidas,Salario medio,2015,11914.987
56 Servicios de comidas y bebidas,Salario medio,2016,11827.504
56 Servicios de comidas y bebidas,Salario medio,2017,11540.44
56 Servicios de comidas y bebidas,Salario medio,2018,13003.506
56 Servicios de comidas y bebidas,Salario medio,2019,14503.254
56 Servicios de comidas y bebidas,Salario medio,2020,9946.146
56 Servicios de comidas y bebidas,Gasto de personal,2015,15355.38
56 Servicios de comidas y bebidas,Gasto de personal,2016,15091.538
56 Servicios de comidas y bebidas,Gasto de personal,2017,14569.48
56 Servicios de comidas y bebidas,Gasto de personal,2018,16448.347
56 Servicios de comidas y bebidas,Gasto de personal,2019,18463.653
56 Servicios de comidas y bebidas,Gasto de personal,2020,12719.123
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2015,39.719
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2016,41.402
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2017,39.389
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2018,38.908
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2019,42.777
56 Servicios de comidas y bebidas,Tasa de valor ańadido,2020,41.477
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2015,11.232
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2016,10.235
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2017,9.116
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2018,8.63
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2019,9.664
56 Servicios de comidas y bebidas,Tasa bruta de explotación,2020,1.006
56 Servicios de comidas y bebidas,Tasa de inversión,2015,5.185
56 Servicios de comidas y bebidas,Tasa de inversión,2016,4.403
56 Servicios de comidas y bebidas,Tasa de inversión,2017,3.807
56 Servicios de comidas y bebidas,Tasa de inversión,2018,8.717
56 Servicios de comidas y bebidas,Tasa de inversión,2019,11.249
56 Servicios de comidas y bebidas,Tasa de inversión,2020,13.291
56 Servicios de comidas y bebidas,Productividad por persona,2015,15313.591
56 Servicios de comidas y bebidas,Productividad por persona,2016,14165.735
56 Servicios de comidas y bebidas,Productividad por persona,2017,14571.419
56 Servicios de comidas y bebidas,Productividad por persona,2018,16247.394
56 Servicios de comidas y bebidas,Productividad por persona,2019,18756.236
56 Servicios de comidas y bebidas,Productividad por persona,2020,9794.41
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2015,71.758
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2016,74.684
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2017,76.577
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2018,77.41
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2019,77.171
56 Servicios de comidas y bebidas,Tasa de gastos de personal,2020,97.352
56 Servicios de comidas y bebidas,Sueldos y salarios,2015,56726.755
56 Servicios de comidas y bebidas,Sueldos y salarios,2016,69477.263
56 Servicios de comidas y bebidas,Sueldos y salarios,2017,73544.93
56 Servicios de comidas y bebidas,Sueldos y salarios,2018,76855.531
56 Servicios de comidas y bebidas,Sueldos y salarios,2019,88137.423
56 Servicios de comidas y bebidas,Sueldos y salarios,2020,53902.172
56 Servicios de comidas y bebidas,Tasa de remunerados,2015,71.562
56 Servicios de comidas y bebidas,Tasa de remunerados,2016,70.103
56 Servicios de comidas y bebidas,Tasa de remunerados,2017,76.587
56 Servicios de comidas y bebidas,Tasa de remunerados,2018,76.464
56 Servicios de comidas y bebidas,Tasa de remunerados,2019,78.394
56 Servicios de comidas y bebidas,Tasa de remunerados,2020,74.966
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2015,27454.362
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2016,24809.339
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2017,24745.349
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2018,24895.17
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2019,25481.836
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Salario medio,2020,23401.139
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2015,35498.849
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2016,32394.422
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2017,31573.41
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2018,32394.466
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2019,33293.739
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Gasto de personal,2020,30730.976
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2015,72.168
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2016,69.177
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2017,68.371
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2018,74.732
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2019,69.876
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de valor ańadido,2020,77.153
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2015,43.767
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2016,40.837
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2017,35.61
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2018,43.651
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2019,38.477
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa bruta de explotación,2020,23.09
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2015,33.932
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2016,26.179
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2017,18.042
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2018,12.22
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2019,12.114
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de inversión,2020,8.904
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2015,73157.66
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2016,65940.344
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2017,65014.433
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2018,72946.334
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2019,72934.581
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Productividad por persona,2020,44721.613
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2015,38.676
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2016,38.254
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2017,40.194
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2018,37.056
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Tasa de gastos de personal,2019,39.086
