Periodo,Municipio,Indicador,Categoría,DATA
2016-01-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-01-01,Haro,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-01-01,Haro,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),TOTAL,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),TOTAL,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-01-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),TOTAL,58.56
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,78.94
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,55.04
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,41.69
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,41.52
2016-02-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,29.47
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),TOTAL,26.18
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,45.16
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,29.5
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,8.32
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,6.94
2016-02-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),1 estrella de plata,9.51
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),TOTAL,53.75
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-02-01,Calahorra,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),TOTAL,24.81
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-02-01,Calahorra,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),TOTAL,92.55
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-02-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),TOTAL,15.58
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-02-01,Ezcaray,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),TOTAL,53.38
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,63.04
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,52.56
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-02-01,Logrońo,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,26.32
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),TOTAL,31.92
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,39.4
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,34.37
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-02-01,Logrońo,Ingreso por habitación disponible (RevPAR),1 estrella de plata,13.12
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),TOTAL,57.97
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-02-01,Haro,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
