Grupo actividad sector turístico,Indicador,Periodo,DATA
56 Servicios de comidas y bebidas,Número de locales,2016,1895.0
56 Servicios de comidas y bebidas,Número de locales,2017,1917.0
56 Servicios de comidas y bebidas,Número de locales,2018,1898.0
56 Servicios de comidas y bebidas,Número de locales,2019,1858.0
56 Servicios de comidas y bebidas,Número de locales,2020,1906.0
56 Servicios de comidas y bebidas,Número de locales,2021,1843.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2008,246.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2009,244.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2010,241.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2011,243.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2012,235.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2013,233.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2014,225.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2015,231.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2016,237.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2017,232.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2018,227.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2019,218.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2020,227.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de empresas,2021,225.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2008,1901.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2009,1901.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2010,279.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2011,281.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2012,276.0
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Número de locales,2013,278.0
