Periodo,Tarifa,Variable,DATA
2017M11,Normal,Índice,135.27
2017M11,Normal,Var (%) anual,3.19
2017M11,Fin de semana,Índice,134.18
2017M11,Fin de semana,Var (%) anual,3.03
2017M12,TOTAL,Índice,132.25
2017M12,TOTAL,Var (%) anual,2.7
2017M12,Normal,Índice,128.2
2017M12,Normal,Var (%) anual,2.69
2017M12,Fin de semana,Índice,132.55
2017M12,Fin de semana,Var (%) anual,2.71
2018M01,TOTAL,Índice,156.68
2018M01,TOTAL,Var (%) anual,3.22
2018M01,Normal,Índice,150.61
2018M01,Normal,Var (%) anual,1.43
2018M01,Fin de semana,Índice,157.09
2018M01,Fin de semana,Var (%) anual,4.01
2018M02,TOTAL,Índice,136.57
2018M02,TOTAL,Var (%) anual,3.1
2018M02,Normal,Índice,139.67
2018M02,Normal,Var (%) anual,3.74
2018M02,Fin de semana,Índice,128.33
2018M02,Fin de semana,Var (%) anual,3.07
2018M03,TOTAL,Índice,147.59
2018M03,TOTAL,Var (%) anual,3.88
2018M03,Normal,Índice,132.16
2018M03,Normal,Var (%) anual,2.71
2018M03,Fin de semana,Índice,153.11
2018M03,Fin de semana,Var (%) anual,4.04
2018M04,TOTAL,Índice,141.67
2018M04,TOTAL,Var (%) anual,2.78
2018M04,Normal,Índice,134.77
2018M04,Normal,Var (%) anual,2.02
2018M04,Fin de semana,Índice,141.42
2018M04,Fin de semana,Var (%) anual,3.27
2018M05,TOTAL,Índice,127.99
2018M05,TOTAL,Var (%) anual,2.47
2018M05,Normal,Índice,138.43
2018M05,Normal,Var (%) anual,1.63
2018M05,Fin de semana,Índice,128.03
2018M05,Fin de semana,Var (%) anual,2.66
2018M06,TOTAL,Índice,124.24
2018M06,TOTAL,Var (%) anual,-0.95
2018M06,Normal,Índice,137.21
2018M06,Normal,Var (%) anual,-2.29
2018M06,Fin de semana,Índice,124.81
2018M06,Fin de semana,Var (%) anual,-0.69
2018M07,TOTAL,Índice,135.13
2018M07,TOTAL,Var (%) anual,0.49
2018M07,Normal,Índice,133.57
2018M07,Normal,Var (%) anual,-0.39
2018M07,Fin de semana,Índice,136.14
2018M07,Fin de semana,Var (%) anual,1.13
2018M08,TOTAL,Índice,128.35
2018M08,TOTAL,Var (%) anual,-2.42
2018M08,Normal,Índice,130.01
2018M08,Normal,Var (%) anual,-2.85
2018M08,Fin de semana,Índice,130.51
2018M08,Fin de semana,Var (%) anual,-1.74
2018M09,TOTAL,Índice,123.24
2018M09,TOTAL,Var (%) anual,2.64
2018M09,Normal,Índice,124.34
2018M09,Normal,Var (%) anual,0.25
2018M09,Fin de semana,Índice,123.63
2018M09,Fin de semana,Var (%) anual,3.1
2018M10,TOTAL,Índice,139.34
2018M10,TOTAL,Var (%) anual,3.92
2018M10,Normal,Índice,147.68
2018M10,Normal,Var (%) anual,2.32
2018M10,Fin de semana,Índice,138.48
2018M10,Fin de semana,Var (%) anual,4.45
2018M11,TOTAL,Índice,141.16
2018M11,TOTAL,Var (%) anual,3.58
