Grupo actividad sector turístico,Indicador,Periodo,DATA
55 Servicios de alojamiento,Excedente bruto de explotación (miles de euros),2013,4300.845
55 Servicios de alojamiento,Excedente bruto de explotación (miles de euros),2014,1960.575
55 Servicios de alojamiento,Cifra de negocio,2008,77092.137
55 Servicios de alojamiento,Cifra de negocio,2009,67968.356
55 Servicios de alojamiento,Cifra de negocio,2010,64609.498
55 Servicios de alojamiento,Cifra de negocio,2011,68123.234
55 Servicios de alojamiento,Cifra de negocio,2012,51509.901
55 Servicios de alojamiento,Cifra de negocio,2013,53598.803
55 Servicios de alojamiento,Cifra de negocio,2014,52372.763
55 Servicios de alojamiento,Producción a precios básicos,2008,77841.872
55 Servicios de alojamiento,Producción a precios básicos,2009,68713.49
55 Servicios de alojamiento,Producción a precios básicos,2010,64987.409
55 Servicios de alojamiento,Producción a precios básicos,2011,68333.888
55 Servicios de alojamiento,Producción a precios básicos,2012,51643.119
55 Servicios de alojamiento,Producción a precios básicos,2013,53511.344
55 Servicios de alojamiento,Producción a precios básicos,2014,52507.897
55 Servicios de alojamiento,VAB a precios básicos,2008,36124.951
55 Servicios de alojamiento,VAB a precios básicos,2009,31831.728
55 Servicios de alojamiento,VAB a precios básicos,2010,30929.443
55 Servicios de alojamiento,VAB a precios básicos,2011,32233.677
55 Servicios de alojamiento,VAB a precios básicos,2012,23581.876
55 Servicios de alojamiento,VAB a precios básicos,2013,25133.974
55 Servicios de alojamiento,VAB a precios básicos,2014,23487.801
55 Servicios de alojamiento,VAB cifra de negocio,2008,35597.981
55 Servicios de alojamiento,VAB cifra de negocio,2009,31581.756
55 Servicios de alojamiento,VAB cifra de negocio,2010,30936.068
55 Servicios de alojamiento,VAB cifra de negocio,2011,31927.977
55 Servicios de alojamiento,VAB cifra de negocio,2012,23230.572
55 Servicios de alojamiento,VAB cifra de negocio,2013,25074.745
55 Servicios de alojamiento,VAB cifra de negocio,2014,23156.143
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2008,45612.311
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2009,39637.758
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2010,41198.249
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2011,31104.226
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2012,28549.845
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2013,31056.253
56 Servicios de comidas y bebidas,Excedente bruto de explotación (miles de euros),2014,25612.491
56 Servicios de comidas y bebidas,Cifra de negocio,2008,319996.027
56 Servicios de comidas y bebidas,Cifra de negocio,2009,282595.18
56 Servicios de comidas y bebidas,Cifra de negocio,2010,278192.866
56 Servicios de comidas y bebidas,Cifra de negocio,2011,274832.33
56 Servicios de comidas y bebidas,Cifra de negocio,2012,294288.632
56 Servicios de comidas y bebidas,Cifra de negocio,2013,289796.715
56 Servicios de comidas y bebidas,Cifra de negocio,2014,259035.348
56 Servicios de comidas y bebidas,Producción a precios básicos,2008,318073.484
56 Servicios de comidas y bebidas,Producción a precios básicos,2009,280594.479
56 Servicios de comidas y bebidas,Producción a precios básicos,2010,275458.023
56 Servicios de comidas y bebidas,Producción a precios básicos,2011,274169.635
56 Servicios de comidas y bebidas,Producción a precios básicos,2012,292859.612
56 Servicios de comidas y bebidas,Producción a precios básicos,2013,292666.906
56 Servicios de comidas y bebidas,Producción a precios básicos,2014,259821.881
56 Servicios de comidas y bebidas,VAB a precios básicos,2008,135649.468
56 Servicios de comidas y bebidas,VAB a precios básicos,2009,112085.221
56 Servicios de comidas y bebidas,VAB a precios básicos,2010,113043.413
56 Servicios de comidas y bebidas,VAB a precios básicos,2011,102953.737
56 Servicios de comidas y bebidas,VAB a precios básicos,2012,110330.396
56 Servicios de comidas y bebidas,VAB a precios básicos,2013,114801.221
56 Servicios de comidas y bebidas,VAB a precios básicos,2014,103800.191
56 Servicios de comidas y bebidas,VAB cifra de negocio,2008,135475.279
56 Servicios de comidas y bebidas,VAB cifra de negocio,2009,111793.862
56 Servicios de comidas y bebidas,VAB cifra de negocio,2010,112887.643
56 Servicios de comidas y bebidas,VAB cifra de negocio,2011,103020.874
56 Servicios de comidas y bebidas,VAB cifra de negocio,2012,110752.254
56 Servicios de comidas y bebidas,VAB cifra de negocio,2013,115260.299
56 Servicios de comidas y bebidas,VAB cifra de negocio,2014,104557.869
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2008,33339.73
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2009,40517.262
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2010,40278.838
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2011,42431.707
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2012,46564.47
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2013,48137.234
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Excedente bruto de explotación (miles de euros),2014,39768.625
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2008,116849.506
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2009,150406.22
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2010,139509.916
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2011,164087.792
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2012,120593.072
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Cifra de negocio,2013,140932.748
