Grupo actividad sector turístico,Indicador,Periodo,DATA
55 Servicios de alojamiento,Volumen de negocio,2016,57867.602
55 Servicios de alojamiento,Volumen de negocio,2017,51718.283
55 Servicios de alojamiento,Volumen de negocio,2018,63119.74
55 Servicios de alojamiento,Volumen de negocio,2019,71972.758
55 Servicios de alojamiento,Volumen de negocio,2020,30906.842
55 Servicios de alojamiento,Producción a precios básicos,2015,47000.618
55 Servicios de alojamiento,Producción a precios básicos,2016,55652.984
55 Servicios de alojamiento,Producción a precios básicos,2017,50342.424
55 Servicios de alojamiento,Producción a precios básicos,2018,61445.608
55 Servicios de alojamiento,Producción a precios básicos,2019,70655.5
55 Servicios de alojamiento,Producción a precios básicos,2020,29000.439
55 Servicios de alojamiento,VAB cifra de negocio,2015,24452.413
55 Servicios de alojamiento,VAB cifra de negocio,2016,29285.572
55 Servicios de alojamiento,VAB cifra de negocio,2017,26386.76
55 Servicios de alojamiento,VAB cifra de negocio,2018,30651.999
55 Servicios de alojamiento,VAB cifra de negocio,2019,35056.882
55 Servicios de alojamiento,VAB cifra de negocio,2020,9569.6
55 Servicios de alojamiento,VAB a precios básicos,2015,24765.143
55 Servicios de alojamiento,VAB a precios básicos,2016,29973.059
55 Servicios de alojamiento,VAB a precios básicos,2017,26782.412
55 Servicios de alojamiento,VAB a precios básicos,2018,31339.23
55 Servicios de alojamiento,VAB a precios básicos,2019,35570.274
55 Servicios de alojamiento,VAB a precios básicos,2020,8874.316
55 Servicios de alojamiento,Excedente bruto de explotación,2015,5485.951
55 Servicios de alojamiento,Excedente bruto de explotación,2016,6543.288
55 Servicios de alojamiento,Excedente bruto de explotación,2017,7544.153
55 Servicios de alojamiento,Excedente bruto de explotación,2018,7389.901
55 Servicios de alojamiento,Excedente bruto de explotación,2019,11179.76
55 Servicios de alojamiento,Excedente bruto de explotación,2020,-5413.442
56 Servicios de comidas y bebidas,Consumos Intermedios,2015,154074.432
56 Servicios de comidas y bebidas,Consumos Intermedios,2016,167023.868
56 Servicios de comidas y bebidas,Consumos Intermedios,2017,185312.505
56 Servicios de comidas y bebidas,Consumos Intermedios,2018,196410.924
56 Servicios de comidas y bebidas,Consumos Intermedios,2019,194684.788
56 Servicios de comidas y bebidas,Consumos Intermedios,2020,102555.486
56 Servicios de comidas y bebidas,Volumen de negocio,2015,256173.388
56 Servicios de comidas y bebidas,Volumen de negocio,2016,293615.38
56 Servicios de comidas y bebidas,Volumen de negocio,2017,311545.437
56 Servicios de comidas y bebidas,Volumen de negocio,2018,328743.972
56 Servicios de comidas y bebidas,Volumen de negocio,2019,343469.75
56 Servicios de comidas y bebidas,Volumen de negocio,2020,186441.039
56 Servicios de comidas y bebidas,Producción a precios básicos,2015,256498.239
56 Servicios de comidas y bebidas,Producción a precios básicos,2016,286705.456
56 Servicios de comidas y bebidas,Producción a precios básicos,2017,307820.496
56 Servicios de comidas y bebidas,Producción a precios básicos,2018,322777.498
56 Servicios de comidas y bebidas,Producción a precios básicos,2019,339896.874
56 Servicios de comidas y bebidas,Producción a precios básicos,2020,170710.576
56 Servicios de comidas y bebidas,VAB cifra de negocio,2015,101879.424
56 Servicios de comidas y bebidas,VAB cifra de negocio,2016,118701.211
56 Servicios de comidas y bebidas,VAB cifra de negocio,2017,121248.457
56 Servicios de comidas y bebidas,VAB cifra de negocio,2018,125585.516
56 Servicios de comidas y bebidas,VAB cifra de negocio,2019,145397.516
56 Servicios de comidas y bebidas,VAB cifra de negocio,2020,70804.957
