Periodo,Tarifa,Variable,DATA
2018-09-01,TOTAL,Índice,145.39
2018-09-01,TOTAL,Var (%) anual,9.38
2018-09-01,Normal,Índice,146.2
2018-09-01,Normal,Var (%) anual,9.84
2018-09-01,Fin de semana,Índice,95.02
2018-09-01,Fin de semana,Var (%) anual,8.94
2018-10-01,TOTAL,Índice,124.59
2018-10-01,TOTAL,Var (%) anual,10.31
2018-10-01,Normal,Índice,127.6
2018-10-01,Normal,Var (%) anual,10.33
2018-10-01,Fin de semana,Índice,118.09
2018-10-01,Fin de semana,Var (%) anual,10.29
2018-11-01,TOTAL,Índice,115.28
2018-11-01,TOTAL,Var (%) anual,17.87
2018-11-01,Normal,Índice,113.94
2018-11-01,Normal,Var (%) anual,18.14
2018-11-01,Fin de semana,Índice,129.0
2018-11-01,Fin de semana,Var (%) anual,17.56
2018-12-01,TOTAL,Índice,122.46
2018-12-01,TOTAL,Var (%) anual,11.07
2018-12-01,Normal,Índice,122.51
2018-12-01,Normal,Var (%) anual,15.5
2018-12-01,Fin de semana,Índice,90.78
2018-12-01,Fin de semana,Var (%) anual,6.89
2019-01-01,TOTAL,Índice,147.76
2019-01-01,TOTAL,Var (%) anual,-4.24
2019-01-01,Normal,Índice,119.46
2019-01-01,Normal,Var (%) anual,-4.18
2019-01-01,Fin de semana,Índice,127.97
2019-01-01,Fin de semana,Var (%) anual,-4.54
2019-02-01,TOTAL,Índice,147.76
2019-02-01,TOTAL,Var (%) anual,-2.93
2019-02-01,Normal,Índice,140.48
2019-02-01,Normal,Var (%) anual,-2.93
2019-02-01,Fin de semana,Índice,118.49
2019-02-01,Fin de semana,Var (%) anual,-2.94
2019-03-01,TOTAL,Índice,145.04
2019-03-01,TOTAL,Var (%) anual,-3.19
2019-03-01,Normal,Índice,140.2
2019-03-01,Normal,Var (%) anual,-3.9
2019-03-01,Fin de semana,Índice,108.39
2019-03-01,Fin de semana,Var (%) anual,-1.91
2019-04-01,TOTAL,Índice,127.83
2019-04-01,TOTAL,Var (%) anual,1.11
2019-04-01,Normal,Índice,131.8
2019-04-01,Normal,Var (%) anual,-1.39
2019-04-01,Fin de semana,Índice,107.43
2019-04-01,Fin de semana,Var (%) anual,5.28
2019-05-01,TOTAL,Índice,131.65
2019-05-01,TOTAL,Var (%) anual,-1.32
2019-05-01,Normal,Índice,136.34
2019-05-01,Normal,Var (%) anual,-1.46
2019-05-01,Fin de semana,Índice,98.33
2019-05-01,Fin de semana,Var (%) anual,-1.13
2019-06-01,TOTAL,Índice,116.03
2019-06-01,TOTAL,Var (%) anual,1.4
2019-06-01,Normal,Índice,122.71
2019-06-01,Normal,Var (%) anual,3.63
2019-06-01,Fin de semana,Índice,94.61
2019-06-01,Fin de semana,Var (%) anual,-0.38
2019-07-01,TOTAL,Índice,125.15
2019-07-01,TOTAL,Var (%) anual,4.29
2019-07-01,Normal,Índice,126.4
2019-07-01,Normal,Var (%) anual,4.99
2019-07-01,Fin de semana,Índice,114.39
2019-07-01,Fin de semana,Var (%) anual,2.56
2019-08-01,TOTAL,Índice,120.7
2019-08-01,TOTAL,Var (%) anual,3.27
2019-08-01,Normal,Índice,119.67
2019-08-01,Normal,Var (%) anual,3.52
2019-08-01,Fin de semana,Índice,114.33
2019-08-01,Fin de semana,Var (%) anual,2.76
2019-09-01,TOTAL,Índice,147.93
2019-09-01,TOTAL,Var (%) anual,1.75
2019-09-01,Normal,Índice,150.8
2019-09-01,Normal,Var (%) anual,3.14
2019-09-01,Fin de semana,Índice,94.98
2019-09-01,Fin de semana,Var (%) anual,-0.04
