Grupo actividad sector turístico,Indicador,Periodo,DATA
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2019,1063.727
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal ocupado,2020,1145.541
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2015,746.041
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2016,819.349
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2017,808.144
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2018,901.7
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2019,910.806
"(491, 493, 501, 503, 511, 522) Transporte de pasajeros",Personal remunerado,2020,940.79
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2015,93.484
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2016,106.767
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2017,181.686
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2018,142.3
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2019,121.892
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal no remunerado,2020,138.892
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2015,303.518
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2016,382.242
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2017,442.59
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2018,373.84
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2019,407.005
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal ocupado,2020,434.646
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2015,210.034
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2016,275.474
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2017,260.902
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2018,231.545
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2019,285.111
"(771, 773, 791, 799) Agencias de viaje y alquiler de vehículos",Personal remunerado,2020,295.756
