País de residencia,Indicador,Periodo,DATA
Resto del Mundo,Gasto medio por persona,2019,2437.08
Resto del Mundo,Gasto medio por persona,2020,2068.61
Resto del Mundo,Gasto medio por persona,2021,2535.72
Resto del Mundo,Gasto medio por persona,2022,2141.56
Resto del Mundo,Gasto medio por persona,2023,1923.62
Resto del Mundo,Gasto medio diario por persona,2016,165.57
Resto del Mundo,Gasto medio diario por persona,2017,244.67
Resto del Mundo,Gasto medio diario por persona,2018,216.94
Resto del Mundo,Gasto medio diario por persona,2019,191.41
Resto del Mundo,Gasto medio diario por persona,2020,319.98
Resto del Mundo,Gasto medio diario por persona,2021,178.4
Resto del Mundo,Gasto medio diario por persona,2022,259.21
Resto del Mundo,Gasto medio diario por persona,2023,175.95
Resto del Mundo,Duración media de los viajes,2016,11.13
Resto del Mundo,Duración media de los viajes,2017,7.12
Resto del Mundo,Duración media de los viajes,2018,9.16
Resto del Mundo,Duración media de los viajes,2019,12.73
Resto del Mundo,Duración media de los viajes,2020,6.46
Resto del Mundo,Duración media de los viajes,2021,14.21
Resto del Mundo,Duración media de los viajes,2022,8.26
Resto del Mundo,Duración media de los viajes,2023,10.93
