Municipio,Tipo de establecimiento,Periodo,DATA
Arnedillo,Viviendas de uso turístico,2023,17.0
Arnedillo,Viviendas de uso turístico,2024,19.0
Arnedo,Viviendas de uso turístico,2018,3.0
Arnedo,Viviendas de uso turístico,2019,3.0
Arnedo,Viviendas de uso turístico,2020,4.0
Arnedo,Viviendas de uso turístico,2021,5.0
Arnedo,Viviendas de uso turístico,2022,5.0
Arnedo,Viviendas de uso turístico,2023,6.0
Arnedo,Viviendas de uso turístico,2024,6.0
Arrúbal,Viviendas de uso turístico,2018,2.0
Arrúbal,Viviendas de uso turístico,2019,2.0
Arrúbal,Viviendas de uso turístico,2020,1.0
Arrúbal,Viviendas de uso turístico,2021,1.0
Arrúbal,Viviendas de uso turístico,2022,1.0
Arrúbal,Viviendas de uso turístico,2023,1.0
Arrúbal,Viviendas de uso turístico,2024,1.0
Ausejo,Viviendas de uso turístico,2018,1.0
Ausejo,Viviendas de uso turístico,2019,1.0
Ausejo,Viviendas de uso turístico,2020,2.0
Ausejo,Viviendas de uso turístico,2021,2.0
Ausejo,Viviendas de uso turístico,2022,2.0
Ausejo,Viviendas de uso turístico,2023,2.0
Ausejo,Viviendas de uso turístico,2024,2.0
Autol,Viviendas de uso turístico,2018,2.0
Autol,Viviendas de uso turístico,2019,2.0
Autol,Viviendas de uso turístico,2020,2.0
Autol,Viviendas de uso turístico,2021,2.0
Autol,Viviendas de uso turístico,2022,2.0
Autol,Viviendas de uso turístico,2023,2.0
Autol,Viviendas de uso turístico,2024,2.0
Azofra,Viviendas de uso turístico,2018,2.0
Azofra,Viviendas de uso turístico,2019,2.0
Azofra,Viviendas de uso turístico,2020,2.0
Azofra,Viviendas de uso turístico,2021,2.0
Azofra,Viviendas de uso turístico,2022,2.0
Azofra,Viviendas de uso turístico,2023,2.0
Azofra,Viviendas de uso turístico,2024,2.0
Badarán,Viviendas de uso turístico,2018,2.0
Badarán,Viviendas de uso turístico,2019,2.0
Badarán,Viviendas de uso turístico,2020,2.0
Badarán,Viviendas de uso turístico,2021,3.0
Badarán,Viviendas de uso turístico,2022,3.0
Badarán,Viviendas de uso turístico,2023,3.0
Badarán,Viviendas de uso turístico,2024,3.0
Bańares,Viviendas de uso turístico,2018,2.0
Bańares,Viviendas de uso turístico,2019,2.0
Bańares,Viviendas de uso turístico,2020,2.0
Bańares,Viviendas de uso turístico,2021,1.0
Bańares,Viviendas de uso turístico,2022,1.0
Bańares,Viviendas de uso turístico,2023,1.0
Bańares,Viviendas de uso turístico,2024,1.0
Bańos de Rioja,Viviendas de uso turístico,2018,2.0
Bańos de Rioja,Viviendas de uso turístico,2019,2.0
Bańos de Rioja,Viviendas de uso turístico,2020,2.0
Bańos de Rioja,Viviendas de uso turístico,2021,2.0
Bańos de Rioja,Viviendas de uso turístico,2022,2.0
Bańos de Rioja,Viviendas de uso turístico,2023,2.0
Bańos de Rioja,Viviendas de uso turístico,2024,2.0
Bańos de Río Tobía,Viviendas de uso turístico,2018,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2019,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2020,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2021,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2022,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2023,3.0
Bańos de Río Tobía,Viviendas de uso turístico,2024,3.0
Berceo,Viviendas de uso turístico,2018,2.0
Berceo,Viviendas de uso turístico,2019,2.0
Berceo,Viviendas de uso turístico,2020,1.0
Berceo,Viviendas de uso turístico,2021,1.0
Berceo,Viviendas de uso turístico,2022,1.0
Berceo,Viviendas de uso turístico,2023,1.0
Berceo,Viviendas de uso turístico,2024,1.0
Bergasa,Viviendas de uso turístico,2018,2.0
Bergasa,Viviendas de uso turístico,2019,2.0
Bergasa,Viviendas de uso turístico,2020,2.0
Bergasa,Viviendas de uso turístico,2021,2.0
Bergasa,Viviendas de uso turístico,2022,2.0
Bergasa,Viviendas de uso turístico,2023,2.0
Bergasa,Viviendas de uso turístico,2024,2.0
Bergasillas Bajera,Viviendas de uso turístico,2018,2.0
Bergasillas Bajera,Viviendas de uso turístico,2019,2.0
Bergasillas Bajera,Viviendas de uso turístico,2020,2.0
Bergasillas Bajera,Viviendas de uso turístico,2021,2.0
Bergasillas Bajera,Viviendas de uso turístico,2022,2.0
Bergasillas Bajera,Viviendas de uso turístico,2023,2.0
Bergasillas Bajera,Viviendas de uso turístico,2024,2.0
Bezares,Viviendas de uso turístico,2018,2.0
Bezares,Viviendas de uso turístico,2019,2.0
Bezares,Viviendas de uso turístico,2020,2.0
Bezares,Viviendas de uso turístico,2021,2.0
Bezares,Viviendas de uso turístico,2022,2.0
Bezares,Viviendas de uso turístico,2023,2.0
Bezares,Viviendas de uso turístico,2024,2.0
Bobadilla,Viviendas de uso turístico,2018,2.0
Bobadilla,Viviendas de uso turístico,2019,2.0
Bobadilla,Viviendas de uso turístico,2020,2.0
Bobadilla,Viviendas de uso turístico,2021,2.0
Bobadilla,Viviendas de uso turístico,2022,2.0
Bobadilla,Viviendas de uso turístico,2023,2.0
Bobadilla,Viviendas de uso turístico,2024,2.0
Brieva de Cameros,Viviendas de uso turístico,2018,2.0
Brieva de Cameros,Viviendas de uso turístico,2019,2.0
Brieva de Cameros,Viviendas de uso turístico,2020,1.0
Brieva de Cameros,Viviendas de uso turístico,2021,1.0
Brieva de Cameros,Viviendas de uso turístico,2022,1.0
Brieva de Cameros,Viviendas de uso turístico,2023,1.0
Brieva de Cameros,Viviendas de uso turístico,2024,1.0
Brińas,Viviendas de uso turístico,2018,2.0
Brińas,Viviendas de uso turístico,2019,1.0
Brińas,Viviendas de uso turístico,2020,1.0
Brińas,Viviendas de uso turístico,2021,2.0
Brińas,Viviendas de uso turístico,2022,2.0
Brińas,Viviendas de uso turístico,2023,2.0
Brińas,Viviendas de uso turístico,2024,2.0
Briones,Viviendas de uso turístico,2018,5.0
Briones,Viviendas de uso turístico,2019,6.0
Briones,Viviendas de uso turístico,2020,7.0
Briones,Viviendas de uso turístico,2021,6.0
Briones,Viviendas de uso turístico,2022,6.0
Briones,Viviendas de uso turístico,2023,6.0
Briones,Viviendas de uso turístico,2024,6.0
Cabezón de Cameros,Viviendas de uso turístico,2018,2.0
Cabezón de Cameros,Viviendas de uso turístico,2019,2.0
Cabezón de Cameros,Viviendas de uso turístico,2020,2.0
Cabezón de Cameros,Viviendas de uso turístico,2021,2.0
Cabezón de Cameros,Viviendas de uso turístico,2022,2.0
Cabezón de Cameros,Viviendas de uso turístico,2023,2.0
Cabezón de Cameros,Viviendas de uso turístico,2024,2.0
Calahorra,Viviendas de uso turístico,2018,4.0
Calahorra,Viviendas de uso turístico,2019,6.0
Calahorra,Viviendas de uso turístico,2020,8.0
Calahorra,Viviendas de uso turístico,2021,10.0
Calahorra,Viviendas de uso turístico,2022,10.0
Calahorra,Viviendas de uso turístico,2023,14.0
Calahorra,Viviendas de uso turístico,2024,15.0
Camprovín,Viviendas de uso turístico,2018,1.0
Camprovín,Viviendas de uso turístico,2019,1.0
Camprovín,Viviendas de uso turístico,2020,2.0
Camprovín,Viviendas de uso turístico,2021,4.0
Camprovín,Viviendas de uso turístico,2022,4.0
Camprovín,Viviendas de uso turístico,2023,1.0
Camprovín,Viviendas de uso turístico,2024,1.0
Canales de la Sierra,Viviendas de uso turístico,2018,2.0
Canales de la Sierra,Viviendas de uso turístico,2019,2.0
Canales de la Sierra,Viviendas de uso turístico,2020,2.0
Canales de la Sierra,Viviendas de uso turístico,2021,2.0
Canales de la Sierra,Viviendas de uso turístico,2022,2.0
Canales de la Sierra,Viviendas de uso turístico,2023,2.0
Canales de la Sierra,Viviendas de uso turístico,2024,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2018,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2019,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2020,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2021,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2022,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2023,2.0
Canillas de Río Tuerto,Viviendas de uso turístico,2024,2.0
Cańas,Viviendas de uso turístico,2018,2.0
Cańas,Viviendas de uso turístico,2019,1.0
Cańas,Viviendas de uso turístico,2020,1.0
Cańas,Viviendas de uso turístico,2021,1.0
Cańas,Viviendas de uso turístico,2022,1.0
Cańas,Viviendas de uso turístico,2023,2.0
Cańas,Viviendas de uso turístico,2024,2.0
Cárdenas,Viviendas de uso turístico,2018,2.0
Cárdenas,Viviendas de uso turístico,2019,2.0
Cárdenas,Viviendas de uso turístico,2020,2.0
Cárdenas,Viviendas de uso turístico,2021,2.0
Cárdenas,Viviendas de uso turístico,2022,2.0
Cárdenas,Viviendas de uso turístico,2023,2.0
Cárdenas,Viviendas de uso turístico,2024,2.0
Casalarreina,Viviendas de uso turístico,2018,1.0
Casalarreina,Viviendas de uso turístico,2019,6.0
Casalarreina,Viviendas de uso turístico,2020,15.0
Casalarreina,Viviendas de uso turístico,2021,16.0
Casalarreina,Viviendas de uso turístico,2022,17.0
Casalarreina,Viviendas de uso turístico,2023,21.0
Casalarreina,Viviendas de uso turístico,2024,23.0
Castańares de Rioja,Viviendas de uso turístico,2018,1.0
Castańares de Rioja,Viviendas de uso turístico,2019,1.0
Castańares de Rioja,Viviendas de uso turístico,2020,2.0
Castańares de Rioja,Viviendas de uso turístico,2021,2.0
Castańares de Rioja,Viviendas de uso turístico,2022,2.0
Castańares de Rioja,Viviendas de uso turístico,2023,2.0
Castańares de Rioja,Viviendas de uso turístico,2024,2.0
Castroviejo,Viviendas de uso turístico,2018,2.0
Castroviejo,Viviendas de uso turístico,2019,2.0
Castroviejo,Viviendas de uso turístico,2020,2.0
Castroviejo,Viviendas de uso turístico,2021,2.0
Castroviejo,Viviendas de uso turístico,2022,2.0
Castroviejo,Viviendas de uso turístico,2023,2.0
Castroviejo,Viviendas de uso turístico,2024,2.0
Cellorigo,Viviendas de uso turístico,2018,2.0
Cellorigo,Viviendas de uso turístico,2019,2.0
Cellorigo,Viviendas de uso turístico,2020,2.0
Cellorigo,Viviendas de uso turístico,2021,2.0
Cellorigo,Viviendas de uso turístico,2022,2.0
Cellorigo,Viviendas de uso turístico,2023,2.0
Cellorigo,Viviendas de uso turístico,2024,2.0
Cenicero,Viviendas de uso turístico,2018,1.0
Cenicero,Viviendas de uso turístico,2019,2.0
Cenicero,Viviendas de uso turístico,2020,6.0
Cenicero,Viviendas de uso turístico,2021,6.0
Cenicero,Viviendas de uso turístico,2022,8.0
Cenicero,Viviendas de uso turístico,2023,8.0
Cenicero,Viviendas de uso turístico,2024,9.0
Cervera del Río Alhama,Viviendas de uso turístico,2018,2.0
Cervera del Río Alhama,Viviendas de uso turístico,2019,1.0
Cervera del Río Alhama,Viviendas de uso turístico,2020,1.0
Cervera del Río Alhama,Viviendas de uso turístico,2021,2.0
Cervera del Río Alhama,Viviendas de uso turístico,2022,1.0
Cervera del Río Alhama,Viviendas de uso turístico,2023,2.0
Cervera del Río Alhama,Viviendas de uso turístico,2024,2.0
Cidamón,Viviendas de uso turístico,2018,2.0
Cidamón,Viviendas de uso turístico,2019,2.0
Cidamón,Viviendas de uso turístico,2020,2.0
Cidamón,Viviendas de uso turístico,2021,2.0
Cidamón,Viviendas de uso turístico,2022,2.0
Cidamón,Viviendas de uso turístico,2023,2.0
Cidamón,Viviendas de uso turístico,2024,2.0
Cihuri,Viviendas de uso turístico,2018,2.0
Cihuri,Viviendas de uso turístico,2019,1.0
Cihuri,Viviendas de uso turístico,2020,2.0
Cihuri,Viviendas de uso turístico,2021,3.0
Cihuri,Viviendas de uso turístico,2022,3.0
Cihuri,Viviendas de uso turístico,2023,4.0
Cihuri,Viviendas de uso turístico,2024,4.0
Cirueńa,Viviendas de uso turístico,2018,5.0
Cirueńa,Viviendas de uso turístico,2019,13.0
Cirueńa,Viviendas de uso turístico,2020,17.0
Cirueńa,Viviendas de uso turístico,2021,16.0
Cirueńa,Viviendas de uso turístico,2022,16.0
Cirueńa,Viviendas de uso turístico,2023,21.0
Cirueńa,Viviendas de uso turístico,2024,24.0
Clavijo,Viviendas de uso turístico,2018,2.0
Clavijo,Viviendas de uso turístico,2019,2.0
Clavijo,Viviendas de uso turístico,2020,2.0
Clavijo,Viviendas de uso turístico,2021,3.0
Clavijo,Viviendas de uso turístico,2022,3.0
Clavijo,Viviendas de uso turístico,2023,3.0
Clavijo,Viviendas de uso turístico,2024,3.0
Cordovín,Viviendas de uso turístico,2018,2.0
Cordovín,Viviendas de uso turístico,2019,2.0
Cordovín,Viviendas de uso turístico,2020,2.0
Cordovín,Viviendas de uso turístico,2021,2.0
Cordovín,Viviendas de uso turístico,2022,2.0
Cordovín,Viviendas de uso turístico,2023,2.0
Cordovín,Viviendas de uso turístico,2024,2.0
Corera,Viviendas de uso turístico,2018,1.0
Corera,Viviendas de uso turístico,2019,1.0
Corera,Viviendas de uso turístico,2020,2.0
Corera,Viviendas de uso turístico,2021,2.0
Corera,Viviendas de uso turístico,2022,2.0
Corera,Viviendas de uso turístico,2023,1.0
Corera,Viviendas de uso turístico,2024,1.0
Cornago,Viviendas de uso turístico,2018,2.0
Cornago,Viviendas de uso turístico,2019,1.0
Cornago,Viviendas de uso turístico,2020,1.0
Cornago,Viviendas de uso turístico,2021,1.0
Cornago,Viviendas de uso turístico,2022,2.0
Cornago,Viviendas de uso turístico,2023,2.0
Cornago,Viviendas de uso turístico,2024,2.0
Corporales,Viviendas de uso turístico,2018,2.0
Corporales,Viviendas de uso turístico,2019,2.0
Corporales,Viviendas de uso turístico,2020,2.0
Corporales,Viviendas de uso turístico,2021,2.0
Corporales,Viviendas de uso turístico,2022,2.0
Corporales,Viviendas de uso turístico,2023,2.0
Corporales,Viviendas de uso turístico,2024,2.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2018,4.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2019,4.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2020,9.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2021,9.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2022,10.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2023,9.0
Cuzcurrita de Río Tirón,Viviendas de uso turístico,2024,9.0
Daroca de Rioja,Viviendas de uso turístico,2018,2.0
Daroca de Rioja,Viviendas de uso turístico,2019,2.0
Daroca de Rioja,Viviendas de uso turístico,2020,1.0
Daroca de Rioja,Viviendas de uso turístico,2021,1.0
Daroca de Rioja,Viviendas de uso turístico,2022,1.0
Daroca de Rioja,Viviendas de uso turístico,2023,2.0
Daroca de Rioja,Viviendas de uso turístico,2024,2.0
Enciso,Viviendas de uso turístico,2018,8.0
Enciso,Viviendas de uso turístico,2019,9.0
Enciso,Viviendas de uso turístico,2020,10.0
Enciso,Viviendas de uso turístico,2021,11.0
Enciso,Viviendas de uso turístico,2022,11.0
Enciso,Viviendas de uso turístico,2023,12.0
Enciso,Viviendas de uso turístico,2024,13.0
Entrena,Viviendas de uso turístico,2018,2.0
Entrena,Viviendas de uso turístico,2019,2.0
Entrena,Viviendas de uso turístico,2020,2.0
Entrena,Viviendas de uso turístico,2021,3.0
Entrena,Viviendas de uso turístico,2022,3.0
Entrena,Viviendas de uso turístico,2023,4.0
Entrena,Viviendas de uso turístico,2024,4.0
Estollo,Viviendas de uso turístico,2018,2.0
Estollo,Viviendas de uso turístico,2019,2.0
Estollo,Viviendas de uso turístico,2020,2.0
Estollo,Viviendas de uso turístico,2021,2.0
Estollo,Viviendas de uso turístico,2022,2.0
Estollo,Viviendas de uso turístico,2023,2.0
Estollo,Viviendas de uso turístico,2024,2.0
Ezcaray,Viviendas de uso turístico,2018,19.0
Ezcaray,Viviendas de uso turístico,2019,31.0
Ezcaray,Viviendas de uso turístico,2020,45.0
Ezcaray,Viviendas de uso turístico,2021,45.0
Ezcaray,Viviendas de uso turístico,2022,47.0
Ezcaray,Viviendas de uso turístico,2023,73.0
Ezcaray,Viviendas de uso turístico,2024,90.0
Foncea,Viviendas de uso turístico,2018,2.0
Foncea,Viviendas de uso turístico,2019,2.0
Foncea,Viviendas de uso turístico,2020,2.0
Foncea,Viviendas de uso turístico,2021,2.0
Foncea,Viviendas de uso turístico,2022,2.0
Foncea,Viviendas de uso turístico,2023,2.0
Foncea,Viviendas de uso turístico,2024,2.0
Fonzaleche,Viviendas de uso turístico,2018,2.0
Fonzaleche,Viviendas de uso turístico,2019,1.0
Fonzaleche,Viviendas de uso turístico,2020,1.0
Fonzaleche,Viviendas de uso turístico,2021,1.0
Fonzaleche,Viviendas de uso turístico,2022,1.0
Fonzaleche,Viviendas de uso turístico,2023,1.0
Fonzaleche,Viviendas de uso turístico,2024,1.0
Fuenmayor,Viviendas de uso turístico,2018,6.0
Fuenmayor,Viviendas de uso turístico,2019,10.0
Fuenmayor,Viviendas de uso turístico,2020,9.0
Fuenmayor,Viviendas de uso turístico,2021,10.0
Fuenmayor,Viviendas de uso turístico,2022,10.0
Fuenmayor,Viviendas de uso turístico,2023,14.0
Fuenmayor,Viviendas de uso turístico,2024,15.0
Galbárruli,Viviendas de uso turístico,2018,2.0
Galbárruli,Viviendas de uso turístico,2019,2.0
Galbárruli,Viviendas de uso turístico,2020,2.0
Galbárruli,Viviendas de uso turístico,2021,2.0
Galbárruli,Viviendas de uso turístico,2022,2.0
Galbárruli,Viviendas de uso turístico,2023,1.0
Galbárruli,Viviendas de uso turístico,2024,1.0
Galilea,Viviendas de uso turístico,2018,1.0
Galilea,Viviendas de uso turístico,2019,1.0
Galilea,Viviendas de uso turístico,2020,1.0
Galilea,Viviendas de uso turístico,2021,1.0
Galilea,Viviendas de uso turístico,2022,1.0
Galilea,Viviendas de uso turístico,2023,1.0
Galilea,Viviendas de uso turístico,2024,1.0
Gallinero de Cameros,Viviendas de uso turístico,2018,2.0
Gallinero de Cameros,Viviendas de uso turístico,2019,2.0
Gallinero de Cameros,Viviendas de uso turístico,2020,2.0
Gallinero de Cameros,Viviendas de uso turístico,2021,2.0
Gallinero de Cameros,Viviendas de uso turístico,2022,2.0
Gallinero de Cameros,Viviendas de uso turístico,2023,2.0
Gallinero de Cameros,Viviendas de uso turístico,2024,2.0
Gimileo,Viviendas de uso turístico,2018,2.0
Gimileo,Viviendas de uso turístico,2019,1.0
Gimileo,Viviendas de uso turístico,2020,1.0
Gimileo,Viviendas de uso turístico,2021,1.0
Gimileo,Viviendas de uso turístico,2022,1.0
Gimileo,Viviendas de uso turístico,2023,1.0
Gimileo,Viviendas de uso turístico,2024,1.0
Grańón,Viviendas de uso turístico,2018,2.0
Grańón,Viviendas de uso turístico,2019,2.0
Grańón,Viviendas de uso turístico,2020,2.0
Grańón,Viviendas de uso turístico,2021,2.0
Grańón,Viviendas de uso turístico,2022,2.0
Grańón,Viviendas de uso turístico,2023,2.0
Grańón,Viviendas de uso turístico,2024,2.0
Grávalos,Viviendas de uso turístico,2018,1.0
Grávalos,Viviendas de uso turístico,2019,1.0
Grávalos,Viviendas de uso turístico,2020,1.0
Grávalos,Viviendas de uso turístico,2021,1.0
Grávalos,Viviendas de uso turístico,2022,1.0
Grávalos,Viviendas de uso turístico,2023,1.0
Grávalos,Viviendas de uso turístico,2024,1.0
Haro,Viviendas de uso turístico,2018,18.0
Haro,Viviendas de uso turístico,2019,28.0
Haro,Viviendas de uso turístico,2020,58.0
Haro,Viviendas de uso turístico,2021,59.0
Haro,Viviendas de uso turístico,2022,59.0
Haro,Viviendas de uso turístico,2023,81.0
Haro,Viviendas de uso turístico,2024,89.0
Herce,Viviendas de uso turístico,2018,2.0
Herce,Viviendas de uso turístico,2019,2.0
Herce,Viviendas de uso turístico,2020,2.0
Herce,Viviendas de uso turístico,2021,1.0
Herce,Viviendas de uso turístico,2022,1.0
Herce,Viviendas de uso turístico,2023,3.0
Herce,Viviendas de uso turístico,2024,3.0
Herramélluri,Viviendas de uso turístico,2018,2.0
Herramélluri,Viviendas de uso turístico,2019,2.0
Herramélluri,Viviendas de uso turístico,2020,2.0
Herramélluri,Viviendas de uso turístico,2021,2.0
Herramélluri,Viviendas de uso turístico,2022,2.0
Herramélluri,Viviendas de uso turístico,2023,3.0
Herramélluri,Viviendas de uso turístico,2024,3.0
Hervías,Viviendas de uso turístico,2018,2.0
Hervías,Viviendas de uso turístico,2019,2.0
Hervías,Viviendas de uso turístico,2020,2.0
Hervías,Viviendas de uso turístico,2021,2.0
Hervías,Viviendas de uso turístico,2022,2.0
Hervías,Viviendas de uso turístico,2023,2.0
Hervías,Viviendas de uso turístico,2024,2.0
Hormilla,Viviendas de uso turístico,2018,2.0
Hormilla,Viviendas de uso turístico,2019,2.0
Hormilla,Viviendas de uso turístico,2020,1.0
Hormilla,Viviendas de uso turístico,2021,1.0
Hormilla,Viviendas de uso turístico,2022,1.0
