Periodo,Categoría,DATA
2016M09,3 estrellas de oro,97.53
2016M09,1 estrella de oro,77.96
2016M09,2 y 3 estrellas de plata,81.26
2016M09,1 estrella de plata,91.04
2016M09,2 estrellas de oro,89.5
2016M10,TOTAL,93.97
2016M10,4 estrellas de oro,95.05
2016M10,3 estrellas de oro,94.41
2016M10,1 estrella de oro,82.84
2016M10,2 y 3 estrellas de plata,90.8
2016M10,1 estrella de plata,95.75
2016M10,2 estrellas de oro,92.54
2016M11,TOTAL,90.7
2016M11,4 estrellas de oro,93.13
2016M11,3 estrellas de oro,90.83
2016M11,1 estrella de oro,86.44
2016M11,2 y 3 estrellas de plata,90.71
2016M11,1 estrella de plata,94.99
2016M11,2 estrellas de oro,77.8
2016M12,TOTAL,91.25
2016M12,4 estrellas de oro,98.05
2016M12,3 estrellas de oro,88.76
2016M12,1 estrella de oro,94.8
2016M12,2 y 3 estrellas de plata,77.93
2016M12,1 estrella de plata,102.85
2016M12,2 estrellas de oro,
2017M01,TOTAL,88.32
2017M01,4 estrellas de oro,96.15
2017M01,3 estrellas de oro,82.04
2017M01,1 estrella de oro,99.47
2017M01,2 y 3 estrellas de plata,67.5
2017M01,1 estrella de plata,99.67
2017M01,2 estrellas de oro,107.61
2017M02,TOTAL,86.82
2017M02,4 estrellas de oro,94.51
2017M02,3 estrellas de oro,81.16
2017M02,1 estrella de oro,107.11
2017M02,2 y 3 estrellas de plata,76.13
2017M02,1 estrella de plata,101.18
2017M02,2 estrellas de oro,59.74
2017M03,TOTAL,82.57
2017M03,4 estrellas de oro,82.08
2017M03,3 estrellas de oro,84.19
2017M03,1 estrella de oro,107.25
2017M03,2 y 3 estrellas de plata,81
2017M03,1 estrella de plata,88.93
2017M03,2 estrellas de oro,84.49
2017M04,TOTAL,89.66
2017M04,4 estrellas de oro,84.68
2017M04,3 estrellas de oro,94.15
2017M04,1 estrella de oro,88
2017M04,2 y 3 estrellas de plata,90.67
2017M04,1 estrella de plata,102.45
2017M04,2 estrellas de oro,83.16
2017M05,TOTAL,87.63
2017M05,4 estrellas de oro,84.46
2017M05,3 estrellas de oro,90.39
2017M05,1 estrella de oro,90.06
2017M05,2 y 3 estrellas de plata,82.15
2017M05,1 estrella de plata,90.2
2017M05,2 estrellas de oro,81.83
2017M06,TOTAL,83.32
2017M06,4 estrellas de oro,83.39
2017M06,3 estrellas de oro,84.01
2017M06,1 estrella de oro,84.58
2017M06,2 y 3 estrellas de plata,80.79
2017M06,1 estrella de plata,92.89
2017M06,2 estrellas de oro,70.46
2017M07,TOTAL,85.25
2017M07,4 estrellas de oro,83.3
2017M07,3 estrellas de oro,87.75
2017M07,1 estrella de oro,85.21
2017M07,2 y 3 estrellas de plata,82.25
2017M07,1 estrella de plata,89.22
2017M07,2 estrellas de oro,88.22
2017M08,TOTAL,92.77
2017M08,4 estrellas de oro,92.35
2017M08,3 estrellas de oro,94.85
2017M08,1 estrella de oro,88.66
2017M08,2 y 3 estrellas de plata,80.7
2017M08,1 estrella de plata,87.7
2017M08,2 estrellas de oro,100.19
2017M09,TOTAL,90.19
2017M09,4 estrellas de oro,92.23
2017M09,3 estrellas de oro,91.22
2017M09,1 estrella de oro,84.28
2017M09,2 y 3 estrellas de plata,79.07
