"Año";"Periodo";"Pernoctaciones hoteleras en enero"
"2020";"Junio";"83.317"
"2021";"Junio";"76.068"
"2022";"Junio";"228.075"
"2023";"Junio";"250.136"
"2024";"Junio";"271.905"
;;
;;
"Métrica":"Pernoctaciones hoteleras en enero"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/pernoctaciones-hoteleras-comunidad-va-ano/0985cd7d-1e8b-4d42-992f-8f3abcdbd8f5/rioja/303"
"Titulo":"Evolución de las pernoctaciones hoteleras en La Rioja "
"Subtitulo":""
