"Año";"Periodo";"Barcelona";"Palma";"San Sebastián";"Bilbao"
"2013";"Año";"14.236";"1.359";"881";"316"
"2014";"Año";"27.524";"3.377";"2.276";"725"
"2015";"Año";"52.200";"7.223";"4.557";"1.450"
"2016";"Año";"92.442";"15.345";"8.873";"3.021"
"2017";"Año";"109.972";"16.785";"10.834";"4.556"
"2018";"Año";"113.859";"12.194";"9.679";"5.575"
"2019";"Año";"100.502";"10.575";"8.014";"5.202"
;;;;;
;;;;;
"Métrica":"Barcelona"
"Fuente":"Exceltur"
"Clasificación":""
"Unidad":"Nº de plazas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Palma"
"Fuente":"Exceltur"
"Clasificación":""
"Unidad":"Nº de plazas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"San Sebastián"
"Fuente":"Exceltur"
"Clasificación":""
"Unidad":"Nº de plazas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Bilbao"
"Fuente":"Exceltur"
"Clasificación":""
"Unidad":"Nº de plazas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Url":"https://www.epdata.es/numero-plazas-viviendas-uso-turistico-algunas-principales-ciudades-turisticas/03f68e9f-6042-473b-b21b-8debb1a7ad2c"
"Titulo":"Número de plazas de las viviendas de uso turístico en algunas de las principales ciudades turísticas de España"
"Subtitulo":""
