Periodo,Categoría,Residencia viajero,DATA
2016M11,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M11,Camping de 2Ş y 3Ş,No residentes en Espańa,
2016M12,TOTAL,TOTAL,4193
2016M12,TOTAL,Residentes en Espańa,4138.79
2016M12,TOTAL,No residentes en Espańa,54.21
2016M12,Camping de 1Ş,TOTAL,3930
2016M12,Camping de 1Ş,Residentes en Espańa,3875.79
2016M12,Camping de 1Ş,No residentes en Espańa,54.21
2016M12,Camping de 2Ş y 3Ş,TOTAL,
2016M12,Camping de 2Ş y 3Ş,Residentes en Espańa,
2016M12,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M01,TOTAL,TOTAL,1294
2017M01,TOTAL,Residentes en Espańa,1210.9
2017M01,TOTAL,No residentes en Espańa,83.1
2017M01,Camping de 1Ş,TOTAL,1294
2017M01,Camping de 1Ş,Residentes en Espańa,1210.9
2017M01,Camping de 1Ş,No residentes en Espańa,83.1
2017M01,Camping de 2Ş y 3Ş,TOTAL,
2017M01,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M01,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M02,TOTAL,TOTAL,1813
2017M02,TOTAL,Residentes en Espańa,1491.19
2017M02,TOTAL,No residentes en Espańa,321.81
2017M02,Camping de 1Ş,TOTAL,1127
2017M02,Camping de 1Ş,Residentes en Espańa,1066.53
2017M02,Camping de 1Ş,No residentes en Espańa,60.47
2017M02,Camping de 2Ş y 3Ş,TOTAL,
2017M02,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M02,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M03,TOTAL,TOTAL,4017
2017M03,TOTAL,Residentes en Espańa,3626.11
2017M03,TOTAL,No residentes en Espańa,390.89
2017M03,Camping de 1Ş,TOTAL,2737
2017M03,Camping de 1Ş,Residentes en Espańa,2709
2017M03,Camping de 1Ş,No residentes en Espańa,28
2017M03,Camping de 2Ş y 3Ş,TOTAL,
2017M03,Camping de 2Ş y 3Ş,Residentes en Espańa,
2017M03,Camping de 2Ş y 3Ş,No residentes en Espańa,
2017M04,TOTAL,TOTAL,10993
2017M04,TOTAL,Residentes en Espańa,9094.46
2017M04,TOTAL,No residentes en Espańa,1898.54
2017M04,Camping de 1Ş,TOTAL,7992
2017M04,Camping de 1Ş,Residentes en Espańa,7607.58
2017M04,Camping de 1Ş,No residentes en Espańa,384.42
2017M04,Camping de 2Ş y 3Ş,TOTAL,3001
2017M04,Camping de 2Ş y 3Ş,Residentes en Espańa,1486.87
2017M04,Camping de 2Ş y 3Ş,No residentes en Espańa,1514.13
2017M05,TOTAL,TOTAL,7392
2017M05,TOTAL,Residentes en Espańa,5819.8
2017M05,TOTAL,No residentes en Espańa,1572.2
2017M05,Camping de 1Ş,TOTAL,5131
2017M05,Camping de 1Ş,Residentes en Espańa,4562.55
2017M05,Camping de 1Ş,No residentes en Espańa,568.45
2017M05,Camping de 2Ş y 3Ş,TOTAL,2261
2017M05,Camping de 2Ş y 3Ş,Residentes en Espańa,1257.25
2017M05,Camping de 2Ş y 3Ş,No residentes en Espańa,1003.75
2017M06,TOTAL,TOTAL,12615
2017M06,TOTAL,Residentes en Espańa,9660.37
2017M06,TOTAL,No residentes en Espańa,2954.63
2017M06,Camping de 1Ş,TOTAL,8669
2017M06,Camping de 1Ş,Residentes en Espańa,7764.83
2017M06,Camping de 1Ş,No residentes en Espańa,904.17
2017M06,Camping de 2Ş y 3Ş,TOTAL,3946
2017M06,Camping de 2Ş y 3Ş,Residentes en Espańa,1895.54
2017M06,Camping de 2Ş y 3Ş,No residentes en Espańa,2050.46
