Periodo,Categoría,DATA
2020M03,1 Llave,185.48
2020M03,"2, 3 y 4 Llaves",21.16
2020M05,TOTAL,170.2
2020M05,1 Llave,141.12
2020M05,"2, 3 y 4 Llaves",29.09
2020M06,TOTAL,314.89
2020M06,1 Llave,274.11
2020M06,"2, 3 y 4 Llaves",40.78
2020M07,TOTAL,348.4
2020M07,1 Llave,280.06
2020M07,"2, 3 y 4 Llaves",68.34
2020M08,TOTAL,398.33
2020M08,1 Llave,333.14
2020M08,"2, 3 y 4 Llaves",65.19
2020M09,TOTAL,354.44
2020M09,1 Llave,290.45
2020M09,"2, 3 y 4 Llaves",63.99
2020M10,TOTAL,347.91
2020M10,1 Llave,298.76
2020M10,"2, 3 y 4 Llaves",49.15
2020M11,TOTAL,215.95
2020M11,1 Llave,168.87
2020M11,"2, 3 y 4 Llaves",47.08
2020M12,TOTAL,213.87
2020M12,1 Llave,165.69
2020M12,"2, 3 y 4 Llaves",48.18
2021M01,TOTAL,177.33
2021M01,1 Llave,134.6
2021M01,"2, 3 y 4 Llaves",42.74
2021M03,TOTAL,212.5
2021M03,1 Llave,170.71
2021M03,"2, 3 y 4 Llaves",41.79
2021M04,TOTAL,307.44
2021M04,1 Llave,248.2
2021M04,"2, 3 y 4 Llaves",59.24
2021M05,TOTAL,318.74
2021M05,1 Llave,255.47
2021M05,"2, 3 y 4 Llaves",63.27
2021M06,TOTAL,412.36
2021M06,1 Llave,346.53
2021M06,"2, 3 y 4 Llaves",65.83
2021M07,TOTAL,
2021M07,1 Llave,
2021M07,"2, 3 y 4 Llaves",
2021M08,TOTAL,399.89
2021M08,1 Llave,334.92
2021M08,"2, 3 y 4 Llaves",64.96
2021M09,TOTAL,408.42
2021M09,1 Llave,342.79
2021M09,"2, 3 y 4 Llaves",65.63
2021M10,TOTAL,409.75
2021M10,1 Llave,344
2021M10,"2, 3 y 4 Llaves",65.75
2021M11,TOTAL,407.57
2021M11,1 Llave,341.85
2021M11,"2, 3 y 4 Llaves",65.72
2021M12,TOTAL,400
2021M12,1 Llave,332.89
2021M12,"2, 3 y 4 Llaves",67.11
2022M01,TOTAL,400.51
2022M01,1 Llave,345.11
2022M01,"2, 3 y 4 Llaves",55.4
2022M02,TOTAL,385.14
2022M02,1 Llave,330.13
2022M02,"2, 3 y 4 Llaves",55
2022M03,TOTAL,404.96
2022M03,1 Llave,348.7
2022M03,"2, 3 y 4 Llaves",56.26
2022M04,TOTAL,429.39
2022M04,1 Llave,355.93
2022M04,"2, 3 y 4 Llaves",73.46
2022M05,TOTAL,432.41
2022M05,1 Llave,358.64
2022M05,"2, 3 y 4 Llaves",73.77
2022M06,TOTAL,440.49
2022M06,1 Llave,369.67
2022M06,"2, 3 y 4 Llaves",70.82
2022M07,TOTAL,
2022M07,1 Llave,
2022M07,"2, 3 y 4 Llaves",
2022M09,TOTAL,427.84
2022M09,1 Llave,354.36
2022M09,"2, 3 y 4 Llaves",73.48
2022M10,TOTAL,424.87
2022M10,1 Llave,351.76
2022M10,"2, 3 y 4 Llaves",73.12
2022M11,TOTAL,373.56
2022M11,1 Llave,319.69
2022M11,"2, 3 y 4 Llaves",53.86
2022M12,TOTAL,383.49
2022M12,1 Llave,313.6
2022M12,"2, 3 y 4 Llaves",69.89
2023M01,TOTAL,365.91
2023M01,1 Llave,300.04
2023M01,"2, 3 y 4 Llaves",65.87
2023M02,TOTAL,438
2023M02,1 Llave,367.42
2023M02,"2, 3 y 4 Llaves",70.58
2023M03,TOTAL,442.29
2023M03,1 Llave,373.69
2023M03,"2, 3 y 4 Llaves",68.59
2023M04,TOTAL,615.88
2023M04,1 Llave,440.09
2023M04,"2, 3 y 4 Llaves",175.8
2023M05,TOTAL,618.64
2023M05,1 Llave,439
2023M05,"2, 3 y 4 Llaves",179.64
2023M06,TOTAL,583
2023M06,1 Llave,438
2023M06,"2, 3 y 4 Llaves",145
2023M07,TOTAL,578.94
2023M07,1 Llave,423.96
2023M07,"2, 3 y 4 Llaves",154.98
2023M08,TOTAL,588.02
2023M08,1 Llave,435
2023M08,"2, 3 y 4 Llaves",153.02
2023M09,TOTAL,611.37
2023M09,1 Llave,457.29
2023M09,"2, 3 y 4 Llaves",154.08
2023M10,TOTAL,582
2023M10,1 Llave,
2023M10,"2, 3 y 4 Llaves",
2023M11,TOTAL,567.22
2023M11,1 Llave,
2023M11,"2, 3 y 4 Llaves",
2023M12,TOTAL,563.85
2023M12,1 Llave,
2023M12,"2, 3 y 4 Llaves",
2024M01,TOTAL,447.07
2024M01,1 Llave,333.99
2024M01,"2, 3 y 4 Llaves",113.08
2024M02,TOTAL,418.7
2024M02,1 Llave,347.48
2024M02,"2, 3 y 4 Llaves",71.21
2024M03,TOTAL,505.59
2024M03,1 Llave,369.16
2024M03,"2, 3 y 4 Llaves",136.43
