Periodo,Categoría,DATA
2020M02,"2, 3 y 4 Llaves",18.44
2020M03,TOTAL,44.35
2020M03,1 Llave,41.46
2020M03,"2, 3 y 4 Llaves",2.89
2020M05,TOTAL,34.58
2020M05,1 Llave,27.13
2020M05,"2, 3 y 4 Llaves",7.45
2020M06,TOTAL,68.16
2020M06,1 Llave,59.8
2020M06,"2, 3 y 4 Llaves",8.36
2020M07,TOTAL,84.38
2020M07,1 Llave,66.33
2020M07,"2, 3 y 4 Llaves",18.04
2020M08,TOTAL,97.8
2020M08,1 Llave,81.93
2020M08,"2, 3 y 4 Llaves",15.87
2020M09,TOTAL,89.3
2020M09,1 Llave,72.03
2020M09,"2, 3 y 4 Llaves",17.26
2020M10,TOTAL,88.39
2020M10,1 Llave,74.5
2020M10,"2, 3 y 4 Llaves",13.89
2020M11,TOTAL,72.54
2020M11,1 Llave,57.03
2020M11,"2, 3 y 4 Llaves",15.51
2020M12,TOTAL,69.38
2020M12,1 Llave,53.68
2020M12,"2, 3 y 4 Llaves",15.71
2021M01,TOTAL,51.37
2021M01,1 Llave,38.13
2021M01,"2, 3 y 4 Llaves",13.24
2021M03,TOTAL,58.26
2021M03,1 Llave,48.53
2021M03,"2, 3 y 4 Llaves",9.73
2021M04,TOTAL,85.03
2021M04,1 Llave,71.25
2021M04,"2, 3 y 4 Llaves",13.78
2021M05,TOTAL,89.56
2021M05,1 Llave,72.41
2021M05,"2, 3 y 4 Llaves",17.14
2021M06,TOTAL,98.89
2021M06,1 Llave,82.29
2021M06,"2, 3 y 4 Llaves",16.6
2021M07,TOTAL,
2021M07,1 Llave,
2021M07,"2, 3 y 4 Llaves",
2021M08,TOTAL,93.11
2021M08,1 Llave,76
2021M08,"2, 3 y 4 Llaves",17.11
2021M09,TOTAL,98.19
2021M09,1 Llave,81.5
2021M09,"2, 3 y 4 Llaves",16.69
2021M10,TOTAL,98.89
2021M10,1 Llave,82.29
2021M10,"2, 3 y 4 Llaves",16.6
2021M11,TOTAL,97.41
2021M11,1 Llave,80.73
2021M11,"2, 3 y 4 Llaves",16.67
2021M12,TOTAL,93.25
2021M12,1 Llave,75.29
2021M12,"2, 3 y 4 Llaves",17.96
2022M01,TOTAL,101.47
2022M01,1 Llave,86.43
2022M01,"2, 3 y 4 Llaves",15.04
2022M02,TOTAL,100.65
2022M02,1 Llave,85.61
2022M02,"2, 3 y 4 Llaves",15.04
2022M03,TOTAL,105.36
2022M03,1 Llave,89.59
2022M03,"2, 3 y 4 Llaves",15.77
2022M04,TOTAL,109.97
2022M04,1 Llave,90.44
2022M04,"2, 3 y 4 Llaves",19.53
2022M05,TOTAL,109.97
2022M05,1 Llave,90.44
2022M05,"2, 3 y 4 Llaves",19.53
2022M06,TOTAL,110.41
2022M06,1 Llave,94.75
2022M06,"2, 3 y 4 Llaves",15.66
2022M07,TOTAL,
2022M07,1 Llave,
2022M07,"2, 3 y 4 Llaves",
2022M09,TOTAL,109.97
2022M09,1 Llave,90.44
2022M09,"2, 3 y 4 Llaves",19.53
2022M10,TOTAL,106.76
2022M10,1 Llave,87.25
2022M10,"2, 3 y 4 Llaves",19.51
2022M11,TOTAL,96.23
2022M11,1 Llave,80.04
2022M11,"2, 3 y 4 Llaves",16.19
2022M12,TOTAL,97.91
2022M12,1 Llave,78.04
2022M12,"2, 3 y 4 Llaves",19.87
2023M01,TOTAL,91.91
2023M01,1 Llave,76.56
2023M01,"2, 3 y 4 Llaves",15.35
2023M02,TOTAL,96.88
2023M02,1 Llave,81.77
2023M02,"2, 3 y 4 Llaves",15.11
2023M03,TOTAL,94.59
2023M03,1 Llave,78.48
2023M03,"2, 3 y 4 Llaves",16.11
2023M04,TOTAL,118.38
2023M04,1 Llave,95.17
2023M04,"2, 3 y 4 Llaves",23.21
2023M05,TOTAL,122.41
2023M05,1 Llave,98.41
2023M05,"2, 3 y 4 Llaves",23.99
2023M06,TOTAL,113.86
2023M06,1 Llave,93.07
2023M06,"2, 3 y 4 Llaves",20.78
2023M07,TOTAL,112.89
2023M07,1 Llave,87.1
2023M07,"2, 3 y 4 Llaves",25.8
2023M08,TOTAL,115.91
2023M08,1 Llave,91.4
2023M08,"2, 3 y 4 Llaves",24.51
