Periodo,Categoría,DATA
2020M01,TOTAL,1855.08
2020M01,1 Llave,1517.45
2020M01,"2, 3 y 4 Llaves",337.63
2020M02,TOTAL,1802.43
2020M02,1 Llave,1458.89
2020M02,"2, 3 y 4 Llaves",343.54
2020M03,TOTAL,906.5
2020M03,1 Llave,818.99
2020M03,"2, 3 y 4 Llaves",87.5
2020M05,TOTAL,754.72
2020M05,1 Llave,617.05
2020M05,"2, 3 y 4 Llaves",137.67
2020M06,TOTAL,1378.95
2020M06,1 Llave,1203.01
2020M06,"2, 3 y 4 Llaves",175.94
2020M07,TOTAL,1583.37
2020M07,1 Llave,1279.73
2020M07,"2, 3 y 4 Llaves",303.65
2020M08,TOTAL,1822.88
2020M08,1 Llave,1522.72
2020M08,"2, 3 y 4 Llaves",300.16
2020M09,TOTAL,1591.23
2020M09,1 Llave,1298.42
2020M09,"2, 3 y 4 Llaves",292.81
2020M10,TOTAL,1518.89
2020M10,1 Llave,1303.25
2020M10,"2, 3 y 4 Llaves",215.63
2020M11,TOTAL,991.27
2020M11,1 Llave,775.4
2020M11,"2, 3 y 4 Llaves",215.88
2020M12,TOTAL,970.6
2020M12,1 Llave,755.42
2020M12,"2, 3 y 4 Llaves",215.19
2021M01,TOTAL,844.36
2021M01,1 Llave,668.62
2021M01,"2, 3 y 4 Llaves",175.75
2021M03,TOTAL,1006.35
2021M03,1 Llave,839.21
2021M03,"2, 3 y 4 Llaves",167.14
2021M04,TOTAL,1430.25
2021M04,1 Llave,1193.48
2021M04,"2, 3 y 4 Llaves",236.78
2021M05,TOTAL,1516.99
2021M05,1 Llave,1235
2021M05,"2, 3 y 4 Llaves",281.98
2021M06,TOTAL,1867.2
2021M06,1 Llave,1577.4
2021M06,"2, 3 y 4 Llaves",289.79
2021M07,TOTAL,
2021M07,1 Llave,
2021M07,"2, 3 y 4 Llaves",
2021M08,TOTAL,1838.84
2021M08,1 Llave,1559.3
2021M08,"2, 3 y 4 Llaves",279.54
2021M09,TOTAL,1874.71
2021M09,1 Llave,1592.54
2021M09,"2, 3 y 4 Llaves",282.17
2021M10,TOTAL,1888.09
2021M10,1 Llave,1596.84
2021M10,"2, 3 y 4 Llaves",291.25
2021M11,TOTAL,1869.76
2021M11,1 Llave,1578.89
2021M11,"2, 3 y 4 Llaves",290.87
2021M12,TOTAL,1840.78
2021M12,1 Llave,1541.93
2021M12,"2, 3 y 4 Llaves",298.86
2022M01,TOTAL,1875.56
2022M01,1 Llave,1618.03
2022M01,"2, 3 y 4 Llaves",257.53
2022M02,TOTAL,1808.82
2022M02,1 Llave,1550.84
2022M02,"2, 3 y 4 Llaves",257.98
2022M03,TOTAL,1909.65
2022M03,1 Llave,1647.97
2022M03,"2, 3 y 4 Llaves",261.67
2022M04,TOTAL,2070.09
2022M04,1 Llave,1719.5
2022M04,"2, 3 y 4 Llaves",350.59
2022M05,TOTAL,2078.35
2022M05,1 Llave,1727.37
2022M05,"2, 3 y 4 Llaves",350.99
2022M06,TOTAL,2093.07
2022M06,1 Llave,1764.51
2022M06,"2, 3 y 4 Llaves",328.57
2022M07,TOTAL,
2022M07,1 Llave,
2022M07,"2, 3 y 4 Llaves",
2022M09,TOTAL,2028.72
2022M09,1 Llave,1679.8
2022M09,"2, 3 y 4 Llaves",348.92
2022M10,TOTAL,1995.14
2022M10,1 Llave,1649.02
2022M10,"2, 3 y 4 Llaves",346.12
2022M11,TOTAL,1710.12
2022M11,1 Llave,1456.93
2022M11,"2, 3 y 4 Llaves",253.19
2022M12,TOTAL,1732.1
2022M12,1 Llave,1398.8
2022M12,"2, 3 y 4 Llaves",333.3
2023M01,TOTAL,1603.38
2023M01,1 Llave,1271.97
2023M01,"2, 3 y 4 Llaves",331.4
2023M02,TOTAL,1890.82
2023M02,1 Llave,1531.28
2023M02,"2, 3 y 4 Llaves",359.54
2023M03,TOTAL,1911.41
2023M03,1 Llave,1562.97
2023M03,"2, 3 y 4 Llaves",348.44
2023M04,TOTAL,2480.75
2023M04,1 Llave,1794.71
2023M04,"2, 3 y 4 Llaves",686.04
2023M05,TOTAL,2579.19
2023M05,1 Llave,1782.6
2023M05,"2, 3 y 4 Llaves",796.59
2023M06,TOTAL,2563.15
2023M06,1 Llave,1858.79
2023M06,"2, 3 y 4 Llaves",704.36
2023M07,TOTAL,2425.23
2023M07,1 Llave,1709.41
2023M07,"2, 3 y 4 Llaves",715.82
2023M08,TOTAL,2557.09
2023M08,1 Llave,1824.54
2023M08,"2, 3 y 4 Llaves",732.56
2023M09,TOTAL,2674.91
2023M09,1 Llave,1897.39
2023M09,"2, 3 y 4 Llaves",777.52
2023M10,TOTAL,2498.6
2023M10,1 Llave,
2023M10,"2, 3 y 4 Llaves",
2023M11,TOTAL,2409.21
2023M11,1 Llave,
2023M11,"2, 3 y 4 Llaves",
2023M12,TOTAL,2405.37
2023M12,1 Llave,
2023M12,"2, 3 y 4 Llaves",
2024M01,TOTAL,1833.82
2024M01,1 Llave,1348.55
2024M01,"2, 3 y 4 Llaves",485.27
2024M02,TOTAL,1786.31
2024M02,1 Llave,1489.37
2024M02,"2, 3 y 4 Llaves",296.94
2024M03,TOTAL,2166.25
2024M03,1 Llave,1540.62
2024M03,"2, 3 y 4 Llaves",625.62
